jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
4011,2018,08,176493,102430
4011,2018,08,15089,3330
4011,2018,08,191582,105760
4011,2018,07,152444,87990
4011,2018,07,13855,2959
4011,2018,07,166299,90949
4011,2018,06,163785,93459
4011,2018,06,14274,3011
4011,2018,06,178059,96470
4011,2018,05,166837,94775
4011,2018,05,13714,3272
4011,2018,05,180551,98047
4011,2018,04,161139,92813
4011,2018,04,12228,2648
4011,2018,04,173367,95461
4011,2018,03,141357,81357
4011,2018,03,12570,2536
4011,2018,03,153927,83893
4011,2018,02,131532,76680
4011,2018,02,11177,2115
4011,2018,02,142709,78795
4011,2018,01,121474,72080
4011,2018,01,9224,1576
4011,2018,01,130698,73656
4011,2017,12,163968,94604
4011,2017,12,10925,2123
4011,2017,12,174893,96727
4011,2017,11,152793,89681
4011,2017,11,13303,2718
4011,2017,11,166096,92399
4011,2017,10,170548,96243
4011,2017,10,14333,3415
4011,2017,10,184881,99658
4011,2017,09,171550,97772
4011,2017,09,14315,3760
4011,2017,09,185865,101532
4011,2017,08,168929,94993
4011,2017,08,14557,3747
4011,2017,08,183486,98740
4011,2017,07,153866,88159
4011,2017,07,13995,3661
4011,2017,07,167861,91820
4011,2017,06,152970,87768
4011,2017,06,14332,3969
4011,2017,06,167302,91737
4011,2017,05,163352,94059
4011,2017,05,14653,3473
4011,2017,05,178005,97532
4011,2017,04,149865,86571
4011,2017,04,13991,3423
4011,2017,04,163856,89994
4011,2017,03,134793,80827
4011,2017,03,14420,2900
4011,2017,03,149213,83727
4011,2017,02,119149,71231
4011,2017,02,10895,2129
4011,2017,02,130044,73360
4011,2017,01,110495,67141
4011,2017,01,10759,2125
4011,2017,01,121254,69266
4011,2016,12,149675,89032
4011,2016,12,11660,2386
4011,2016,12,161335,91418
4011,2016,11,148395,88135
4011,2016,11,12958,2677
4011,2016,11,161353,90812
4011,2016,10,169890,96294
4011,2016,10,14810,3477
4011,2016,10,184700,99771
4011,2016,09,167234,96083
4011,2016,09,15761,3658
4011,2016,09,182995,99741
4011,2016,08,161448,91722
4011,2016,08,15887,3888
4011,2016,08,177335,95610
4011,2016,07,142027,80521
4011,2016,07,15686,3861
4011,2016,07,157713,84382
4011,2016,06,144791,83447
4011,2016,06,15722,3480
4011,2016,06,160513,86927
4011,2016,05,159840,87893
4011,2016,05,15165,3539
4011,2016,05,175005,91432
4011,2016,04,153846,89356
4011,2016,04,14421,2956
4011,2016,04,168267,92312
4011,2016,03,134409,74882
4011,2016,03,14794,2983
4011,2016,03,149203,77865
4011,2016,02,130507,75678
4011,2016,02,11844,1919
4011,2016,02,142351,77597
4011,2016,01,108974,62897
4011,2016,01,14381,1874
4011,2016,01,123355,64771
4011,2015,12,149004,87491
4011,2015,12,14293,2126
4011,2015,12,163297,89617
4011,2015,11,153293,87993
4011,2015,11,12759,2720
4011,2015,11,166052,90713
4011,2015,10,173429,98219
4011,2015,10,15935,3707
4011,2015,10,189364,101926
4011,2015,09,163067,92702
4011,2015,09,14467,3389
4011,2015,09,177534,96091
4011,2015,08,157586,87325
4011,2015,08,15008,3586
4011,2015,08,172594,90911
4011,2015,07,153089,88303
