id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,1,1,01,181000,644000
2,1,2,01,222000,738000
3,1,3,01,291000,1009000
4,1,4,01,466000,1778000
5,1,5,01,647000,2439000
6,1,6,01,668000,2756000
7,1,7,01,903000,4511000
8,1,8,01,839000,4179000
9,1,9,01,600000,2499000
10,1,10,01,501000,2028000
11,1,11,01,273000,898000
12,1,12,01,262000,840000
13,2,1,01,170000,628000
14,2,2,01,212000,695000
15,2,3,01,324000,1116000
16,2,4,01,445000,1663000
17,2,5,01,656000,2462000
18,2,6,01,688000,2787000
19,2,7,01,974000,4668000
20,2,8,01,843000,4203000
21,2,9,01,605000,2484000
22,2,10,01,515000,2035000
23,2,11,01,292000,934000
24,2,12,01,252000,796000
25,3,1,01,189000,649000
26,3,2,01,229000,713000
27,3,3,01,315000,1025000
28,3,4,01,539000,2012000
29,3,5,01,591000,2162000
30,3,6,01,779000,3101000
31,3,7,01,911000,4389000
32,3,8,01,825000,4131000
33,3,9,01,631000,2467000
34,3,10,01,525000,2037000
35,3,11,01,312000,993000
36,3,12,01,272000,836000
37,4,1,01,200000,691000
38,4,2,01,240000,764000
39,4,3,01,356000,1161000
40,4,4,01,499000,1920000
41,4,5,01,677000,2492000
42,4,6,01,688000,2753000
43,4,7,01,864000,4141000
44,4,8,01,881000,4150000
45,4,9,01,640000,2492000
46,4,10,01,497000,1988000
47,4,11,01,321000,1030000
48,4,12,01,278000,902000
49,5,1,01,197000,687000
50,5,2,01,246000,811000
51,5,3,01,373000,1360000
52,5,4,01,426000,1480000
53,5,5,01,698000,2556000
54,5,6,01,703000,2727000
55,5,7,01,963000,4421000
56,5,8,01,918000,4211000
57,5,9,01,634000,2494000
58,5,10,01,534000,2064000
59,5,11,01,336000,1059000
60,5,12,01,298000,936000
61,6,1,01,218000,738000
62,6,2,01,269000,871000
63,6,3,01,352000,1190000
64,6,4,01,554000,2065000
65,6,5,01,676000,2391000
66,6,6,01,794000,2991000
67,6,7,01,956000,4199000
68,6,8,01,987000,4796000
69,6,9,01,682000,2718000
70,6,10,01,584000,2205000
71,6,11,01,360000,1157000
72,6,12,01,326000,1026000
73,7,1,01,227000,779000
74,7,2,01,282000,926000
75,7,3,01,410000,1365000
76,7,4,01,530000,1930000
77,7,5,01,763000,2729000
78,7,6,01,758000,2880000
79,7,7,01,1010000,4409000
80,7,8,01,1023000,4784000
81,7,9,01,686000,2714000
82,7,10,01,610000,2285000
83,7,11,01,375000,1187000
84,7,12,01,355000,1094000
85,8,1,01,246000,859000
86,8,2,01,321000,1014000
87,8,3,01,477000,1716000
88,8,4,01,491000,1678000
89,8,5,01,793000,2843000
90,8,6,01,788000,2996000
91,8,7,01,1066000,4648000
92,8,8,01,982000,4682000
93,8,9,01,785000,2955000
94,8,10,01,648000,2478000
95,8,11,01,380000,1198000
96,8,12,01,375000,1138000
97,9,1,01,265000,898000
98,9,2,01,317000,1015000
99,9,3,01,429000,1392000
100,9,4,01,640000,2321000
101,9,5,01,754000,2683000
102,9,6,01,897000,3416000
103,9,7,01,1101000,4829000
104,9,8,01,995000,4796000
105,9,9,01,830000,3218000
106,9,10,01,678000,2669000
107,9,11,01,413000,1336000
108,9,12,01,417000,1322000
109,10,1,01,291000,1005000
110,10,2,01,352000,1168000
111,10,3,01,543000,1932000
112,10,4,01,599000,2193000
113,10,5,01,970000,3677000
114,10,6,01,981000,3812000
115,10,7,01,1248000,5876000
116,10,8,01,1119000,5396000
117,10,9,01,888000,3598000
118,10,10,01,715000,2909000
119,10,11,01,448000,1420000
120,10,12,01,0,0
