id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,2018,8,04,132690,239701
2,2018,7,04,116692,211895
3,2018,6,04,119597,219990
4,2018,5,04,123165,224515
5,2018,4,04,113591,207550
6,2018,3,04,99800,185229
7,2018,2,04,92228,168726
8,2018,1,04,85171,152556
9,2017,12,04,109224,197595
10,2017,11,04,106213,192149
11,2017,10,04,118820,222176
12,2017,9,04,123058,224013
13,2017,8,04,122097,226929
14,2017,7,04,114028,207814
15,2017,6,04,113398,206096
16,2017,5,04,117900,215567
17,2017,4,04,106570,196216
18,2017,3,04,97025,176041
19,2017,2,04,85258,153404
20,2017,1,04,80551,141954
21,2016,12,04,103143,182433
22,2016,11,04,103940,184828
23,2016,10,04,118751,219748
24,2016,9,04,120520,219969
25,2016,8,04,117862,219527
26,2016,7,04,105332,197975
27,2016,6,04,106198,196508
28,2016,5,04,111752,215633
29,2016,4,04,107947,200439
30,2016,3,04,92677,179239
31,2016,2,04,89505,163867
32,2016,1,04,75118,145303
33,2015,12,04,101122,186967
34,2015,11,04,104837,193998
35,2015,10,04,119438,222482
36,2015,9,04,114029,213774
37,2015,8,04,110520,213113
38,2015,7,04,110333,203774
39,2015,6,04,109336,201159
40,2015,5,04,110688,209800
41,2015,4,04,97647,179903
42,2015,3,04,91169,173360
43,2015,2,04,82035,152077
44,2015,1,04,75811,143380
45,2014,12,04,97688,180857
46,2014,11,04,102230,200863
47,2014,10,04,119538,224851
48,2014,9,04,109861,205489
49,2014,8,04,103245,200808
50,2014,7,04,103500,193438
51,2014,6,04,98632,185327
52,2014,5,04,108182,204792
53,2014,4,04,87974,169455
54,2014,3,04,90201,171484
55,2014,2,04,81281,149775
56,2014,1,04,72559,129775
57,2013,12,04,93741,166724
58,2013,11,04,98887,173767
59,2013,10,04,105799,193453
60,2013,9,04,105920,193995
61,2013,8,04,103109,191001
62,2013,7,04,94801,173690
63,2013,6,04,96944,174102
64,2013,5,04,101001,185715
65,2013,4,04,89215,162133
66,2013,3,04,77239,141616
67,2013,2,04,73397,128295
68,2013,1,04,67767,118219
69,2012,12,04,81816,145218
70,2012,11,04,90766,158952
71,2012,10,04,97932,182968
72,2012,9,04,98051,181205
73,2012,8,04,85411,160395
74,2012,7,04,89041,164399
75,2012,6,04,90665,165065
76,2012,5,04,92960,162689
77,2012,4,04,85659,152859
78,2012,3,04,81389,139613
79,2012,2,04,77568,129769
80,2012,1,04,70496,117633
81,2011,12,04,86951,145724
82,2011,11,04,94319,159829
83,2011,10,04,102740,183048
84,2011,9,04,101111,180333
