jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2009,4,03101,33722,18178
2010,4,03101,36236,21122
2011,4,03101,37476,20723
2012,4,03101,38869,21773
2013,4,03101,41901,23368
2014,4,03101,42769,24632
2015,4,03101,46561,25174
2016,4,03101,56170,32283
2017,4,03101,57614,33365
2018,4,03101,58923,36058
2009,4,03102,7000,2982
2010,4,03102,10385,3410
2011,4,03102,10143,3337
2012,4,03102,11273,3234
2013,4,03102,13381,4428
2014,4,03102,9905,3423
2015,4,03102,11973,4056
2016,4,03102,12357,4302
2017,4,03102,12370,4597
2018,4,03102,13219,4337
2009,4,03103,35767,18373
2010,4,03103,38116,19263
2011,4,03103,39017,19526
2012,4,03103,43570,21885
2013,4,03103,45290,21283
2014,4,03103,39842,22231
2015,4,03103,46823,26377
2016,4,03103,49969,30350
2017,4,03103,43841,26953
2018,4,03103,54933,33214
2009,4,03151,26112,8912
2010,4,03151,26060,9551
2011,4,03151,32057,10728
2012,4,03151,37370,12173
2013,4,03151,33125,12200
2014,4,03151,34333,11545
2015,4,03151,33956,11277
2016,4,03151,33813,12365
2017,4,03151,28345,11241
2018,4,03151,27856,11552
2009,4,03153,160853,49255
2010,4,03153,153474,49247
2011,4,03153,179654,55464
2012,4,03153,181627,56159
2013,4,03153,150361,47584
2014,4,03153,178200,52826
2015,4,03153,172726,55177
2016,4,03153,160763,51458
2017,4,03153,194759,59688
2018,4,03153,181093,57792
2009,4,03154,13350,7286
2010,4,03154,11796,6510
2011,4,03154,14041,7728
2012,4,03154,13855,8023
2013,4,03154,13969,8923
2014,4,03154,11585,7210
2015,4,03154,12842,7636
2016,4,03154,15526,9894
2017,4,03154,14937,7967
2018,4,03154,14614,8810
2009,4,03155,44463,13287
2010,4,03155,45521,14064
2011,4,03155,48866,14305
2012,4,03155,42480,12087
2013,4,03155,39527,12206
2014,4,03155,37975,11901
2015,4,03155,37358,12903
2016,4,03155,36291,12482
2017,4,03155,37770,11975
2018,4,03155,37610,12824
2009,4,03157,7612,3775
2010,4,03157,9361,4405
2011,4,03157,8268,3995
2012,4,03157,9087,4409
2013,4,03157,9334,5363
2014,4,03157,7821,4265
2015,4,03157,8536,4386
2016,4,03157,9064,5053
2017,4,03157,7786,4220
2018,4,03157,8953,5046
2009,4,03158,7004,3216
2010,4,03158,8386,3940
2011,4,03158,10720,3931
2012,4,03158,10979,4381
2013,4,03158,11677,5229
2014,4,03158,11630,4208
2015,4,03158,12364,4376
2016,4,03158,11150,4146
2017,4,03158,10083,3429
2018,4,03158,11477,4846
2009,4,03159,120819,44847
2010,4,03159,112346,46871
2011,4,03159,121478,48052
2012,4,03159,120929,48278
2013,4,03159,113060,47541
2014,4,03159,130779,50020
2015,4,03159,134258,51608
2016,4,03159,129743,55305
2017,4,03159,151075,58873
2018,4,03159,137883,58386
2009,4,03241,273676,138150
2010,4,03241,272486,144264
2011,4,03241,299749,148878
2012,4,03241,290773,149465
2013,4,03241,351950,174116
2014,4,03241,291758,150167
2015,4,03241,337686,171497
2016,4,03241,348672,186536
2017,4,03241,334335,170886
2018,4,03241,366662,194440
2009,4,03251,14283,7740
2010,4,03251,17123,9023
2011,4,03251,20414,10334
2012,4,03251,19383,9531
2013,4,03251,18821,10195
2014,4,03251,17552,9228
2015,4,03251,21462,10404
2016,4,03251,22678,10809
2017,4,03251,22828,11360
2018,4,03251,24008,11754
2009,4,03252,104300,22901
2010,4,03252,103842,22621
2011,4,03252,101820,23965
2012,4,03252,104516,22864
2013,4,03252,104264,23911
2014,4,03252,101204,22178
2015,4,03252,99949,24260
2016,4,03252,98889,25713
2017,4,03252,98193,24570
2018,4,03252,96463,26312
2009,4,03254,40408,15041
2010,4,03254,41989,16422
2011,4,03254,45645,16874
2012,4,03254,46059,18028
2013,4,03254,49693,20445
2014,4,03254,47914,17271
2015,4,03254,48442,19493
2016,4,03254,56042,23003
2017,4,03254,54996,20580
2018,4,03254,56240,23512
2009,4,03255,11619,4667
2010,4,03255,14767,7089
2011,4,03255,15712,8750
2012,4,03255,13743,7975
2013,4,03255,11700,5866
2014,4,03255,17901,8280
2015,4,03255,16620,7745
2016,4,03255,19663,8814
2017,4,03255,22354,10423
2018,4,03255,20762,9484
2009,4,03256,9523,5316
2010,4,03256,10676,6272
2011,4,03256,14723,7225
2012,4,03256,14392,6876
2013,4,03256,18365,8474
2014,4,03256,16743,7160
2015,4,03256,17802,7951
2016,4,03256,19665,9255
2017,4,03256,20653,9010
2018,4,03256,22269,10239
2009,4,03257,56474,13610
2010,4,03257,51113,13177
2011,4,03257,62200,15126
2012,4,03257,60848,15005
2013,4,03257,59742,15326
2014,4,03257,61678,15031
2015,4,03257,62063,15583
2016,4,03257,64683,16802
2017,4,03257,66202,16207
2018,4,03257,63890,17369
2009,4,03351,46015,17902
2010,4,03351,44608,18325
2011,4,03351,48499,20145
2012,4,03351,44376,19479
2013,4,03351,49929,22493
2014,4,03351,46903,20297
2015,4,03351,49364,22776
2016,4,03351,48657,22484
2017,4,03351,56170,22667
2018,4,03351,53857,23045
2009,4,03352,203792,47647
2010,4,03352,181227,42358
2011,4,03352,228152,52443
2012,4,03352,204849,46511
2013,4,03352,142587,35394
2014,4,03352,208191,50206
2015,4,03352,193842,47818
2016,4,03352,150280,41131
2017,4,03352,231385,58203
2018,4,03352,186162,48864
2009,4,03353,50134,20781
2010,4,03353,49803,22073
2011,4,03353,57225,23232
2012,4,03353,52062,21982
2013,4,03353,50978,22392
2014,4,03353,52866,21926
2015,4,03353,48397,22341
2016,4,03353,45424,21770
2017,4,03353,57152,24945
2018,4,03353,58119,24606
2009,4,03354,24376,7494
2010,4,03354,18871,6221
2011,4,03354,29489,9168
2012,4,03354,22615,7423
2013,4,03354,16579,6036
2014,4,03354,24648,7589
2015,4,03354,18272,6371
2016,4,03354,14917,6264
2017,4,03354,20381,7139
2018,4,03354,19268,6998
2009,4,03355,40711,18010
2010,4,03355,42554,18797
2011,4,03355,46488,20661
2012,4,03355,50642,21833
2013,4,03355,44667,20798
2014,4,03355,48075,21146
2015,4,03355,48290,21575
2016,4,03355,49197,23118
2017,4,03355,54398,23531
2018,4,03355,51984,24523
2009,4,03356,11027,4937
2010,4,03356,12069,4954
2011,4,03356,12875,4724
2012,4,03356,11705,4392
2013,4,03356,12580,5181
2014,4,03356,11291,4360
2015,4,03356,13627,4586
2016,4,03356,13844,5523
2017,4,03356,11617,4491
2018,4,03356,12170,5348
2009,4,03357,37205,15183
2010,4,03357,37392,16561
2011,4,03357,37008,16239
2012,4,03357,39566,17053
2013,4,03357,35191,16673
2014,4,03357,33312,14733
2015,4,03357,43669,16051
2016,4,03357,46784,18269
2017,4,03357,43216,16217
2018,4,03357,43520,17242
2009,4,03358,206750,58400
2010,4,03358,186622,53603
2011,4,03358,232903,66573
2012,4,03358,214388,66263
2013,4,03358,145815,48070
2014,4,03358,251290,68788
2015,4,03358,212956,64199
2016,4,03358,183354,66658
2017,4,03358,262514,82419
2018,4,03358,222118,78313
2009,4,03359,32118,12817
2010,4,03359,33634,14082
2011,4,03359,43702,17938
2012,4,03359,45251,17936
2013,4,03359,38254,15340
2014,4,03359,39629,16681
2015,4,03359,34558,15439
2016,4,03359,41065,16228
2017,4,03359,40304,17563
2018,4,03359,46092,18766
2009,4,03360,63022,12801
2010,4,03360,62653,11792
2011,4,03360,63173,12478
2012,4,03360,67751,13482
2013,4,03360,60974,12681
2014,4,03360,62106,12292
2015,4,03360,60755,12389
2016,4,03360,57840,12247
2017,4,03360,65196,13779
2018,4,03360,58358,12902
2009,4,03361,22330,10053
2010,4,03361,19620,9700
2011,4,03361,24882,11456
2012,4,03361,24922,11402
2013,4,03361,23367,11522
2014,4,03361,24515,10948
2015,4,03361,22285,10249
2016,4,03361,22974,12144
2017,4,03361,26598,12640
2018,4,03361,28043,14841
2009,4,03401,3555,2125
2010,4,03401,3995,2249
2011,4,03401,4379,2404
2012,4,03401,3399,1966
2013,4,03401,4587,2554
2014,4,03401,3835,2170
2015,4,03401,4064,2245
2016,4,03401,5155,2520
2017,4,03401,4416,2390
2018,4,03401,4908,2736
2009,4,03402,7552,4225
2010,4,03402,8719,4668
2011,4,03402,9547,4557
2012,4,03402,10073,4825
2013,4,03402,10008,4915
2014,4,03402,12617,6061
2015,4,03402,11385,5915
2016,4,03402,12737,6184
2017,4,03402,13835,6607
2018,4,03402,13774,7372
2009,4,03403,15790,9194
2010,4,03403,20606,10355
2011,4,03403,21626,9590
2012,4,03403,22882,10003
2013,4,03403,24585,11614
2014,4,03403,23285,8749
2015,4,03403,26171,12079
2016,4,03403,29016,13300
2017,4,03403,26159,11320
2018,4,03403,29765,13435
2009,4,03404,22861,14768
2010,4,03404,23596,16109
2011,4,03404,23077,14473
2012,4,03404,24113,15275
2013,4,03404,26975,18410
2014,4,03404,23572,14892
2015,4,03404,31153,19351
2016,4,03404,39105,24611
2017,4,03404,39322,24897
2018,4,03404,40611,26797
2009,4,03405,17144,5442
2010,4,03405,20315,6870
2011,4,03405,23872,7766
2012,4,03405,23029,7636
2013,4,03405,21506,7966
2014,4,03405,23917,8418
2015,4,03405,25933,9608
2016,4,03405,25627,9699
2017,4,03405,34809,13881
2018,4,03405,28891,11165
2009,4,03451,59773,19562
2010,4,03451,58064,18922
2011,4,03451,65825,21135
2012,4,03451,63115,19646
2013,4,03451,57234,19125
2014,4,03451,66960,20135
2015,4,03451,68237,22012
2016,4,03451,60929,20344
2017,4,03451,72025,22048
2018,4,03451,70519,23575
2009,4,03452,309738,64129
2010,4,03452,296822,58689
2011,4,03452,337164,68980
2012,4,03452,338896,66334
2013,4,03452,250051,51626
2014,4,03452,341784,73196
2015,4,03452,316229,65481
2016,4,03452,263955,58825
2017,4,03452,384051,83480
2018,4,03452,311633,67783
2009,4,03453,32209,10656
2010,4,03453,27539,10825
2011,4,03453,33001,12102
2012,4,03453,31710,11709
2013,4,03453,24865,11213
2014,4,03453,33936,12134
2015,4,03453,30245,11718
2016,4,03453,28669,11673
2017,4,03453,35065,12864
2018,4,03453,35784,13837
2009,4,03454,166903,49195
2010,4,03454,150091,46890
2011,4,03454,183999,51152
2012,4,03454,198610,55405
2013,4,03454,167969,51313
2014,4,03454,187056,54644
2015,4,03454,196328,58728
2016,4,03454,176740,59391
2017,4,03454,226591,67077
2018,4,03454,199087,63318
2009,4,03455,159173,32349
2010,4,03455,130844,27378
2011,4,03455,203086,36846
2012,4,03455,179510,36671
2013,4,03455,131524,31176
2014,4,03455,201262,40360
2015,4,03455,164762,36384
2016,4,03455,159070,34326
2017,4,03455,209241,43633
2018,4,03455,159500,35485
2009,4,03456,52696,11299
2010,4,03456,74591,19451
2011,4,03456,77611,17691
2012,4,03456,82868,19485
2013,4,03456,74382,22527
2014,4,03456,75185,16292
2015,4,03456,56333,15980
2016,4,03456,51583,16158
2017,4,03456,68627,19594
