jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2009,4,03101,18178,33722
2010,4,03101,21122,36236
2011,4,03101,20723,37476
2012,4,03101,21773,38869
2013,4,03101,23368,41901
2014,4,03101,24632,42769
2015,4,03101,25174,46561
2016,4,03101,32283,56170
2017,4,03101,33365,57614
2018,4,03101,36058,58923
2009,4,03102,2982,7000
2010,4,03102,3410,10385
2011,4,03102,3337,10143
2012,4,03102,3234,11273
2013,4,03102,4428,13381
2014,4,03102,3423,9905
2015,4,03102,4056,11973
2016,4,03102,4302,12357
2017,4,03102,4597,12370
2018,4,03102,4337,13219
2009,4,03103,18373,35767
2010,4,03103,19263,38116
2011,4,03103,19526,39017
2012,4,03103,21885,43570
2013,4,03103,21283,45290
2014,4,03103,22231,39842
2015,4,03103,26377,46823
2016,4,03103,30350,49969
2017,4,03103,26953,43841
2018,4,03103,33214,54933
2009,4,03151,8912,26112
2010,4,03151,9551,26060
2011,4,03151,10728,32057
2012,4,03151,12173,37370
2013,4,03151,12200,33125
2014,4,03151,11545,34333
2015,4,03151,11277,33956
2016,4,03151,12365,33813
2017,4,03151,11241,28345
2018,4,03151,11552,27856
2009,4,03153,49255,160853
2010,4,03153,49247,153474
2011,4,03153,55464,179654
2012,4,03153,56159,181627
2013,4,03153,47584,150361
2014,4,03153,52826,178200
2015,4,03153,55177,172726
2016,4,03153,51458,160763
2017,4,03153,59688,194759
2018,4,03153,57792,181093
2009,4,03154,7286,13350
2010,4,03154,6510,11796
2011,4,03154,7728,14041
2012,4,03154,8023,13855
2013,4,03154,8923,13969
2014,4,03154,7210,11585
2015,4,03154,7636,12842
2016,4,03154,9894,15526
2017,4,03154,7967,14937
2018,4,03154,8810,14614
2009,4,03155,13287,44463
2010,4,03155,14064,45521
2011,4,03155,14305,48866
2012,4,03155,12087,42480
2013,4,03155,12206,39527
2014,4,03155,11901,37975
2015,4,03155,12903,37358
2016,4,03155,12482,36291
2017,4,03155,11975,37770
2018,4,03155,12824,37610
2009,4,03157,3775,7612
2010,4,03157,4405,9361
2011,4,03157,3995,8268
2012,4,03157,4409,9087
2013,4,03157,5363,9334
2014,4,03157,4265,7821
2015,4,03157,4386,8536
2016,4,03157,5053,9064
2017,4,03157,4220,7786
2018,4,03157,5046,8953
2009,4,03158,3216,7004
2010,4,03158,3940,8386
2011,4,03158,3931,10720
2012,4,03158,4381,10979
2013,4,03158,5229,11677
2014,4,03158,4208,11630
2015,4,03158,4376,12364
2016,4,03158,4146,11150
2017,4,03158,3429,10083
2018,4,03158,4846,11477
2009,4,03159,44847,120819
2010,4,03159,46871,112346
2011,4,03159,48052,121478
2012,4,03159,48278,120929
2013,4,03159,47541,113060
2014,4,03159,50020,130779
2015,4,03159,51608,134258
2016,4,03159,55305,129743
2017,4,03159,58873,151075
2018,4,03159,58386,137883
2009,4,03241,138150,273676
2010,4,03241,144264,272486
2011,4,03241,148878,299749
2012,4,03241,149465,290773
2013,4,03241,174116,351950
2014,4,03241,150167,291758
2015,4,03241,171497,337686
2016,4,03241,186536,348672
2017,4,03241,170886,334335
2018,4,03241,194440,366662
2009,4,03251,7740,14283
2010,4,03251,9023,17123
2011,4,03251,10334,20414
2012,4,03251,9531,19383
2013,4,03251,10195,18821
2014,4,03251,9228,17552
2015,4,03251,10404,21462
2016,4,03251,10809,22678
2017,4,03251,11360,22828
2018,4,03251,11754,24008
2009,4,03252,22901,104300
2010,4,03252,22621,103842
2011,4,03252,23965,101820
2012,4,03252,22864,104516
2013,4,03252,23911,104264
2014,4,03252,22178,101204
2015,4,03252,24260,99949
2016,4,03252,25713,98889
2017,4,03252,24570,98193
2018,4,03252,26312,96463
2009,4,03254,15041,40408
2010,4,03254,16422,41989
2011,4,03254,16874,45645
2012,4,03254,18028,46059
2013,4,03254,20445,49693
2014,4,03254,17271,47914
2015,4,03254,19493,48442
2016,4,03254,23003,56042
2017,4,03254,20580,54996
2018,4,03254,23512,56240
2009,4,03255,4667,11619
2010,4,03255,7089,14767
2011,4,03255,8750,15712
2012,4,03255,7975,13743
2013,4,03255,5866,11700
2014,4,03255,8280,17901
2015,4,03255,7745,16620
2016,4,03255,8814,19663
2017,4,03255,10423,22354
2018,4,03255,9484,20762
2009,4,03256,5316,9523
2010,4,03256,6272,10676
2011,4,03256,7225,14723
2012,4,03256,6876,14392
2013,4,03256,8474,18365
2014,4,03256,7160,16743
2015,4,03256,7951,17802
2016,4,03256,9255,19665
2017,4,03256,9010,20653
