469-30: Beherbergungsbetriebe, G�stebetten, -�bernachtungen, -ank�nfte nach Betriebsarten (Monatszahlen);;;;;
Gebietsschl�ssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;G�ste�bernachtungen;G�steank�nfte
;;;;insgesamt;insgesamt
4011;Stadt Bremen;2018-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;176493;102430
4011;Stadt Bremen;2018-08;Sonstige Einrichtungen 3);15089;3330
4011;Stadt Bremen;2018-08;Insgesamt;191582;105760
4011;Stadt Bremen;2018-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;152444;87990
4011;Stadt Bremen;2018-07;Sonstige Einrichtungen 3);13855;2959
4011;Stadt Bremen;2018-07;Insgesamt;166299;90949
4011;Stadt Bremen;2018-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;163785;93459
4011;Stadt Bremen;2018-06;Sonstige Einrichtungen 3);14274;3011
4011;Stadt Bremen;2018-06;Insgesamt;178059;96470
4011;Stadt Bremen;2018-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;166837;94775
4011;Stadt Bremen;2018-05;Sonstige Einrichtungen 3);13714;3272
4011;Stadt Bremen;2018-05;Insgesamt;180551;98047
4011;Stadt Bremen;2018-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;161139;92813
4011;Stadt Bremen;2018-04;Sonstige Einrichtungen 3);12228;2648
4011;Stadt Bremen;2018-04;Insgesamt;173367;95461
4011;Stadt Bremen;2018-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;141357;81357
4011;Stadt Bremen;2018-03;Sonstige Einrichtungen 3);12570;2536
4011;Stadt Bremen;2018-03;Insgesamt;153927;83893
4011;Stadt Bremen;2018-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;131532;76680
4011;Stadt Bremen;2018-02;Sonstige Einrichtungen 3);11177;2115
4011;Stadt Bremen;2018-02;Insgesamt;142709;78795
4011;Stadt Bremen;2018-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;121474;72080
4011;Stadt Bremen;2018-01;Sonstige Einrichtungen 3);9224;1576
4011;Stadt Bremen;2018-01;Insgesamt;130698;73656
4011;Stadt Bremen;2017-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;163968;94604
4011;Stadt Bremen;2017-12;Sonstige Einrichtungen 3);10925;2123
4011;Stadt Bremen;2017-12;Insgesamt;174893;96727
4011;Stadt Bremen;2017-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;152793;89681
