469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;Gästeübernachtungen;Gästeankünfte
;;;;insgesamt;insgesamt
04011;Stadt Bremen;2018-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;176493;102430
04011;Stadt Bremen;2018-08;Sonstige Einrichtungen 3);15089;3330
04011;Stadt Bremen;2018-08;Insgesamt;191582;105760
04011;Stadt Bremen;2018-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;152444;87990
04011;Stadt Bremen;2018-07;Sonstige Einrichtungen 3);13855;2959
04011;Stadt Bremen;2018-07;Insgesamt;166299;90949
04011;Stadt Bremen;2018-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;163785;93459
04011;Stadt Bremen;2018-06;Sonstige Einrichtungen 3);14274;3011
04011;Stadt Bremen;2018-06;Insgesamt;178059;96470
04011;Stadt Bremen;2018-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;166837;94775
04011;Stadt Bremen;2018-05;Sonstige Einrichtungen 3);13714;3272
04011;Stadt Bremen;2018-05;Insgesamt;180551;98047
04011;Stadt Bremen;2018-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;161139;92813
04011;Stadt Bremen;2018-04;Sonstige Einrichtungen 3);12228;2648
04011;Stadt Bremen;2018-04;Insgesamt;173367;95461
04011;Stadt Bremen;2018-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;141357;81357
04011;Stadt Bremen;2018-03;Sonstige Einrichtungen 3);12570;2536
04011;Stadt Bremen;2018-03;Insgesamt;153927;83893
04011;Stadt Bremen;2018-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;131532;76680
04011;Stadt Bremen;2018-02;Sonstige Einrichtungen 3);11177;2115
04011;Stadt Bremen;2018-02;Insgesamt;142709;78795
04011;Stadt Bremen;2018-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;121474;72080
04011;Stadt Bremen;2018-01;Sonstige Einrichtungen 3);9224;1576
04011;Stadt Bremen;2018-01;Insgesamt;130698;73656
04011;Stadt Bremen;2017-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;163968;94604
04011;Stadt Bremen;2017-12;Sonstige Einrichtungen 3);10925;2123
04011;Stadt Bremen;2017-12;Insgesamt;174893;96727
04011;Stadt Bremen;2017-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;152793;89681
04011;Stadt Bremen;2017-11;Sonstige Einrichtungen 3);13303;2718
04011;Stadt Bremen;2017-11;Insgesamt;166096;92399
04011;Stadt Bremen;2017-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;170548;96243
04011;Stadt Bremen;2017-10;Sonstige Einrichtungen 3);14333;3415
04011;Stadt Bremen;2017-10;Insgesamt;184881;99658
04011;Stadt Bremen;2017-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;171550;97772
04011;Stadt Bremen;2017-09;Sonstige Einrichtungen 3);14315;3760
04011;Stadt Bremen;2017-09;Insgesamt;185865;101532
04011;Stadt Bremen;2017-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;168929;94993
04011;Stadt Bremen;2017-08;Sonstige Einrichtungen 3);14557;3747
04011;Stadt Bremen;2017-08;Insgesamt;183486;98740
04011;Stadt Bremen;2017-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;153866;88159
04011;Stadt Bremen;2017-07;Sonstige Einrichtungen 3);13995;3661
04011;Stadt Bremen;2017-07;Insgesamt;167861;91820
04011;Stadt Bremen;2017-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;152970;87768
04011;Stadt Bremen;2017-06;Sonstige Einrichtungen 3);14332;3969
04011;Stadt Bremen;2017-06;Insgesamt;167302;91737
04011;Stadt Bremen;2017-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;163352;94059
04011;Stadt Bremen;2017-05;Sonstige Einrichtungen 3);14653;3473
04011;Stadt Bremen;2017-05;Insgesamt;178005;97532
04011;Stadt Bremen;2017-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;149865;86571
04011;Stadt Bremen;2017-04;Sonstige Einrichtungen 3);13991;3423
04011;Stadt Bremen;2017-04;Insgesamt;163856;89994
04011;Stadt Bremen;2017-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;134793;80827
04011;Stadt Bremen;2017-03;Sonstige Einrichtungen 3);14420;2900
04011;Stadt Bremen;2017-03;Insgesamt;149213;83727
04011;Stadt Bremen;2017-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;119149;71231
04011;Stadt Bremen;2017-02;Sonstige Einrichtungen 3);10895;2129
04011;Stadt Bremen;2017-02;Insgesamt;130044;73360
04011;Stadt Bremen;2017-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;110495;67141
04011;Stadt Bremen;2017-01;Sonstige Einrichtungen 3);10759;2125
