469-30: Beherbergungsbetriebe, Gästebetten,Zeit,Zeit,,
Gebietsschlüssel,Gebietseinheit,Jahr,Monat,Tourismus (Monatszahlen) 1),Tourismus (Monatszahlen) 1)
,,,,Gästeübernachtungen,Gästeankünfte
,,,,insgesamt,insgesamt
4011,Stadt Bremen,2018,6,163829,93474
4011,Stadt Bremen,2018,6,22385,6663
4011,Stadt Bremen,2018,5,166837,94775
4011,Stadt Bremen,2018,5,22265,6995
4011,Stadt Bremen,2018,4,161139,92813
4011,Stadt Bremen,2018,4,17926,5167
4011,Stadt Bremen,2018,3,141357,81357
4011,Stadt Bremen,2018,3,17466,4586
4011,Stadt Bremen,2018,2,131532,76680
4011,Stadt Bremen,2018,2,13782,2905
4011,Stadt Bremen,2018,1,121474,72080
4011,Stadt Bremen,2018,1,11224,2135
4011,Stadt Bremen,2017,12,163968,94604
4011,Stadt Bremen,2017,12,15311,3924
4011,Stadt Bremen,2017,11,152793,89681
4011,Stadt Bremen,2017,11,17140,3810
4011,Stadt Bremen,2017,10,170548,96243
4011,Stadt Bremen,2017,10,20533,5634
4011,Stadt Bremen,2017,9,171550,97772
4011,Stadt Bremen,2017,9,20639,6145
4011,Stadt Bremen,2017,8,168929,94993
4011,Stadt Bremen,2017,8,23829,7885
4011,Stadt Bremen,2017,7,153866,88159
4011,Stadt Bremen,2017,7,23222,7898
4011,Stadt Bremen,2017,6,152970,87768
4011,Stadt Bremen,2017,6,23121,7277
4011,Stadt Bremen,2017,5,163352,94059
4011,Stadt Bremen,2017,5,20756,5984
4011,Stadt Bremen,2017,4,149865,86571
4011,Stadt Bremen,2017,4,19731,5822
4011,Stadt Bremen,2017,3,134793,80827
4011,Stadt Bremen,2017,3,17187,3861
4011,Stadt Bremen,2017,2,119149,71231
4011,Stadt Bremen,2017,2,12954,2722
4011,Stadt Bremen,2017,1,110495,67141
4011,Stadt Bremen,2017,1,12789,2424
4011,Stadt Bremen,2016,12,149675,89032
4011,Stadt Bremen,2016,12,15868,3505
4011,Stadt Bremen,2016,11,148395,88135
4011,Stadt Bremen,2016,11,16090,3392
4011,Stadt Bremen,2016,10,169890,96294
4011,Stadt Bremen,2016,10,19871,4887
4011,Stadt Bremen,2016,9,167234,96083
4011,Stadt Bremen,2016,9,21951,6020
4011,Stadt Bremen,2016,8,161448,91722
4011,Stadt Bremen,2016,8,24126,7286
4011,Stadt Bremen,2016,7,142027,80521
4011,Stadt Bremen,2016,7,24589,7568
4011,Stadt Bremen,2016,6,144791,83447
4011,Stadt Bremen,2016,6,22115,5967
4011,Stadt Bremen,2016,5,159840,87893
4011,Stadt Bremen,2016,5,22417,5862
4011,Stadt Bremen,2016,4,153846,89356
4011,Stadt Bremen,2016,4,18005,3860
4011,Stadt Bremen,2016,3,134409,74882
4011,Stadt Bremen,2016,3,18388,3889
4011,Stadt Bremen,2016,2,130507,75678
4011,Stadt Bremen,2016,2,13906,2394
4011,Stadt Bremen,2016,1,108974,62897
4011,Stadt Bremen,2016,1,16273,2305
4011,Stadt Bremen,2015,12,432814,252478
4011,Stadt Bremen,2015,12,45985,8836
4011,Stadt Bremen,2015,11,313634,174307
4011,Stadt Bremen,2015,11,34549,7431
4011,Stadt Bremen,2015,10,345569,196642
4011,Stadt Bremen,2015,10,38776,8598
4011,Stadt Bremen,2015,9,317191,180714
4011,Stadt Bremen,2015,9,40271,9970
4011,Stadt Bremen,2015,8,306488,168960
4011,Stadt Bremen,2015,8,46983,13840
4011,Stadt Bremen,2015,7,294766,170012
4011,Stadt Bremen,2015,7,49880,15351
4011,Stadt Bremen,2015,6,291879,167394
4011,Stadt Bremen,2015,6,40211,10817
4011,Stadt Bremen,2015,5,311221,175338
4011,Stadt Bremen,2015,5,43099,11172
4011,Stadt Bremen,2015,4,263908,149958
4011,Stadt Bremen,2015,4,38684,9625
4011,Stadt Bremen,2015,3,263747,149560
4011,Stadt Bremen,2015,3,34966,6877
4011,Stadt Bremen,2015,2,234343,137523
4011,Stadt Bremen,2015,2,28736,5753
4011,Stadt Bremen,2015,1,215760,125494
4011,Stadt Bremen,2015,1,23313,4636
4011,Stadt Bremen,2014,12,144775,83815
4011,Stadt Bremen,2014,12,18586,3654
4011,Stadt Bremen,2014,11,160341,86314
4011,Stadt Bremen,2014,11,18899,3546
4011,Stadt Bremen,2014,10,172140,98423
4011,Stadt Bremen,2014,10,18697,4079
4011,Stadt Bremen,2014,9,154124,88012
4011,Stadt Bremen,2014,9,20218,5155
4011,Stadt Bremen,2014,8,148902,81635
4011,Stadt Bremen,2014,8,23348,7119
4011,Stadt Bremen,2014,7,141677,81709
4011,Stadt Bremen,2014,7,25029,7798
4011,Stadt Bremen,2014,6,137744,78633
4011,Stadt Bremen,2014,6,17363,4368
4011,Stadt Bremen,2014,5,153176,87167
4011,Stadt Bremen,2014,5,18958,4603
4011,Stadt Bremen,2014,4,127660,70611
4011,Stadt Bremen,2014,4,19658,5408
4011,Stadt Bremen,2014,3,132378,74329
4011,Stadt Bremen,2014,3,16670,3309
4011,Stadt Bremen,2014,2,117264,68947
4011,Stadt Bremen,2014,2,12874,2878
4011,Stadt Bremen,2014,1,104247,61662
4011,Stadt Bremen,2014,1,8818,1933
4011,Stadt Bremen,2013,12,139035,81172
4011,Stadt Bremen,2013,12,10509,2567
4011,Stadt Bremen,2013,11,142219,83753
4011,Stadt Bremen,2013,11,10223,3386
4011,Stadt Bremen,2013,10,149622,85594
4011,Stadt Bremen,2013,10,13029,4842
4011,Stadt Bremen,2013,9,149401,85592
4011,Stadt Bremen,2013,9,12765,4088
