"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Januar 2012,,,,,Januar bis Januar 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 236 422," 12,9", 822 736," 9,7"," 3,5", 236 422," 12,9", 822 736," 9,7"," 3,5"
   Deutschland, 230 010," 12,4", 805 031," 9,1"," 3,5", 230 010," 12,4", 805 031," 9,1"," 3,5"
   Ausland,6 412," 31,4", 17 705," 44,0"," 2,8", 6 412," 31,4", 17 705," 44,0"," 2,8"
,,,,,,,,,,
"   Rostock, Hansestadt",31 556," 8,3",73 605," 11,8"," 2,3",31 556," 8,3",73 605," 11,8"," 2,3"
      Deutschland,29 888," 8,5",67 730," 8,5"," 2,3",29 888," 8,5",67 730," 8,5"," 2,3"
      Ausland,1 668," 5,6",5 875," 71,5"," 3,5",1 668," 5,6",5 875," 71,5"," 3,5"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",8 077," 4,9",12 883," 1,5"," 1,6",8 077," 4,9",12 883," 1,5"," 1,6"
      Deutschland,7 736," 4,0",12 215,"- 0,4"," 1,6",7 736," 4,0",12 215,"- 0,4"," 1,6"
      Ausland, 341," 32,7", 668," 56,8"," 2,0", 341," 32,7", 668," 56,8"," 2,0"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,26 010," 12,3", 82 968," 3,8"," 3,2", 26 010," 12,3", 82 968," 3,8"," 3,2"
      Deutschland,25 445," 12,7", 81 755," 4,8"," 3,2", 25 445," 12,7", 81 755," 4,8"," 3,2"
      Ausland, 565,"- 3,1",1 213,"- 35,6"," 2,1", 565,"- 3,1",1 213,"- 35,6"," 2,1"
,,,,,,,,,,
   Landkreis Rostock,45 813," 16,5",168 442," 10,8"," 3,7", 45 813," 16,5", 168 442," 10,8"," 3,7"
      Deutschland,44 580," 15,1",165 203," 9,8"," 3,7",44 580," 15,1", 165 203," 9,8"," 3,7"
      Ausland,1 233," 115,2",3 239," 108,4"," 2,6",1 233," 115,2",3 239," 108,4"," 2,6"
,,,,,,,,,,
   Vorpommern-Rügen,55 446," 17,0",224 053," 13,1"," 4,0",55 446," 17,0", 224 053," 13,1"," 4,0"
      Deutschland,54 228," 16,2",220 701," 12,8"," 4,1",54 228," 16,2", 220 701," 12,8"," 4,1"
      Ausland,1 218," 64,6",3 352," 32,2"," 2,8",1 218," 64,6",3 352," 32,2"," 2,8"
,,,,,,,,,,
   Nordwestmecklenburg,15 441," 3,6",61 098," 15,1"," 4,0",15 441," 3,6", 61 098," 15,1"," 4,0"
      Deutschland,15 058," 3,4",60 393," 15,3"," 4,0",15 058," 3,4",60 393," 15,3"," 4,0"
      Ausland, 383," 13,0", 705,"- 3,2"," 1,8", 383," 13,0", 705,"- 3,2"," 1,8"
,,,,,,,,,,
   Vorpommern-Greifswald,40 707," 10,5", 154 081," 5,3"," 3,8", 40 707," 10,5", 154 081," 5,3"," 3,8"
      Deutschland,40 204," 10,4", 152 391," 4,9"," 3,8", 40 204," 10,4", 152 391," 4,9"," 3,8"
