"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Februar 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Februar 2012,,,,,Januar bis Februar 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 268 660," 4,4", 927 343," 7,0"," 3,5", 504 133," 8,2",1 748 556," 8,3"," 3,5"
   Deutschland, 258 899," 3,6", 899 050," 6,1"," 3,5", 488 078," 7,6",1 702 696," 7,5"," 3,5"
   Ausland,9 761," 29,2", 28 293," 50,5"," 2,9", 16 055," 30,7", 45 860," 48,4"," 2,9"
,,,,,,,,,,
"   Rostock, Hansestadt",33 253,"- 3,0",78 870," 10,2"," 2,4",63 860," 2,5",150 952," 11,6"," 2,4"
      Deutschland,30 972,"- 4,7",69 292," 1,8"," 2,2",60 029," 1,6",135 637," 5,5"," 2,3"
      Ausland,2 281," 27,5",9 578," 173,3"," 4,2",3 831," 18,9",15 315," 127,2"," 4,0"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",8 972," 0,1",15 007," 2,8"," 1,7",17 049," 2,3",27 890," 2,2"," 1,6"
      Deutschland,8 542,"- 0,1",14 256," 3,0"," 1,7",16 278," 1,8",26 471," 1,4"," 1,6"
      Ausland, 430," 3,9", 751,"- 1,6"," 1,7", 771," 14,9",1 419," 19,3"," 1,8"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,27 086," 13,9", 88 104," 17,8"," 3,3", 53 096," 13,1", 171 072," 10,6"," 3,2"
      Deutschland,26 337," 13,1", 86 493," 17,5"," 3,3", 51 782," 12,9", 168 248," 10,9"," 3,2"
      Ausland, 749," 53,8",1 611," 39,8"," 2,2",1 314," 22,8",2 824,"- 7,0"," 2,1"
,,,,,,,,,,
   Landkreis Rostock,49 598," 4,3",190 316," 12,6"," 3,8", 95 411," 9,8", 358 758," 11,8"," 3,8"
      Deutschland,47 167," 4,1",183 150," 12,9"," 3,9",91 747," 9,2", 348 353," 11,4"," 3,8"
      Ausland,2 431," 7,9",7 166," 7,5"," 2,9",3 664," 29,7",10 405," 26,5"," 2,8"
,,,,,,,,,,
   Vorpommern-Rügen,66 782," 5,3",267 874," 6,2"," 4,0",122 228," 10,3", 491 927," 9,2"," 4,0"
      Deutschland,64 863," 4,4",262 995," 5,8"," 4,1",119 091," 9,4", 483 696," 8,9"," 4,1"
      Ausland,1 919," 49,2",4 879," 31,4"," 2,5",3 137," 54,8",8 231," 31,7"," 2,6"
,,,,,,,,,,
   Nordwestmecklenburg,17 357," 1,7",63 148," 3,3"," 3,6",32 798," 2,6", 124 246," 8,8"," 3,8"
      Deutschland,16 813," 0,9",62 044," 3,1"," 3,7",31 871," 2,1",122 437," 8,8"," 3,8"
      Ausland, 544," 30,8",1 104," 20,1"," 2,0", 927," 22,8",1 809," 9,8"," 2,0"
,,,,,,,,,,
   Vorpommern-Greifswald,50 106," 1,0", 176 745,"- 2,3"," 3,5", 90 813," 5,0", 330 826," 1,1"," 3,6"
      Deutschland,49 579," 1,1", 175 235,"- 2,4"," 3,5", 89 783," 5,1", 327 626," 0,9"," 3,6"
