"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im März 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,März 2012,,,,,Januar bis März 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 410 256," 16,6",1 334 128," 13,2"," 3,3", 914 389," 11,8",3 082 684," 10,4"," 3,4"
   Deutschland, 397 403," 15,9",1 300 801," 12,4"," 3,3", 885 481," 11,2",3 003 497," 9,6"," 3,4"
   Ausland,12 853," 44,4", 33 327," 59,4"," 2,6", 28 908," 36,4", 79 187," 52,8"," 2,7"
,,,,,,,,,,
"   Rostock, Hansestadt",47 256," 19,1",111 663," 22,8"," 2,4",111 116," 9,0",262 615," 16,1"," 2,4"
      Deutschland,43 390," 15,8",100 060," 16,1"," 2,3",103 419," 7,1",235 697," 9,8"," 2,3"
      Ausland,3 866," 73,9",11 603," 142,5"," 3,0",7 697," 41,4",26 918," 133,5"," 3,5"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",11 268," 2,0",18 141,"- 4,8"," 1,6",28 317," 2,2",46 031,"- 0,7"," 1,6"
      Deutschland,10 696," 2,6",17 207,"- 4,3"," 1,6",26 974," 2,1",43 678,"- 0,9"," 1,6"
      Ausland, 572,"- 7,0", 934,"- 13,1"," 1,6",1 343," 4,4",2 353," 3,9"," 1,8"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,43 568," 13,1", 125 620," 9,4"," 2,9", 96 664," 13,1", 296 692," 10,1"," 3,1"
      Deutschland,42 765," 13,7", 124 034," 9,6"," 2,9", 94 547," 13,3", 292 282," 10,3"," 3,1"
      Ausland, 803,"- 9,1",1 586,"- 0,5"," 2,0",2 117," 8,4",4 410,"- 4,8"," 2,1"
,,,,,,,,,,
   Landkreis Rostock,69 328," 13,4",254 186," 15,8"," 3,7", 164 739," 11,3", 612 944," 13,4"," 3,7"
      Deutschland,66 970," 12,6",247 778," 15,1"," 3,7",158 717," 10,6", 596 131," 12,9"," 3,8"
      Ausland,2 358," 40,9",6 408," 51,2"," 2,7",6 022," 33,8",16 813," 34,9"," 2,8"
,,,,,,,,,,
   Vorpommern-Rügen,113 780," 18,5",406 875," 11,9"," 3,6",236 008," 14,1", 898 802," 10,4"," 3,8"
      Deutschland,111 170," 17,7",399 964," 11,3"," 3,6",230 261," 13,3", 883 660," 10,0"," 3,8"
      Ausland,2 610," 67,0",6 911," 57,4"," 2,6",5 747," 60,1",15 142," 42,3"," 2,6"
,,,,,,,,,,
   Nordwestmecklenburg,29 519," 21,6",103 815," 16,2"," 3,5",62 317," 10,8", 228 061," 12,1"," 3,7"
      Deutschland,28 731," 21,8",102 253," 16,4"," 3,6",60 602," 10,6",224 690," 12,1"," 3,7"
      Ausland, 788," 16,7",1 562," 3,5"," 2,0",1 715," 19,9",3 371," 6,8"," 2,0"
,,,,,,,,,,
   Vorpommern-Greifswald,74 413," 18,4", 253 149," 11,9"," 3,4", 165 226," 10,7", 583 975," 5,5"," 3,5"
      Deutschland,73 593," 18,5", 250 755," 11,8"," 3,4", 163 376," 10,7", 578 381," 5,4"," 3,5"
