"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im April 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,April 2012,,,,,Januar bis April 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 532 904,"- 3,9",1 941 928,"- 4,2"," 3,6",1 447 293," 5,5",5 024 612," 4,2"," 3,5"
   Deutschland, 511 899,"- 4,2",1 889 515,"- 4,5"," 3,7",1 397 380," 5,0",4 893 012," 3,7"," 3,5"
   Ausland,21 005," 3,5", 52 413," 6,6"," 2,5", 49 913," 20,3", 131 600," 30,3"," 2,6"
,,,,,,,,,,
"   Rostock, Hansestadt",52 551," 3,1",142 372," 15,4"," 2,7",163 667," 7,0",404 987," 15,8"," 2,5"
      Deutschland,48 205," 5,0",131 187," 14,6"," 2,7",151 624," 6,5",366 884," 11,5"," 2,4"
      Ausland,4 346,"- 14,6",11 185," 24,9"," 2,6",12 043," 14,3",38 103," 86,0"," 3,2"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",15 396,"- 2,0",27 232,"- 4,1"," 1,8",43 713," 0,7",73 263,"- 2,0"," 1,7"
      Deutschland,14 092,"- 1,7",24 889,"- 3,0"," 1,8",41 066," 0,8",68 567,"- 1,7"," 1,7"
      Ausland,1 304,"- 5,0",2 343,"- 14,1"," 1,8",2 647,"- 0,5",4 696,"- 5,9"," 1,8"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,68 842,"- 2,4", 221 159,"- 3,9"," 3,2", 165 506," 6,1", 517 851," 3,6"," 3,1"
      Deutschland,67 066,"- 3,0", 217 017,"- 4,3"," 3,2", 161 613," 5,9", 509 299," 3,6"," 3,2"
      Ausland,1 776," 25,9",4 142," 25,6"," 2,3",3 893," 15,7",8 552," 7,9"," 2,2"
,,,,,,,,,,
   Landkreis Rostock,84 424,"- 5,4",340 330,"- 4,4"," 4,0", 249 163," 5,0", 953 274," 6,3"," 3,8"
      Deutschland,81 800,"- 5,3",334 117,"- 4,2"," 4,1",240 517," 4,6", 930 248," 6,1"," 3,9"
      Ausland,2 624,"- 9,5",6 213,"- 13,0"," 2,4",8 646," 16,9",23 026," 17,5"," 2,7"
,,,,,,,,,,
   Vorpommern-Rügen,150 386,"- 7,2",603 190,"- 9,4"," 4,0",386 394," 4,7",1 501 992," 1,5"," 3,9"
      Deutschland,144 605,"- 7,8",588 030,"- 9,7"," 4,1",374 866," 4,1",1 471 690," 1,2"," 3,9"
      Ausland,5 781," 8,7",15 160," 1,9"," 2,6",11 528," 29,4",30 302," 18,7"," 2,6"
,,,,,,,,,,
   Nordwestmecklenburg,40 551,"- 3,8",149 971,"- 3,5"," 3,7",102 868," 4,5", 378 032," 5,3"," 3,7"
      Deutschland,38 319,"- 5,6",144 831,"- 4,4"," 3,8",98 921," 3,7",369 521," 5,0"," 3,7"
      Ausland,2 232," 42,5",5 140," 34,2"," 2,3",3 947," 31,7",8 511," 21,8"," 2,2"
,,,,,,,,,,
   Vorpommern-Greifswald,93 441,"- 3,8", 376 358,"- 2,4"," 4,0", 258 667," 4,9", 960 333," 2,2"," 3,7"
