"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Mai 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Mai 2012,,,,,Januar bis Mai 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 739 061," 18,3",2 673 869," 17,0"," 3,6",2 186 354," 9,5",7 698 481," 8,3"," 3,5"
   Deutschland, 708 428," 18,7",2 593 844," 17,2"," 3,7",2 105 808," 9,3",7 486 856," 8,0"," 3,6"
   Ausland,30 633," 9,0", 80 025," 10,7"," 2,6", 80 546," 15,8", 211 625," 22,1"," 2,6"
,,,,,,,,,,
"   Rostock, Hansestadt",59 030,"- 0,1",156 069," 15,0"," 2,6",222 697," 5,0",561 056," 15,6"," 2,5"
      Deutschland,53 376,"- 0,4",143 726," 14,0"," 2,7",205 000," 4,6",510 610," 12,2"," 2,5"
      Ausland,5 654," 2,5",12 343," 27,4"," 2,2",17 697," 10,3",50 446," 67,2"," 2,9"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",20 812," 0,6",38 033,"- 0,8"," 1,8",64 525," 0,7",111 296,"- 1,6"," 1,7"
      Deutschland,19 230," 0,2",35 377," 0,5"," 1,8",60 296," 0,6",103 944,"- 1,0"," 1,7"
      Ausland,1 582," 5,8",2 656,"- 15,2"," 1,7",4 229," 1,8",7 352,"- 9,5"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,119 531," 29,2", 371 273," 31,6"," 3,1", 285 037," 14,7", 889 124," 13,7"," 3,1"
      Deutschland,116 749," 29,4", 364 712," 32,0"," 3,1", 278 362," 14,6", 874 011," 13,8"," 3,1"
      Ausland,2 782," 20,3",6 561," 12,7"," 2,4",6 675," 17,6",15 113," 9,9"," 2,3"
,,,,,,,,,,
   Landkreis Rostock,107 152," 8,4",425 537," 7,5"," 4,0", 356 315," 6,0",1 378 811," 6,7"," 3,9"
      Deutschland,103 885," 8,4",416 528," 7,6"," 4,0",344 402," 5,7",1 346 776," 6,6"," 3,9"
      Ausland,3 267," 7,2",9 009,"- 0,2"," 2,8",11 913," 14,0",32 035," 11,9"," 2,7"
,,,,,,,,,,
   Vorpommern-Rügen,203 074," 19,3",830 702," 13,1"," 4,1",589 468," 9,3",2 332 694," 5,3"," 4,0"
      Deutschland,192 862," 20,2",801 913," 13,7"," 4,2",567 728," 9,1",2 273 603," 5,3"," 4,0"
      Ausland,10 212," 5,8",28 789,"- 0,1"," 2,8",21 740," 17,1",59 091," 8,7"," 2,7"
,,,,,,,,,,
   Nordwestmecklenburg,56 064," 20,9",201 238," 19,9"," 3,6",158 932," 9,8", 579 270," 10,0"," 3,6"
      Deutschland,53 121," 19,9",192 776," 18,1"," 3,6",152 042," 8,8",562 297," 9,2"," 3,7"
      Ausland,2 943," 42,3",8 462," 86,7"," 2,9",6 890," 36,1",16 973," 47,4"," 2,5"
,,,,,,,,,,
   Vorpommern-Greifswald,132 709," 28,1", 530 219," 21,7"," 4,0", 391 376," 11,8",1 490 552," 8,4"," 3,8"
