"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juni 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Juni 2012,,,,,Januar bis Juni 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 780 537,"- 13,5",3 155 068,"- 11,7"," 4,0",2 966 891," 2,3",10 853 549," 1,6"," 3,7"
   Deutschland, 740 790,"- 14,4",3 043 365,"- 12,3"," 4,1",2 846 598," 1,9",10 530 221," 1,2"," 3,7"
   Ausland,39 747," 6,5", 111 703," 7,9"," 2,8", 120 293," 12,5", 323 328," 16,8"," 2,7"
,,,,,,,,,,
"   Rostock, Hansestadt",61 797,"- 4,0",175 609," 5,4"," 2,8",284 494," 2,9",736 665," 13,0"," 2,6"
      Deutschland,56 512,"- 3,4",161 699," 4,0"," 2,9",261 512," 2,7",672 309," 10,1"," 2,6"
      Ausland,5 285,"- 10,0",13 910," 23,7"," 2,6",22 982," 4,8",64 356," 55,4"," 2,8"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",22 065,"- 7,4",39 961,"- 7,9"," 1,8",86 590,"- 1,5",151 257,"- 3,3"," 1,7"
      Deutschland,19 875,"- 9,1",36 572,"- 7,5"," 1,8",80 171,"- 2,0",140 516,"- 2,8"," 1,8"
      Ausland,2 190," 12,2",3 389,"- 12,2"," 1,5",6 419," 5,1",10 741,"- 10,3"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,119 368,"- 22,4", 396 675,"- 19,3"," 3,3", 404 405," 0,5",1 285 799," 1,0"," 3,2"
      Deutschland,114 824,"- 23,4", 384 981,"- 20,1"," 3,4", 393 186," 0,1",1 258 992," 0,7"," 3,2"
      Ausland,4 544," 15,4",11 694," 20,2"," 2,6",11 219," 16,7",26 807," 14,2"," 2,4"
,,,,,,,,,,
   Landkreis Rostock,112 140,"- 12,4",499 672,"- 9,0"," 4,5", 468 455," 0,9",1 878 483," 2,0"," 4,0"
      Deutschland,108 842,"- 12,5",490 202,"- 9,0"," 4,5",453 244," 0,7",1 836 978," 1,9"," 4,1"
      Ausland,3 298,"- 9,0",9 470,"- 10,1"," 2,9",15 211," 8,1",41 505," 6,0"," 2,7"
,,,,,,,,,,
   Vorpommern-Rügen,222 030,"- 15,1",1014 772,"- 15,8"," 4,6",811 498," 1,4",3 347 466,"- 2,1"," 4,1"
      Deutschland,208 703,"- 15,9",973 180,"- 16,2"," 4,7",776 431," 1,0",3 246 783,"- 2,2"," 4,2"
      Ausland,13 327,"- 0,7",41 592,"- 6,5"," 3,1",35 067," 9,7",100 683," 1,9"," 2,9"
,,,,,,,,,,
   Nordwestmecklenburg,55 581,"- 11,1",215 772,"- 10,7"," 3,9",214 513," 3,5", 795 042," 3,5"," 3,7"
      Deutschland,51 502,"- 14,2",206 472,"- 12,8"," 4,0",203 544," 1,9",768 769," 2,2"," 3,8"
      Ausland,4 079," 64,4",9 300," 91,4"," 2,3",10 969," 45,4",26 273," 60,4"," 2,4"
,,,,,,,,,,
