"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juli 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Juli 2012,,,,,Januar bis Juli 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern,1 016 911,"- 4,9",4 764 334,"- 8,3"," 4,7",3 983 802," 0,4",15 617 883,"- 1,6"," 3,9"
   Deutschland, 944 914,"- 5,9",4 553 015,"- 9,1"," 4,8",3 791 512,"- 0,1",15 083 236,"- 2,1"," 4,0"
   Ausland,71 997," 11,0", 211 319," 12,4"," 2,9", 192 290," 12,0", 534 647," 15,0"," 2,8"
,,,,,,,,,,
"   Rostock, Hansestadt",70 699," 3,8",219 697," 2,1"," 3,1",355 193," 3,1",956 362," 10,3"," 2,7"
      Deutschland,60 839," 2,6",196 858,"- 1,2"," 3,2",322 351," 2,7",869 167," 7,3"," 2,7"
      Ausland,9 860," 12,2",22 839," 42,9"," 2,3",32 842," 6,9",87 195," 51,9"," 2,7"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",23 543,"- 4,7",43 407,"- 8,2"," 1,8",110 133,"- 2,2",194 664,"- 4,5"," 1,8"
      Deutschland,20 015,"- 6,1",37 613,"- 5,5"," 1,9",100 186,"- 2,9",178 129,"- 3,4"," 1,8"
      Ausland,3 528," 4,6",5 794,"- 22,3"," 1,6",9 947," 4,9",16 535,"- 14,9"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,158 174,"- 7,3", 625 955,"- 11,5"," 4,0", 562 579,"- 1,8",1 911 754,"- 3,5"," 3,4"
      Deutschland,151 133,"- 8,0", 606 013,"- 12,2"," 4,0", 544 319,"- 2,3",1 865 005,"- 3,9"," 3,4"
      Ausland,7 041," 11,1",19 942," 12,5"," 2,8",18 260," 14,5",46 749," 13,5"," 2,6"
,,,,,,,,,,
   Landkreis Rostock,141 871,"- 4,1",736 410,"- 4,0"," 5,2", 610 326,"- 0,3",2 614 893," 0,2"," 4,3"
      Deutschland,134 365,"- 4,7",712 637,"- 4,4"," 5,3",587 609,"- 0,6",2 549 615," 0,1"," 4,3"
      Ausland,7 506," 7,7",23 773," 8,0"," 3,2",22 717," 8,0",65 278," 6,7"," 2,9"
,,,,,,,,,,
   Vorpommern-Rügen,322 179,"- 6,3",1647 339,"- 11,5"," 5,1",1133 677,"- 0,9",4 994 805,"- 5,4"," 4,4"
      Deutschland,296 508,"- 7,3",1565 396,"- 12,3"," 5,3",1072 939,"- 1,4",4 812 179,"- 5,8"," 4,5"
      Ausland,25 671," 7,1",81 943," 6,9"," 3,2",60 738," 8,6",182 626," 4,1"," 3,0"
,,,,,,,,,,
   Nordwestmecklenburg,74 392," 0,6",324 007,"- 7,5"," 4,4",288 905," 2,7",1 119 049," 0,1"," 3,9"
      Deutschland,66 774,"- 2,0",306 444,"- 8,5"," 4,6",270 318," 0,9",1075 213,"- 1,1"," 4,0"
      Ausland,7 618," 30,9",17 563," 15,4"," 2,3",18 587," 39,1",43 836," 38,7"," 2,4"
,,,,,,,,,,
