"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im August 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,August 2012,,,,,Januar bis August 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern,1 060 116," 12,0",5 056 789," 7,0"," 4,8",5 043 918," 2,6",20 674 672," 0,3"," 4,1"
   Deutschland,1 006 251," 12,0",4 896 374," 6,8"," 4,9",4 797 763," 2,2",19 979 610,"- 0,1"," 4,2"
   Ausland,53 865," 13,5", 160 415," 12,2"," 3,0", 246 155," 12,3", 695 062," 14,4"," 2,8"
,,,,,,,,,,
"   Rostock, Hansestadt",72 371," 14,5",229 571," 14,7"," 3,2",427 564," 4,9",1185 933," 11,1"," 2,8"
      Deutschland,65 980," 13,9",214 132," 13,5"," 3,2",388 331," 4,4",1083 299," 8,5"," 2,8"
      Ausland,6 391," 21,4",15 439," 35,2"," 2,4",39 233," 9,1",102 634," 49,1"," 2,6"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",24 431," 2,2",46 216," 5,1"," 1,9",134 564,"- 1,4",240 880,"- 2,8"," 1,8"
      Deutschland,21 062," 7,4",40 083," 8,7"," 1,9",121 248,"- 1,2",218 212,"- 1,3"," 1,8"
      Ausland,3 369,"- 21,4",6 133,"- 13,4"," 1,8",13 316,"- 3,3",22 668,"- 14,5"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,168 020," 11,0", 688 388," 9,0"," 4,1", 730 849," 0,9",2 600 580,"- 0,5"," 3,6"
      Deutschland,161 785," 10,6", 669 880," 8,8"," 4,1", 706 354," 0,4",2 535 323,"- 0,8"," 3,6"
      Ausland,6 235," 22,0",18 508," 19,7"," 3,0",24 495," 16,3",65 257," 15,2"," 2,7"
,,,,,,,,,,
   Landkreis Rostock,147 274," 10,0",760 004," 5,7"," 5,2", 757 350," 1,6",3 374 459," 1,4"," 4,5"
      Deutschland,142 489," 10,5",745 291," 6,1"," 5,2",729 848," 1,4",3 294 468," 1,4"," 4,5"
      Ausland,4 785,"- 1,9",14 713,"- 7,7"," 3,1",27 502," 6,1",79 991," 3,7"," 2,9"
,,,,,,,,,,
   Vorpommern-Rügen,337 358," 14,1",1772 581," 6,2"," 5,3",1471 035," 2,2",6 767 386,"- 2,7"," 4,6"
      Deutschland,318 850," 14,3",1712 303," 6,2"," 5,4",1391 789," 1,8",6 524 482,"- 2,9"," 4,7"
      Ausland,18 508," 11,2",60 278," 5,7"," 3,3",79 246," 9,2",242 904," 4,5"," 3,1"
,,,,,,,,,,
   Nordwestmecklenburg,78 487," 17,1",347 860," 6,3"," 4,4",367 392," 5,5",1 466 909," 1,5"," 4,0"
      Deutschland,73 527," 16,5",335 875," 5,8"," 4,6",343 845," 3,9",1411 088," 0,5"," 4,1"
      Ausland,4 960," 26,7",11 985," 22,2"," 2,4",23 547," 36,3",55 821," 34,8"," 2,4"
,,,,,,,,,,
   Vorpommern-Greifswald,185 206," 10,5",1 037 789," 6,8"," 5,6", 905 144," 3,5",4 210 831," 1,4"," 4,7"
