"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im September 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,September 2012,,,,,Januar bis September 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 738 474," 8,5",2 907 934," 6,8"," 3,9",5 782 392," 3,3",23 582 606," 1,1"," 4,1"
   Deutschland, 704 661," 7,8",2 817 749," 6,2"," 4,0",5 502 424," 2,9",22 797 359," 0,7"," 4,1"
   Ausland,33 813," 23,6", 90 185," 30,2"," 2,7", 279 968," 13,5", 785 247," 16,0"," 2,8"
,,,,,,,,,,
"   Rostock, Hansestadt",62 277," 19,5",161 723," 19,8"," 2,6",489 841," 6,5",1347 656," 12,1"," 2,8"
      Deutschland,56 967," 18,5",149 214," 17,7"," 2,6",445 298," 6,1",1232 513," 9,5"," 2,8"
      Ausland,5 310," 31,8",12 509," 52,2"," 2,4",44 543," 11,3",115 143," 49,5"," 2,6"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",21 593," 6,7",40 181," 5,6"," 1,9",156 157,"- 0,4",281 061,"- 1,6"," 1,8"
      Deutschland,19 244," 7,7",36 079," 6,4"," 1,9",140 492,"- 0,1",254 291,"- 0,3"," 1,8"
      Ausland,2 349,"- 0,6",4 102,"- 1,0"," 1,7",15 665,"- 2,9",26 770,"- 12,7"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,101 692," 3,5", 334 561," 5,1"," 3,3", 832 541," 1,2",2 935 141," 0,1"," 3,5"
      Deutschland,98 553," 3,2", 325 995," 4,8"," 3,3", 804 907," 0,8",2 861 318,"- 0,2"," 3,6"
      Ausland,3 139," 14,0",8 566," 18,9"," 2,7",27 634," 16,1",73 823," 15,6"," 2,7"
,,,,,,,,,,
   Landkreis Rostock,107 060," 3,1",464 628," 4,0"," 4,3", 864 410," 1,8",3 839 087," 1,7"," 4,4"
      Deutschland,103 067," 2,0",454 764," 3,4"," 4,4",832 915," 1,5",3 749 232," 1,6"," 4,5"
      Ausland,3 993," 45,3",9 864," 43,9"," 2,5",31 495," 9,9",89 855," 7,0"," 2,9"
,,,,,,,,,,
   Vorpommern-Rügen,219 646," 8,9",973 168," 4,7"," 4,4",1690 681," 3,0",7 740 554,"- 1,8"," 4,6"
      Deutschland,209 681," 8,8",943 143," 4,5"," 4,5",1601 470," 2,7",7 467 625,"- 2,0"," 4,7"
      Ausland,9 965," 9,6",30 025," 11,5"," 3,0",89 211," 9,2",272 929," 5,2"," 3,1"
,,,,,,,,,,
   Nordwestmecklenburg,52 804," 11,1",199 234," 7,7"," 3,8",420 196," 6,2",1 666 143," 2,2"," 4,0"
      Deutschland,50 389," 10,2",193 781," 7,2"," 3,8",394 234," 4,6",1604 869," 1,2"," 4,1"
      Ausland,2 415," 34,5",5 453," 29,5"," 2,3",25 962," 36,1",61 274," 34,3"," 2,4"
,,,,,,,,,,
   Vorpommern-Greifswald,135 142," 9,6", 620 412," 9,4"," 4,6",1 040 286," 4,2",4 831 243," 2,3"," 4,6"
