"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Oktober 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Oktober 2012,,,,,Januar bis Oktober 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 555 145,"- 6,7",2 155 317,"- 5,6"," 3,9",6 337 537," 2,4",25 737 923," 0,5"," 4,1"
   Deutschland, 532 000,"- 7,3",2 098 550,"- 6,1"," 3,9",6 034 424," 1,9",24 895 909," 0,0"," 4,1"
   Ausland,23 145," 9,8", 56 767," 17,2"," 2,5", 303 113," 13,2", 842 014," 16,1"," 2,8"
,,,,,,,,,,
"   Rostock, Hansestadt",53 605," 0,8",141 352," 7,3"," 2,6",543 446," 5,9",1489 008," 11,6"," 2,7"
      Deutschland,49 373," 1,1",130 966," 5,8"," 2,7",494 671," 5,5",1363 479," 9,2"," 2,8"
      Ausland,4 232,"- 2,2",10 386," 30,6"," 2,5",48 775," 10,0",125 529," 47,7"," 2,6"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",14 613,"- 6,0",26 323,"- 7,4"," 1,8",170 770,"- 0,9",307 384,"- 2,2"," 1,8"
      Deutschland,13 161,"- 8,5",23 626,"- 10,6"," 1,8",153 653,"- 0,9",277 917,"- 1,3"," 1,8"
      Ausland,1 452," 25,1",2 697," 34,1"," 1,9",17 117,"- 1,0",29 467,"- 9,8"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,67 347,"- 9,1", 235 516,"- 6,9"," 3,5", 899 888," 0,3",3 170 657,"- 0,4"," 3,5"
      Deutschland,65 520,"- 9,8", 231 129,"- 7,4"," 3,5", 870 427,"- 0,1",3 092 447,"- 0,8"," 3,6"
      Ausland,1 827," 29,8",4 387," 32,0"," 2,4",29 461," 16,8",78 210," 16,4"," 2,7"
,,,,,,,,,,
   Landkreis Rostock,88 488,"- 8,9",378 652,"- 7,0"," 4,3", 952 898," 0,7",4 217 739," 0,9"," 4,4"
      Deutschland,85 007,"- 10,1",369 042,"- 7,8"," 4,3",917 922," 0,3",4 118 274," 0,7"," 4,5"
      Ausland,3 481," 33,9",9 610," 41,3"," 2,8",34 976," 11,9",99 465," 9,6"," 2,8"
,,,,,,,,,,
   Vorpommern-Rügen,162 438,"- 9,2",699 328,"- 10,2"," 4,3",1853 119," 1,8",8 439 882,"- 2,5"," 4,6"
      Deutschland,157 130,"- 9,3",684 288,"- 10,2"," 4,4",1758 600," 1,5",8 151 913,"- 2,8"," 4,6"
      Ausland,5 308,"- 4,7",15 040,"- 10,2"," 2,8",94 519," 8,3",287 969," 4,3"," 3,0"
,,,,,,,,,,
   Nordwestmecklenburg,39 400,"- 8,4",153 862,"- 4,7"," 3,9",459 596," 4,7",1 820 005," 1,6"," 4,0"
      Deutschland,37 548,"- 9,9",149 566,"- 5,7"," 4,0",431 782," 3,2",1754 435," 0,6"," 4,1"
      Ausland,1 852," 38,0",4 296," 55,3"," 2,3",27 814," 36,2",65 570," 35,5"," 2,4"
,,,,,,,,,,
