"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im November 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,November 2012,,,,,Januar bis November 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 337 821," 9,1",1 113 985," 7,8"," 3,3",6 675 358," 2,7",26 851 908," 0,8"," 4,0"
   Deutschland, 321 734," 9,4",1 077 860," 7,8"," 3,4",6 356 158," 2,2",25 973 769," 0,3"," 4,1"
   Ausland,16 087," 3,5", 36 125," 7,1"," 2,2", 319 200," 12,7", 878 139," 15,7"," 2,8"
,,,,,,,,,,
"   Rostock, Hansestadt",46 604," 17,6",102 213," 20,2"," 2,2",590 050," 6,8",1591 221," 12,1"," 2,7"
      Deutschland,40 461," 16,8",88 310," 17,7"," 2,2",535 132," 6,3",1451 789," 9,6"," 2,7"
      Ausland,6 143," 23,2",13 903," 39,0"," 2,3",54 918," 11,3",139 432," 46,8"," 2,5"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",12 799," 7,9",19 531," 1,1"," 1,5",183 569,"- 0,3",326 915,"- 2,0"," 1,8"
      Deutschland,12 005," 13,4",18 302," 7,2"," 1,5",165 658," 0,0",296 219,"- 0,8"," 1,8"
      Ausland, 794,"- 37,8",1 229,"- 45,5"," 1,5",17 911,"- 3,5",30 696,"- 12,1"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,40 070,"- 2,8", 116 332," 0,5"," 2,9", 939 958," 0,2",3 286 989,"- 0,4"," 3,5"
      Deutschland,38 632,"- 3,4", 113 319,"- 0,1"," 2,9", 909 059,"- 0,3",3 205 766,"- 0,8"," 3,5"
      Ausland,1 438," 19,0",3 013," 33,1"," 2,1",30 899," 16,9",81 223," 16,9"," 2,6"
,,,,,,,,,,
   Landkreis Rostock,58 172," 18,3",221 655," 12,0"," 3,8",1 011 070," 1,5",4 439 394," 1,4"," 4,4"
      Deutschland,56 395," 19,4",217 733," 12,7"," 3,9",974 317," 1,2",4 336 007," 1,2"," 4,5"
      Ausland,1 777,"- 8,9",3 922,"- 16,4"," 2,2",36 753," 10,6",103 387," 8,3"," 2,8"
,,,,,,,,,,
   Vorpommern-Rügen,78 024," 3,2",302 239," 3,7"," 3,9",1931 143," 1,8",8 742 121,"- 2,3"," 4,5"
      Deutschland,75 330," 3,4",295 898," 4,1"," 3,9",1833 930," 1,5",8 447 811,"- 2,5"," 4,6"
      Ausland,2 694,"- 2,7",6 341,"- 11,7"," 2,4",97 213," 8,0",294 310," 3,9"," 3,0"
,,,,,,,,,,
   Nordwestmecklenburg,22 968," 7,7",81 443," 2,4"," 3,5",482 564," 4,9",1 901 448," 1,6"," 3,9"
      Deutschland,21 293," 7,2",77 762," 1,5"," 3,7",453 075," 3,4",1832 197," 0,6"," 4,0"
      Ausland,1 675," 13,9",3 681," 27,6"," 2,2",29 489," 34,7",69 251," 35,1"," 2,3"
,,,,,,,,,,
   Vorpommern-Greifswald,59 062," 12,5", 213 008," 13,2"," 3,6",1 199 561," 3,9",5 475 299," 2,5"," 4,6"
