"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Dezember 2012 in Beherbergungsbetrieben",,,,,,,,,,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,,,,,,,,,
und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
,Dezember 2012,,,,,Januar bis Dezember 2012,,,,
Kreisfreie Stadt,Ankünfte,,Übernachtungen,,durch-,Ankünfte,,Übernachtungen,,durch-
Landkreis,,Verände-,,Verände-,schnitt-,,Verände-,,Verände-,schnitt-
Große kreisangehörige Stadt,,rung-,,rung-,liche,,rung,,rung,liche
-,ins-,zum,ins-,zum,Aufent-,ins-,zum,ins-,zum,Aufent-
Ständiger Wohnsitz der,gesamt,Vor-,gesamt,Vor-,halts-,gesamt,Vor-,gesamt,Vor-,halts-
Gäste innerhalb/außerhalb,,jahres-,,jahres-,dauer 1),,jahres-,,jahres-,dauer 1)
Deutschlands,,monat,,monat,,,zeitraum,,zeitraum,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 312 330," 5,9",1 069 284," 13,1"," 3,4",6 993 178," 2,9",27 940 720," 1,3"," 4,0"
   Deutschland, 296 233," 5,8",1 029 898," 13,2"," 3,5",6 657 881," 2,5",27 023 195," 0,9"," 4,1"
   Ausland,16 097," 6,5", 39 386," 11,9"," 2,4", 335 297," 12,4", 917 525," 15,5"," 2,7"
,,,,,,,,,,
"   Rostock, Hansestadt",47 038," 14,4",110 941," 19,0"," 2,4",637 088," 7,3",1702 162," 12,6"," 2,7"
      Deutschland,40 124," 14,1",94 238," 18,0"," 2,3",575 256," 6,8",1546 027," 10,1"," 2,7"
      Ausland,6 914," 16,5",16 703," 24,7"," 2,4",61 832," 11,9",156 135," 44,1"," 2,5"
,,,,,,,,,,
"   Schwerin, Landeshauptstadt",11 500,"- 7,1",19 717,"- 5,6"," 1,7",195 069,"- 0,8",346 632,"- 2,2"," 1,8"
      Deutschland,10 369,"- 5,8",17 564,"- 3,7"," 1,7",176 027,"- 0,3",313 783,"- 1,0"," 1,8"
      Ausland,1 131,"- 17,6",2 153,"- 18,3"," 1,9",19 042,"- 4,5",32 849,"- 12,6"," 1,7"
,,,,,,,,,,
   Mecklenburgische,,,,,,,,,,
     Seenplatte,36 240," 1,0", 117 561," 6,9"," 3,2", 976 198," 0,2",3 404 550,"- 0,1"," 3,5"
      Deutschland,34 887,"- 0,1", 114 782," 6,5"," 3,3", 943 946,"- 0,3",3 320 548,"- 0,5"," 3,5"
      Ausland,1 353," 39,9",2 779," 27,9"," 2,1",32 252," 17,7",84 002," 17,3"," 2,6"
,,,,,,,,,,
   Landkreis Rostock,50 416," 2,6",196 425," 15,9"," 3,9",1 061 486," 1,6",4 635 819," 1,9"," 4,4"
      Deutschland,48 298," 2,3",191 449," 16,3"," 4,0",1022 615," 1,3",4 527 456," 1,8"," 4,4"
      Ausland,2 118," 10,0",4 976," 2,3"," 2,3",38 871," 10,6",108 363," 8,0"," 2,8"
,,,,,,,,,,
   Vorpommern-Rügen,76 349," 4,8",293 827," 10,0"," 3,8",2012 982," 2,2",9 055 476,"- 1,8"," 4,5"
      Deutschland,74 697," 5,5",288 986," 10,4"," 3,9",1914 117," 2,0",8 756 325,"- 1,9"," 4,6"
      Ausland,1 652,"- 18,7",4 841,"- 7,0"," 2,9",98 865," 7,4",299 151," 3,7"," 3,0"
,,,,,,,,,,
   Nordwestmecklenburg,21 801," 8,6",80 879," 16,8"," 3,7",504 365," 5,0",1 982 327," 2,1"," 3,9"
      Deutschland,20 074," 8,3",76 561," 16,1"," 3,8",473 149," 3,6",1908 758," 1,2"," 4,0"
      Ausland,1 727," 12,7",4 318," 30,8"," 2,5",31 216," 33,3",73 569," 34,8"," 2,4"
,,,,,,,,,,
   Vorpommern-Greifswald,50 883," 8,0", 196 244," 21,0"," 3,9",1 250 444," 4,0",5 671 543," 3,0"," 4,5"
