"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Januar 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 236 422, 822 736
   Deutschland, 230 010, 805 031
   Ausland,6 412, 17 705
,,
"   Rostock, Hansestadt",31 556,73 605
      Deutschland,29 888,67 730
      Ausland,1 668,5 875
,,
"   Schwerin, Landeshauptstadt",8 077,12 883
      Deutschland,7 736,12 215
      Ausland,341,668
,,
   Mecklenburgische,,
     Seenplatte,26 010, 82 968
      Deutschland,25 445, 81 755
      Ausland,565,1 213
,,
   Landkreis Rostock,45 813,168 442
      Deutschland,44 580,165 203
      Ausland,1 233,3 239
,,
   Vorpommern-Rügen,55 446,224 053
      Deutschland,54 228,220 701
      Ausland,1 218,3 352
,,
   Nordwestmecklenburg,15 441,61 098
      Deutschland,15 058,60 393
      Ausland,383,705
,,
   Vorpommern-Greifswald,40 707, 154 081
      Deutschland,40 204, 152 391
      Ausland,503,1 690
,,
   Ludwigslust-Parchim,13 372,45 606
      Deutschland,12 871,44 643
      Ausland,501,963
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",3 965,7 895
      Deutschland,3 755,7 134
      Ausland,210,761
,,
"   Neubrandenburg, Stadt 3)",3 849, 5 365
      Deutschland,3 631, 5 014
      Ausland,218,351
,,
"   Stralsund, Hansestadt 4)",7 457, 14 896
      Deutschland,7 091, 14 131
      Ausland,366,765
,,
"   Wismar, Hansestadt 5)",3 993, 11 321
      Deutschland,3 749, 10 950
      Ausland,244,371
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Februar 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Februar 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 268 660, 927 343
   Deutschland, 258 899, 899 050
   Ausland,9 761, 28 293
,,
"   Rostock, Hansestadt",33 253,78 870
      Deutschland,30 972,69 292
      Ausland,2 281,9 578
,,
"   Schwerin, Landeshauptstadt",8 972,15 007
      Deutschland,8 542,14 256
      Ausland,430,751
,,
   Mecklenburgische,,
     Seenplatte,27 086, 88 104
      Deutschland,26 337, 86 493
      Ausland,749,1 611
,,
   Landkreis Rostock,49 598,190 316
      Deutschland,47 167,183 150
      Ausland,2 431,7 166
,,
   Vorpommern-Rügen,66 782,267 874
      Deutschland,64 863,262 995
      Ausland,1 919,4 879
,,
   Nordwestmecklenburg,17 357,63 148
      Deutschland,16 813,62 044
      Ausland,544,1 104
,,
   Vorpommern-Greifswald,50 106, 176 745
      Deutschland,49 579, 175 235
      Ausland,527,1 510
,,
   Ludwigslust-Parchim,15 506,47 279
      Deutschland,14 626,45 585
      Ausland,880,1 694
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",3 844,7 194
      Deutschland,3 564,6 450
      Ausland,280,744
,,
"   Neubrandenburg, Stadt 3)",3 633, 4 957
      Deutschland,3 274, 4 373
      Ausland,359,584
,,
"   Stralsund, Hansestadt 4)",8 261, 17 354
      Deutschland,7 756, 15 810
      Ausland,505,1 544
,,
"   Wismar, Hansestadt 5)",4 079, 11 371
      Deutschland,3 816, 10 923
      Ausland,263,448
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im März 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,März 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 410 256,1 334 128
   Deutschland, 397 403,1 300 801
   Ausland,12 853, 33 327
,,
"   Rostock, Hansestadt",47 256,111 663
      Deutschland,43 390,100 060
      Ausland,3 866,11 603
,,
"   Schwerin, Landeshauptstadt",11 268,18 141
      Deutschland,10 696,17 207
      Ausland,572,934
,,
   Mecklenburgische,,
     Seenplatte,43 568, 125 620
      Deutschland,42 765, 124 034
      Ausland,803,1 586
,,
   Landkreis Rostock,69 328,254 186
      Deutschland,66 970,247 778
      Ausland,2 358,6 408
,,
   Vorpommern-Rügen,113 780,406 875
      Deutschland,111 170,399 964
      Ausland,2 610,6 911
,,
   Nordwestmecklenburg,29 519,103 815
      Deutschland,28 731,102 253
      Ausland,788,1 562
,,
   Vorpommern-Greifswald,74 413, 253 149
      Deutschland,73 593, 250 755
      Ausland,820,2 394
,,
   Ludwigslust-Parchim,21 124,60 679
      Deutschland,20 088,58 750
      Ausland,1 036,1 929
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",6 378,12 799
      Deutschland,5 942,11 738
      Ausland,436,1 061
,,
"   Neubrandenburg, Stadt 3)",5 181, 7 771
      Deutschland,4 830, 7 294
      Ausland,351,477
,,
"   Stralsund, Hansestadt 4)",12 895, 27 476
      Deutschland,12 193, 25 732
      Ausland,702,1 744
,,
"   Wismar, Hansestadt 5)",7 568, 18 918
      Deutschland,7 099, 18 113
      Ausland,469,805
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im April 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,April 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
Gäste innerhalb/außerhalb,,
Deutschlands,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 532 904,1 941 928
   Deutschland, 511 899,1 889 515
   Ausland,21 005, 52 413
,,
"   Rostock, Hansestadt",52 551,142 372
      Deutschland,48 205,131 187
      Ausland,4 346,11 185
,,
"   Schwerin, Landeshauptstadt",15 396,27 232
      Deutschland,14 092,24 889
      Ausland,1 304,2 343
,,
   Mecklenburgische,,
     Seenplatte,68 842, 221 159
      Deutschland,67 066, 217 017
      Ausland,1 776,4 142
,,
   Landkreis Rostock,84 424,340 330
      Deutschland,81 800,334 117
      Ausland,2 624,6 213
,,
   Vorpommern-Rügen,150 386,603 190
      Deutschland,144 605,588 030
      Ausland,5 781,15 160
,,
   Nordwestmecklenburg,40 551,149 971
      Deutschland,38 319,144 831
      Ausland,2 232,5 140
,,
   Vorpommern-Greifswald,93 441, 376 358
      Deutschland,91 872, 371 598
      Ausland,1 569,4 760
,,
   Ludwigslust-Parchim,27 313,81 316
      Deutschland,25 940,77 846
      Ausland,1 373,3 470
,,
Nachrichtlich,,
,,
"   Greifswald, Hansestadt 2)",6 365,15 316
      Deutschland,5 850,13 856
      Ausland,515,1 460
,,
"   Neubrandenburg, Stadt 3)",4 763, 7 587
      Deutschland,4 084, 6 583
      Ausland,679,1 004
,,
"   Stralsund, Hansestadt 4)",15 304, 35 356
      Deutschland,13 852, 32 155
      Ausland,1 452,3 201
,,
"   Wismar, Hansestadt 5)",9 010, 22 219
      Deutschland,7 845, 19 911
      Ausland,1 165,2 308
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
"2.4  Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Mai 2012 in Beherbergungsbetrieben",,
 (einschl. Camping) Mecklenburg-Vorpommerns nach Kreisen,,
und nach dem ständigen Wohnsitz der Gäste,,
,,
,Mai 2012,
Kreisfreie Stadt,Ankünfte,Übernachtungen
Landkreis,,
Große kreisangehörige Stadt,,
-,ins-,ins-
Ständiger Wohnsitz der,gesamt,gesamt
