"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2013,,,,,Januar bis Januar 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 224 963,"-4,5", 828 925,"0,9"," 3,7", 224 963,"-4,5", 828 925,"0,9"," 3,7"
Deutschland, 218 256,"-4,8", 810 049,"0,8"," 3,7", 218 256,"-4,8", 810 049,"0,8"," 3,7"
Ausland,6 707,"6,6", 18 876,"7,5"," 2,8", 6 707,"6,6", 18 876,"7,5"," 2,8"
,,,,,,,,,,
"Rostock, Hansestadt",32 894,"7,5",76 922,"6,7"," 2,3",32 894,"7,5",76 922,"6,7"," 2,3"
Deutschland,30 531,"5,1",69 722,"5,1"," 2,3",30 531,"5,1",69 722,"5,1"," 2,3"
Ausland,2 363,"52,5",7 200,"25,5"," 3,0",2 363,"52,5",7 200,"25,5"," 3,0"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",7 849,"-2,8",12 187,"-5,4"," 1,6",7 849,"-2,8",12 187,"-5,4"," 1,6"
Deutschland,7 481,"-3,3",11 586,"-5,1"," 1,5",7 481,"-3,3",11 586,"-5,1"," 1,5"
Ausland, 368,"7,9", 601,"-10,0"," 1,6", 368,"7,9", 601,"-10,0"," 1,6"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,22 899,"-12,0", 85 049,"2,5"," 3,7", 22 899,"-12,0", 85 049,"2,5"," 3,7"
Deutschland,22 322,"-12,3", 83 766,"2,4"," 3,8", 22 322,"-12,3", 83 766,"2,4"," 3,8"
Ausland, 577,"2,1",1 283,"5,8"," 2,2", 577,"2,1",1 283,"5,8"," 2,2"
,,,,,,,,,,
Landkreis Rostock,40 687,"-11,2",168 711,"0,2"," 4,1", 40 687,"-11,2", 168 711,"0,2"," 4,1"
Deutschland,40 003,"-10,2",166 481,"0,8"," 4,2",40 003,"-10,2", 166 481,"0,8"," 4,2"
Ausland, 684,"-44,5",2 230,"-31,2"," 3,3", 684,"-44,5",2 230,"-31,2"," 3,3"
,,,,,,,,,,
Vorpommern-Rügen,51 783,"-6,6",215 273,"-3,9"," 4,2",51 783,"-6,6", 215 273,"-3,9"," 4,2"
Deutschland,50 801,"-6,3",212 833,"-3,6"," 4,2",50 801,"-6,3", 212 833,"-3,6"," 4,2"
Ausland, 982,"-19,4",2 440,"-27,2"," 2,5", 982,"-19,4",2 440,"-27,2"," 2,5"
,,,,,,,,,,
Nordwestmecklenburg,15 259,"-1,2",65 035,"6,4"," 4,3",15 259,"-1,2", 65 035,"6,4"," 4,3"
Deutschland,14 700,"-2,4",63 232,"4,7"," 4,3",14 700,"-2,4",63 232,"4,7"," 4,3"
