"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Februar 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Februar 2013,,,,,Januar bis Februar 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 285 899,"6,4", 997 188,"7,5"," 3,5", 510 862,"1,3",1 826 113,"4,4"," 3,6"
Deutschland, 275 886,"6,6", 967 045,"7,5"," 3,5", 494 142,"1,2",1 777 094,"4,3"," 3,6"
Ausland,10 013,"2,6", 30 143,"6,5"," 3,0", 16 720,"4,1", 49 019,"6,9"," 2,9"
,,,,,,,,,,
"Rostock, Hansestadt",36 734,"10,5",87 789,"11,3"," 2,4",69 628,"9,0",164 711,"9,1"," 2,4"
Deutschland,34 286,"10,7",79 308,"14,5"," 2,3",64 817,"8,0",149 030,"9,9"," 2,3"
Ausland,2 448,"7,3",8 481,"-11,5"," 3,5",4 811,"25,6",15 681,"2,4"," 3,3"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",8 627,"-3,8",14 217,"-5,3"," 1,6",16 476,"-3,4",26 404,"-5,3"," 1,6"
Deutschland,8 216,"-3,8",13 517,"-5,2"," 1,6",15 697,"-3,6",25 103,"-5,2"," 1,6"
Ausland, 411,"-4,4", 700,"-6,8"," 1,7", 779,"1,0",1 301,"-8,3"," 1,7"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,28 309,"4,4", 94 363,"7,0"," 3,3", 51 208,"-3,6", 179 412,"4,8"," 3,5"
Deutschland,27 534,"4,5", 92 499,"6,9"," 3,4", 49 856,"-3,8", 176 265,"4,7"," 3,5"
Ausland, 775,"3,5",1 864,"15,7"," 2,4",1 352,"2,9",3 147,"11,4"," 2,3"
,,,,,,,,,,
Landkreis Rostock,51 323,"3,5",198 426,"4,3"," 3,9", 92 010,"-3,5", 367 137,"2,4"," 4,0"
Deutschland,48 554,"3,0",189 468,"3,5"," 3,9",88 557,"-3,4", 355 949,"2,2"," 4,0"
Ausland,2 769,"13,9",8 958,"25,0"," 3,2",3 453,"-5,8",11 188,"7,5"," 3,2"
,,,,,,,,,,
Vorpommern-Rügen,72 992,"9,3",282 269,"5,2"," 3,9",124 775,"2,1", 497 542,"1,1"," 4,0"
Deutschland,71 519,"10,3",278 263,"5,7"," 3,9",122 320,"2,7", 491 096,"1,5"," 4,0"
Ausland,1 473,"-23,2",4 006,"-17,9"," 2,7",2 455,"-21,7",6 446,"-21,7"," 2,6"
,,,,,,,,,,
Nordwestmecklenburg,18 722,"7,9",70 750,"12,0"," 3,8",33 981,"3,6", 135 785,"9,3"," 4,0"
Deutschland,18 100,"7,7",68 838,"11,0"," 3,8",32 800,"2,9",132 070,"7,9"," 4,0"
Ausland, 622,"14,3",1 912,"73,2"," 3,1",1 181,"27,4",3 715,"105,4"," 3,1"
,,,,,,,,,,
Vorpommern-Greifswald,53 242,"6,3", 200 041,"13,2"," 3,8", 92 621,"2,0", 359 638,"8,7"," 3,9"
Deutschland,52 699,"6,3", 197 992,"13,0"," 3,8", 91 430,"1,8", 355 415,"8,5"," 3,9"
Ausland, 543,"3,0",2 049,"35,7"," 3,8",1 191,"15,6",4 223,"32,0"," 3,5"
,,,,,,,,,,
Ludwigslust-Parchim,15 950,"2,9",49 333,"4,3"," 3,1",30 163,"4,4",95 484,"2,8"," 3,2"
Deutschland,14 978,"2,4",47 160,"3,5"," 3,1",28 665,"4,2",92 166,"2,1"," 3,2"
Ausland, 972,"10,5",2 173,"28,3"," 2,2",1 498,"8,5",3 318,"24,9"," 2,2"
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",3 733,"-2,9",7 979,"10,9"," 2,1",7 154,"-8,4", 15 591,"3,3"," 2,2"
Deutschland,3 495,"-1,9",7 080,"9,8"," 2,0",6 607,"-9,7", 13 811,"1,7"," 2,1"
Ausland, 238,"-15,0", 899,"20,8"," 3,8", 547,"11,6",1 780,"18,3"," 3,3"
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",3 987,"9,7", 5 514,"11,2"," 1,4", 8 228,"10,0", 11 648,"12,8"," 1,4"
Deutschland,3 712,"13,4", 5 200,"18,9"," 1,4", 7 702,"11,5", 11 010,"17,3"," 1,4"
Ausland, 275,"-23,4", 314,"-46,2"," 1,1", 526,"-8,8", 638,"-31,8"," 1,2"
,,,,,,,,,,
