"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im März 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",März 2013,,,,,Januar bis März 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 436 807," 6,4",1 521 413," 13,9"," 3,5", 947 669," 3,6",3 347 526," 8,5"," 3,5"
Deutschland, 423 236," 6,4",1 488 075," 14,2"," 3,5", 917 378," 3,6",3 265 169," 8,6"," 3,6"
Ausland,13 571," 5,6", 33 338," 0,0"," 2,5", 30 291," 4,8", 82 357," 4,0"," 2,7"
,,,,,,,,,,
"Rostock, Hansestadt",51 658," 9,3",121 490," 8,8"," 2,4",121 286," 9,2",286 201," 9,0"," 2,4"
Deutschland,47 604," 9,7",112 377," 12,3"," 2,4",112 421," 8,7",261 407," 10,9"," 2,3"
Ausland,4 054," 4,9",9 113,"- 21,5"," 2,2",8 865," 15,2",24 794,"- 7,9"," 2,8"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",11 482," 1,9",19 226," 6,0"," 1,7",27 958,"- 1,3",45 630,"- 0,9"," 1,6"
Deutschland,10 821," 1,2",18 132," 5,4"," 1,7",26 518,"- 1,7",43 235,"- 1,0"," 1,6"
Ausland, 661," 15,6",1 094," 17,1"," 1,7",1 440," 7,2",2 395," 1,8"," 1,7"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,46 611," 7,0", 141 915," 13,0"," 3,0", 97 819," 1,2", 321 327," 8,3"," 3,3"
Deutschland,45 595," 6,6", 139 906," 12,8"," 3,1", 95 451," 0,9", 316 171," 8,1"," 3,3"
Ausland,1 016," 26,5",2 009," 26,7"," 2,0",2 368," 11,9",5 156," 16,9"," 2,2"
,,,,,,,,,,
Landkreis Rostock,72 763," 5,0",284 654," 12,0"," 3,9", 164 773," 0,0", 651 791," 6,4"," 4,0"
Deutschland,70 683," 5,5",279 167," 12,7"," 3,9",159 240," 0,4", 635 116," 6,6"," 4,0"
Ausland,2 080,"- 11,8",5 487,"- 14,4"," 2,6",5 533,"- 8,1",16 675,"- 0,8"," 3,0"
,,,,,,,,,,
Vorpommern-Rügen,122 967," 7,8",474 686," 16,2"," 3,9",247 742," 4,8", 972 228," 7,9"," 3,9"
Deutschland,120 477," 8,1",468 321," 16,6"," 3,9",242 797," 5,3", 959 417," 8,3"," 4,0"
Ausland,2 490,"- 4,6",6 365,"- 7,9"," 2,6",4 945,"- 14,0",12 811,"- 15,4"," 2,6"
,,,,,,,,,,
Nordwestmecklenburg,31 200," 5,7",119 705," 15,3"," 3,8",65 181," 4,6", 255 490," 12,0"," 3,9"
Deutschland,30 184," 5,1",116 883," 14,3"," 3,9",62 984," 3,9",248 953," 10,8"," 4,0"
Ausland,1 016," 28,9",2 822," 80,7"," 2,8",2 197," 28,1",6 537," 93,9"," 3,0"
,,,,,,,,,,
Vorpommern-Greifswald,77 792," 4,5", 293 807," 16,1"," 3,8", 170 413," 3,1", 653 445," 11,9"," 3,8"
Deutschland,76 743," 4,3", 290 242," 15,7"," 3,8", 168 173," 2,9", 645 657," 11,6"," 3,8"
