"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im April 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",April 2013,,,,,Januar bis April 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 429 214,"- 19,6",1 505 542,"- 22,6"," 3,5",1 376 883,"- 5,0",4 853 068,"- 3,5"," 3,5"
Deutschland, 411 392,"- 19,8",1 461 824,"- 22,7"," 3,6",1 328 770,"- 5,0",4 726 993,"- 3,5"," 3,6"
Ausland,17 822,"- 15,2", 43 718,"- 16,6"," 2,5", 48 113,"- 3,6", 126 075,"- 4,2"," 2,6"
,,,,,,,,,,
"Rostock, Hansestadt",47 093,"- 10,4",110 664,"- 22,3"," 2,3",168 379," 2,9",396 865,"- 2,0"," 2,4"
Deutschland,42 643,"- 11,5",101 521,"- 22,6"," 2,4",155 064," 2,3",362 928,"- 1,1"," 2,3"
Ausland,4 450," 2,4",9 143,"- 18,3"," 2,1",13 315," 10,6",33 937,"- 10,9"," 2,5"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",14 444,"- 6,2",24 245,"- 11,0"," 1,7",42 402,"- 3,0",69 875,"- 4,6"," 1,6"
Deutschland,13 408,"- 4,9",22 488,"- 9,6"," 1,7",39 926,"- 2,8",65 723,"- 4,1"," 1,6"
Ausland,1 036,"- 20,6",1 757,"- 25,0"," 1,7",2 476,"- 6,5",4 152,"- 11,6"," 1,7"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,50 557,"- 26,6", 153 521,"- 30,6"," 3,0", 148 376,"- 10,4", 474 848,"- 8,3"," 3,2"
Deutschland,49 331,"- 26,5", 150 705,"- 30,6"," 3,1", 144 782,"- 10,5", 466 876,"- 8,4"," 3,2"
Ausland,1 226,"- 31,0",2 816,"- 32,0"," 2,3",3 594,"- 7,7",7 972,"- 6,8"," 2,2"
,,,,,,,,,,
Landkreis Rostock,68 351,"- 19,0",271 883,"- 20,1"," 4,0", 233 124,"- 6,4", 923 674,"- 3,1"," 4,0"
Deutschland,66 116,"- 19,1",266 078,"- 20,3"," 4,0",225 356,"- 6,3", 901 194,"- 3,1"," 4,0"
Ausland,2 235,"- 14,8",5 805,"- 6,6"," 2,6",7 768,"- 10,2",22 480,"- 2,4"," 2,9"
,,,,,,,,,,
