"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Mai 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Mai 2013,,,,,Januar bis Mai 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 754 975," 2,1",2 746 134," 2,7"," 3,6",2 124 136,"- 2,9",7 596 506,"- 1,4"," 3,6"
Deutschland, 721 643," 1,8",2 656 818," 2,4"," 3,7",2 042 794,"- 3,1",7 381 062,"- 1,5"," 3,6"
Ausland,33 332," 8,8", 89 316," 11,6"," 2,7", 81 342," 1,0", 215 444," 1,8"," 2,6"
,,,,,,,,,,
"Rostock, Hansestadt",69 055," 17,0",180 512," 15,7"," 2,6",237 434," 6,6",577 377," 2,9"," 2,4"
Deutschland,62 311," 16,7",165 462," 15,1"," 2,7",217 375," 6,0",528 390," 3,5"," 2,4"
Ausland,6 744," 19,3",15 050," 21,9"," 2,2",20 059," 13,3",48 987,"- 2,9"," 2,4"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",21 422," 2,9",40 239," 5,8"," 1,9",63 824,"- 1,1",110 114,"- 1,1"," 1,7"
Deutschland,19 453," 1,2",36 456," 3,1"," 1,9",59 379,"- 1,5",102 179,"- 1,7"," 1,7"
Ausland,1 969," 24,5",3 783," 42,4"," 1,9",4 445," 5,1",7 935," 7,9"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,125 598," 5,0", 384 738," 3,6"," 3,1", 273 852,"- 4,0", 859 498,"- 3,4"," 3,1"
Deutschland,122 990," 5,3", 377 682," 3,5"," 3,1", 267 653,"- 3,9", 844 470,"- 3,4"," 3,2"
Ausland,2 608,"- 6,3",7 056," 7,5"," 2,7",6 199,"- 7,1",15 028,"- 0,6"," 2,4"
,,,,,,,,,,
Landkreis Rostock,109 407," 2,1",444 829," 4,6"," 4,1", 341 078,"- 4,2",1 366 223,"- 0,9"," 4,0"
Deutschland,106 110," 2,2",435 334," 4,5"," 4,1",329 999,"- 4,1",1 334 115,"- 0,9"," 4,0"
Ausland,3 297," 0,9",9 495," 5,4"," 2,9",11 079,"- 7,0",32 108," 0,2"," 2,9"
,,,,,,,,,,
Vorpommern-Rügen,200 576,"- 1,4",831 908," 0,0"," 4,1",558 137,"- 5,6",2 255 675,"- 3,5"," 4,0"
Deutschland,189 866,"- 1,7",800 152,"- 0,3"," 4,2",538 003,"- 5,5",2 199 232,"- 3,5"," 4,1"
Ausland,10 710," 4,9",31 756," 10,3"," 3,0",20 134,"- 7,4",56 443,"- 4,5"," 2,8"
,,,,,,,,,,
Nordwestmecklenburg,56 040," 0,0",201 587," 0,2"," 3,6",154 394,"- 2,9", 578 501,"- 0,1"," 3,7"
Deutschland,53 119," 0,0",194 065," 0,7"," 3,7",147 642,"- 2,9",560 041,"- 0,4"," 3,8"
Ausland,2 921,"- 0,7",7 522,"- 11,1"," 2,6",6 752,"- 2,0",18 460," 8,8"," 2,7"
,,,,,,,,,,
Vorpommern-Greifswald,131 970,"- 0,6", 538 660," 1,6"," 4,1", 378 631,"- 3,3",1 493 735," 0,2"," 3,9"
Deutschland,129 242,"- 0,8", 530 157," 1,4"," 4,1", 372 229,"- 3,4",1 472 566," 0,0"," 4,0"
Ausland,2 728," 10,9",8 503," 15,5"," 3,1",6 402," 8,9",21 169," 19,5"," 3,3"
,,,,,,,,,,
Ludwigslust-Parchim,40 907," 0,5",123 661," 2,4"," 3,0",116 786,"- 1,0",355 383,"- 0,1"," 3,0"
Deutschland,38 552,"- 1,0",117 510," 1,3"," 3,0",110 514,"- 1,7",340 069,"- 0,8"," 3,1"
Ausland,2 355," 35,9",6 151," 27,0"," 2,6",6 272," 13,6",15 314," 18,7"," 2,4"
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",9 509," 2,3",21 655," 5,9"," 2,3",28 616,"- 4,1", 64 390," 1,2"," 2,3"
Deutschland,8 851," 0,9",19 785," 4,9"," 2,2",26 536,"- 4,8", 57 520,"- 0,9"," 2,2"
Ausland, 658," 27,0",1 870," 18,8"," 2,8",2 080," 6,2",6 870," 22,7"," 3,3"
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",6 585,"- 9,7", 11 466,"- 9,6"," 1,7", 25 326," 2,5", 39 001," 1,7"," 1,5"
Deutschland,6 199,"- 10,2", 10 708,"- 11,6"," 1,7", 23 774," 4,6", 36 707," 3,8"," 1,5"
Ausland, 386,"- 0,5", 758," 32,1"," 2,0",1 552,"- 22,2",2 294,"- 23,3"," 1,5"
,,,,,,,,,,
"Stralsund, Hansestadt 4)",18 036,"- 6,0", 43 704," 1,5"," 2,4", 59 246,"- 6,1", 134 415,"- 2,7"," 2,3"
Deutschland,15 617,"- 8,1", 37 553,"- 1,3"," 2,4", 54 403,"- 6,0", 122 277,"- 2,9"," 2,2"
Ausland,2 419," 10,2",6 151," 22,6"," 2,5",4 843,"- 7,2",12 138,"- 1,1"," 2,5"
,,,,,,,,,,
"Wismar, Hansestadt 5)",12 390," 13,2", 29 310," 13,9"," 2,4", 36 591," 2,8", 95 713," 6,9"," 2,6"
Deutschland,10 906," 14,6", 26 658," 14,4"," 2,4", 32 892," 2,7", 88 072," 5,9"," 2,7"
Ausland,1 484," 3,8",2 652," 9,2"," 1,8",3 699," 3,6",7 641," 20,1"," 2,1"
______,,,,,,,,,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,,,,,,,,,
2) zu Vorpommern-Greifswald,,,,,,,,,,
3) zu Mecklenburgische Seenplatte,,,,,,,,,,
4) zu Vorpommern-Rügen,,,,,,,,,,
5) zu Nordwestmecklenburg,,,,,,,,,,
