"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juni 2013 in Beherbergungsbetrieben",,,,,,,,,,
(einschl. Camping) ,,,,,,,,,,
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juni 2013,,,,,Januar bis Juni 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 782 584," 0,2",3 094 605,"- 2,0"," 4,0",2 906 414,"- 2,1",10 690 038,"- 1,6"," 3,7"
Deutschland, 741 747," 0,0",2 975 418,"- 2,3"," 4,0",2 784 254,"- 2,3",10 355 506,"- 1,7"," 3,7"
Ausland,40 837," 2,7", 119 187," 6,7"," 2,9", 122 160," 1,6", 334 532," 3,5"," 2,7"
,,,,,,,,,,
"Rostock, Hansestadt",71 211," 15,2",206 821," 17,8"," 2,9",308 645," 8,5",784 198," 6,5"," 2,5"
Deutschland,64 721," 14,5",190 102," 17,6"," 2,9",282 096," 7,9",718 492," 6,9"," 2,5"
Ausland,6 490," 22,8",16 719," 20,2"," 2,6",26 549," 15,5",65 706," 2,1"," 2,5"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",21 524,"- 2,5",38 727,"- 3,1"," 1,8",85 348,"- 1,4",148 841,"- 1,6"," 1,7"
Deutschland,19 776,"- 0,5",35 541,"- 2,8"," 1,8",79 155,"- 1,3",137 720,"- 2,0"," 1,7"
Ausland,1 748,"- 20,2",3 186,"- 6,0"," 1,8",6 193,"- 3,5",11 121," 3,5"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,120 481," 0,9", 383 021,"- 3,5"," 3,2", 394 185,"- 2,6",1 242 061,"- 3,4"," 3,2"
Deutschland,116 384," 1,3", 372 014,"- 3,4"," 3,2", 383 889,"- 2,4",1 216 026,"- 3,4"," 3,2"
Ausland,4 097,"- 9,8",11 007,"- 5,9"," 2,7",10 296,"- 8,2",26 035,"- 2,9"," 2,5"
,,,,,,,,,,
Landkreis Rostock,114 751," 2,4",505 579," 1,2"," 4,4", 455 844,"- 2,7",1 871 958,"- 0,3"," 4,1"
Deutschland,111 002," 2,0",495 068," 1,0"," 4,5",441 016,"- 2,7",1 829 339,"- 0,4"," 4,1"
Ausland,3 749," 13,7",10 511," 11,0"," 2,8",14 828,"- 2,5",42 619," 2,7"," 2,9"
,,,,,,,,,,
Vorpommern-Rügen,217 068,"- 2,6",963 922,"- 5,3"," 4,4",775 143,"- 4,8",3 219 409,"- 4,1"," 4,2"
Deutschland,202 935,"- 3,1",920 251,"- 5,7"," 4,5",740 876,"- 4,9",3 119 295,"- 4,2"," 4,2"
Ausland,14 133," 6,0",43 671," 5,0"," 3,1",34 267,"- 2,3",100 114,"- 0,6"," 2,9"
,,,,,,,,,,
Nordwestmecklenburg,54 517,"- 1,9",211 871,"- 1,8"," 3,9",208 909,"- 2,6", 790 424,"- 0,6"," 3,8"
Deutschland,51 048,"- 0,9",201 623,"- 2,3"," 3,9",198 687,"- 2,4",761 700,"- 0,9"," 3,8"
Ausland,3 469,"- 15,0",10 248," 10,2"," 3,0",10 222,"- 6,8",28 724," 9,3"," 2,8"
,,,,,,,,,,
Vorpommern-Greifswald,143 749,"- 1,9", 659 102,"- 3,6"," 4,6", 522 325,"- 2,9",2 152 568,"- 1,0"," 4,1"
Deutschland,139 318,"- 2,0", 644 856,"- 3,8"," 4,6", 511 502,"- 3,1",2 117 165,"- 1,2"," 4,1"
Ausland,4 431," 3,8",14 246," 5,6"," 3,2",10 823," 6,7",35 403," 13,4"," 3,3"
,,,,,,,,,,
Ludwigslust-Parchim,39 283,"- 4,3",125 562,"- 2,5"," 3,2",156 015,"- 1,9",480 579,"- 0,8"," 3,1"
Deutschland,36 563,"- 4,6",115 963,"- 3,3"," 3,2",147 033,"- 2,5",455 769,"- 1,5"," 3,1"
Ausland,2 720,"- 1,3",9 599," 8,4"," 3,5",8 982," 8,5",24 810," 14,1"," 2,8"
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",10 247," 7,1",24 161," 7,2"," 2,4",38 863,"- 1,4", 88 551," 2,8"," 2,3"
Deutschland,9 509," 7,9",22 399," 8,0"," 2,4",36 045,"- 1,8", 79 919," 1,4"," 2,2"
Ausland, 738,"- 2,4",1 762,"- 1,7"," 2,4",2 818," 3,8",8 632," 16,8"," 3,1"
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",8 125,"- 2,2", 14 492,"- 3,9"," 1,8", 33 451," 1,3", 53 493," 0,1"," 1,6"
Deutschland,7 376,"- 0,8", 13 218,"- 4,2"," 1,8", 31 150," 3,3", 49 925," 1,5"," 1,6"
Ausland, 749,"- 14,2",1 274,"- 1,1"," 1,7",2 301,"- 19,8",3 568,"- 16,6"," 1,6"
,,,,,,,,,,
"Stralsund, Hansestadt 4)",20 480,"- 4,9", 46 738,"- 6,9"," 2,3", 79 726,"- 5,8", 181 153,"- 3,8"," 2,3"
Deutschland,17 733,"- 7,1", 40 491,"- 8,6"," 2,3", 72 136,"- 6,3", 162 768,"- 4,3"," 2,3"
