"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Juli 2013 in Beherbergungsbetrieben",,,,,,,,,,
(einschl. Camping) ,,,,,,,,,,
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juli 2013,,,,,Januar bis Juli 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern,1 122 554," 10,3",5 215 524," 9,4"," 4,6",4 042 860," 1,4",15 947 185," 2,0"," 3,9"
Deutschland,1 044 967," 10,5",4 989 578," 9,5"," 4,8",3 842 208," 1,2",15 382 901," 1,9"," 4,0"
Ausland,77 587," 7,8", 225 946," 6,9"," 2,9", 200 652," 4,3", 564 284," 5,5"," 2,8"
,,,,,,,,,,
"Rostock, Hansestadt",94 707," 34,0",340 723," 55,1"," 3,6",403 974," 13,7",1126 006," 17,7"," 2,8"
Deutschland,82 133," 35,0",310 474," 57,7"," 3,8",364 785," 13,2",1029 799," 18,5"," 2,8"
Ausland,12 574," 27,5",30 249," 32,4"," 2,4",39 189," 19,3",96 207," 10,3"," 2,5"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",23 751," 0,9",45 041," 3,8"," 1,9",108 710,"- 1,3",193 150,"- 0,8"," 1,8"
Deutschland,20 100," 0,4",38 830," 3,2"," 1,9",98 844,"- 1,3",175 779,"- 1,3"," 1,8"
Ausland,3 651," 3,5",6 211," 7,2"," 1,7",9 866,"- 0,8",17 371," 5,1"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,182 709," 15,5", 725 218," 15,8"," 4,0", 576 920," 2,5",1 967 935," 2,9"," 3,4"
Deutschland,175 056," 15,8", 701 669," 15,8"," 4,0", 558 802," 2,6",1 918 153," 2,8"," 3,4"
Ausland,7 653," 8,7",23 549," 18,1"," 3,1",18 118,"- 0,8",49 782," 6,5"," 2,7"
,,,,,,,,,,
Landkreis Rostock,151 080," 6,6",781 645," 6,2"," 5,2", 607 366,"- 0,4",2 655 783," 1,6"," 4,4"
Deutschland,143 484," 6,9",757 795," 6,3"," 5,3",584 772,"- 0,4",2 588 891," 1,6"," 4,4"
Ausland,7 596," 1,2",23 850," 0,3"," 3,1",22 594,"- 0,5",66 892," 2,5"," 3,0"
,,,,,,,,,,
Vorpommern-Rügen,343 290," 6,2",1718 640," 4,1"," 5,0",1132 968,"- 0,4",4 983 451,"- 0,5"," 4,4"
Deutschland,315 556," 6,1",1631 699," 4,0"," 5,2",1070 335,"- 0,6",4 793 222,"- 0,6"," 4,5"
Ausland,27 734," 8,0",86 941," 6,1"," 3,1",62 633," 3,1",190 229," 4,2"," 3,0"
,,,,,,,,,,
Nordwestmecklenburg,78 885," 6,0",353 884," 9,2"," 4,5",287 891,"- 0,4",1 144 107," 2,2"," 4,0"
Deutschland,71 859," 7,6",336 799," 9,9"," 4,7",270 642," 0,1",1098 348," 2,2"," 4,1"
Ausland,7 026,"- 7,8",17 085,"- 2,7"," 2,4",17 249,"- 7,2",45 759," 4,4"," 2,7"
,,,,,,,,,,
Vorpommern-Greifswald,198 768," 9,2",1 062 812," 6,4"," 5,3", 720 260," 0,0",3 211 057," 1,2"," 4,5"
Deutschland,191 501," 9,6",1 037 993," 6,8"," 5,4", 702 309," 0,0",3 151 002," 1,1"," 4,5"
Ausland,7 267,"- 0,8",24 819,"- 5,6"," 3,4",17 951," 2,7",60 055," 4,4"," 3,3"
,,,,,,,,,,
Ludwigslust-Parchim,49 364," 12,2",187 561," 11,0"," 3,8",204 771," 0,8",665 696," 1,9"," 3,3"
Deutschland,45 278," 11,7",174 319," 11,9"," 3,8",191 719," 0,2",627 707," 1,5"," 3,3"
Ausland,4 086," 18,6",13 242," 0,5"," 3,2",13 052," 11,3",37 989," 8,8"," 2,9"
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",10 537," 3,3",24 930," 1,1"," 2,4",49 528,"- 0,2", 113 556," 2,5"," 2,3"
Deutschland,9 638," 4,9",23 080," 3,7"," 2,4",45 932," 0,1", 103 214," 2,2"," 2,2"
Ausland, 899,"- 11,5",1 850,"- 22,9"," 2,1",3 596,"- 3,6",10 342," 5,6"," 2,9"
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",7 513," 3,9", 14 619," 8,6"," 1,9", 41 016," 1,9", 68 131," 1,8"," 1,7"
Deutschland,6 769," 6,5", 13 056," 6,4"," 1,9", 37 949," 3,9", 62 980," 2,5"," 1,7"
Ausland, 744,"- 15,0",1 563," 30,7"," 2,1",3 067,"- 18,1",5 151,"- 5,9"," 1,7"
,,,,,,,,,,
"Stralsund, Hansestadt 4)",27 032," 1,1", 62 068," 1,7"," 2,3", 106 821,"- 4,1", 243 339,"- 2,4"," 2,3"
Deutschland,21 416,"- 0,2", 49 526," 0,8"," 2,3", 93 612,"- 4,9", 212 403,"- 3,1"," 2,3"
Ausland,5 616," 6,3",12 542," 5,3"," 2,2",13 209," 2,1",30 936," 2,8"," 2,3"
,,,,,,,,,,
"Wismar, Hansestadt 5)",15 323," 6,0", 36 428," 5,9"," 2,4", 63 529," 2,5", 160 418," 6,3"," 2,5"
