"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im August 2013 in Beherbergungsbetrieben",,,,,,,,,,
(einschl. Camping) ,,,,,,,,,,
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",August 2013,,,,,Januar bis August 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern,1 080 904," 1,9",5 016 854,"- 0,9"," 4,6",5 131 571," 1,7",21 051 092," 1,7"," 4,1"
Deutschland,1 024 360," 1,8",4 841 074,"- 1,2"," 4,7",4 872 936," 1,5",20 306 513," 1,6"," 4,2"
Ausland,56 544," 5,0", 175 780," 9,6"," 3,1", 258 635," 5,1", 744 579," 7,1"," 2,9"
,,,,,,,,,,
"Rostock, Hansestadt",92 808," 28,2",322 476," 40,5"," 3,5",496 423," 16,1",1447 087," 22,0"," 2,9"
Deutschland,84 928," 28,7",303 167," 41,6"," 3,6",449 554," 15,8",1331 953," 23,0"," 3,0"
Ausland,7 880," 23,3",19 309," 25,1"," 2,5",46 869," 19,5",115 134," 12,2"," 2,5"
,,,,,,,,,,
"Schwerin, ",,,,,,,,,,
Landeshauptstadt,26 182," 7,2",48 551," 5,1"," 1,9",134 363,"- 0,1",240 130,"- 0,3"," 1,8"
Deutschland,23 005," 9,2",43 003," 7,3"," 1,9",120 932,"- 0,3",216 560,"- 0,8"," 1,8"
Ausland,3 177,"- 5,7",5 548,"- 9,5"," 1,7",13 431," 0,9",23 570," 4,0"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,171 187," 1,9", 659 291,"- 4,2"," 3,9", 746 563," 2,2",2 622 544," 0,8"," 3,5"
Deutschland,165 315," 2,2", 641 915,"- 4,2"," 3,9", 722 593," 2,3",2 555 262," 0,8"," 3,5"
Ausland,5 872,"- 5,8",17 376,"- 6,1"," 3,0",23 970,"- 2,1",67 282," 3,1"," 2,8"
,,,,,,,,,,
Landkreis Rostock,147 397," 0,1",757 179,"- 0,4"," 5,1", 754 642,"- 0,4",3 408 336," 1,0"," 4,5"
Deutschland,141 375,"- 0,8",738 191,"- 1,0"," 5,2",725 876,"- 0,5",3 322 243," 0,8"," 4,6"
Ausland,6 022," 25,9",18 988," 29,1"," 3,2",28 766," 4,6",86 093," 7,6"," 3,0"
,,,,,,,,,,
Vorpommern-Rügen,332 066,"- 1,7",1708 556,"- 3,8"," 5,1",1476 317," 0,1",6 794 330," 0,2"," 4,6"
Deutschland,312 386,"- 2,2",1640 787,"- 4,4"," 5,3",1392 670,"- 0,2",6 531 018,"- 0,1"," 4,7"
Ausland,19 680," 6,3",67 769," 12,4"," 3,4",83 647," 5,6",263 312," 8,4"," 3,1"
,,,,,,,,,,
Nordwestmecklenburg,74 972,"- 4,5",327 604,"- 5,8"," 4,4",362 624,"- 1,3",1 470 854," 0,3"," 4,1"
Deutschland,70 266,"- 4,4",314 843,"- 6,3"," 4,5",340 783,"- 0,9",1412 569," 0,1"," 4,1"
Ausland,4 706,"- 5,1",12 761," 6,5"," 2,7",21 841,"- 7,2",58 285," 4,4"," 2,7"
,,,,,,,,,,
Vorpommern-Greifswald,188 647," 1,9",1 020 688,"- 1,6"," 5,4", 908 362," 0,4",4 230 525," 0,5"," 4,7"
Deutschland,182 632," 2,0", 998 804,"- 1,6"," 5,5", 884 364," 0,3",4 149 483," 0,5"," 4,7"
Ausland,6 015,"- 2,6",21 884,"- 3,3"," 3,6",23 998," 1,5",81 042," 1,1"," 3,4"
,,,,,,,,,,
Ludwigslust-Parchim,47 645," 1,4",172 509,"- 1,1"," 3,6",252 277," 0,9",837 286," 1,2"," 3,3"
Deutschland,44 453," 2,1",160 364,"- 2,0"," 3,6",236 164," 0,6",787 425," 0,7"," 3,3"
Ausland,3 192,"- 7,2",12 145," 13,3"," 3,8",16 113," 6,3",49 861," 9,2"," 3,1"
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",11 088," 2,2",28 289," 4,4"," 2,6",60 560," 0,2", 141 913," 2,9"," 2,3"
Deutschland,10 164," 4,2",26 115," 6,8"," 2,6",56 040," 0,7", 129 396," 3,1"," 2,3"
Ausland, 924,"- 15,6",2 174,"- 17,7"," 2,4",4 520,"- 6,3",12 517," 0,7"," 2,8"
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",7 547,"- 2,0", 14 328,"- 0,4"," 1,9", 48 487," 1,1", 82 315," 1,3"," 1,7"
Deutschland,6 960," 5,2", 13 474," 5,8"," 1,9", 44 860," 4,0", 76 360," 3,0"," 1,7"
Ausland, 587,"- 45,9", 854,"- 48,2"," 1,5",3 627,"- 24,9",5 955,"- 16,4"," 1,6"
,,,,,,,,,,
"Stralsund, Hansestadt 4)",26 901,"- 4,6", 64 728," 2,4"," 2,4", 133 817,"- 4,1", 307 802,"- 1,5"," 2,3"
Deutschland,23 572,"- 4,7", 57 145," 2,8"," 2,4", 117 255,"- 4,8", 269 266,"- 2,0"," 2,3"
Ausland,3 329,"- 3,6",7 583,"- 0,7"," 2,3",16 562," 1,0",38 536," 2,1"," 2,3"
,,,,,,,,,,
