"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im September 2013 in Beherbergungsbetrieben
(einschl. Camping) 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",September 2013,,,,,Januar bis September 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 735 568,"- 0,5",2 904 586,"- 0,2"," 3,9",5 869 099," 1,4",23 962 041," 1,5"," 4,1"
Deutschland, 700 556,"- 0,7",2 814 327,"- 0,2"," 4,0",5 575 452," 1,2",23 127 421," 1,4"," 4,1"
Ausland,35 012," 3,5", 90 259," 0,1"," 2,6", 293 647," 4,9", 834 620," 6,3"," 2,8"
,,,,,,,,,,
"Rostock, Hansestadt",73 357," 17,8",202 217," 25,0"," 2,8",569 780," 16,3",1649 304," 22,4"," 2,9"
Deutschland,67 340," 18,2",188 432," 26,3"," 2,8",516 894," 16,1",1520 385," 23,4"," 2,9"
Ausland,6 017," 13,3",13 785," 10,2"," 2,3",52 886," 18,7",128 919," 12,0"," 2,4"
,,,,,,,,,,
"Schwerin, ",,,,,,,,,,
Landeshauptstadt,22 278," 3,2",41 772," 4,0"," 1,9",156 641," 0,3",281 902," 0,3"," 1,8"
Deutschland,20 015," 4,0",37 623," 4,3"," 1,9",140 947," 0,3",254 183," 0,0"," 1,8"
Ausland,2 263,"- 3,7",4 149," 1,1"," 1,8",15 694," 0,2",27 719," 3,5"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,98 604,"- 3,0", 313 306,"- 6,4"," 3,2", 846 069," 1,6",2 941 286," 0,2"," 3,5"
Deutschland,95 750,"- 2,8", 306 115,"- 6,1"," 3,2", 819 237," 1,8",2 866 873," 0,2"," 3,5"
Ausland,2 854,"- 9,1",7 191,"- 16,1"," 2,5",26 832,"- 2,9",74 413," 0,8"," 2,8"
,,,,,,,,,,
Landkreis Rostock,104 914,"- 2,0",455 643,"- 1,9"," 4,3", 859 641,"- 0,6",3 864 293," 0,7"," 4,5"
Deutschland,101 894,"- 1,1",448 853,"- 1,3"," 4,4",827 852,"- 0,6",3 771 420," 0,6"," 4,6"
Ausland,3 020,"- 24,4",6 790,"- 31,2"," 2,2",31 789," 0,9",92 873," 3,4"," 2,9"
,,,,,,,,,,
Vorpommern-Rügen,219 689,"- 0,2",977 598," 0,2"," 4,4",1696 260," 0,1",7 773 336," 0,2"," 4,6"
Deutschland,209 009,"- 0,6",944 849,"- 0,1"," 4,5",1601 989,"- 0,3",7 477 638,"- 0,1"," 4,7"
Ausland,10 680," 7,2",32 749," 9,1"," 3,1",94 271," 5,7",295 698," 8,3"," 3,1"
,,,,,,,,,,
Nordwestmecklenburg,52 788," 0,0",200 182," 0,5"," 3,8",415 455,"- 1,1",1 670 790," 0,3"," 4,0"
