"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Oktober 2013 in Beherbergungsbetrieben
(einschl. Camping) 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Oktober 2013,,,,,Januar bis Oktober 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 595 286," 7,1",2 291 417," 6,2"," 3,8",6 466 013," 1,9",26 257 542," 1,9"," 4,1"
Deutschland, 571 174," 7,2",2 232 067," 6,3"," 3,9",6 148 235," 1,8",25 360 869," 1,8"," 4,1"
Ausland,24 112," 4,2", 59 350," 4,6"," 2,5", 317 778," 4,8", 896 673," 6,5"," 2,8"
,,,,,,,,,,
"Rostock, Hansestadt",66 101," 23,3",175 797," 24,4"," 2,7",663 438," 22,1",1900 326," 27,6"," 2,9"
Deutschland,61 389," 24,3",165 645," 26,5"," 2,7",605 465," 22,4",1760 027," 29,1"," 2,9"
Ausland,4 712," 11,3",10 152,"- 2,3"," 2,2",57 973," 18,9",140 299," 11,8"," 2,4"
,,,,,,,,,,
"Schwerin, ",,,,,,,,,,
Landeshauptstadt,16 388," 12,1",30 416," 15,5"," 1,9",172 612," 1,1",311 970," 1,5"," 1,8"
Deutschland,14 944," 13,5",28 009," 18,6"," 1,9",155 452," 1,2",281 821," 1,4"," 1,8"
Ausland,1 444,"- 0,6",2 407,"- 10,8"," 1,7",17 160," 0,3",30 149," 2,3"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,67 112,"- 0,3", 233 336,"- 0,9"," 3,5", 914 016," 1,6",3 176 451," 0,2"," 3,5"
Deutschland,65 340,"- 0,3", 229 289,"- 0,8"," 3,5", 885 576," 1,7",3 097 994," 0,2"," 3,5"
Ausland,1 772,"- 3,0",4 047,"- 7,8"," 2,3",28 440,"- 3,5",78 457," 0,3"," 2,8"
,,,,,,,,,,
Landkreis Rostock,91 894," 3,8",396 977," 4,8"," 4,3", 951 992,"- 0,1",4 263 670," 1,1"," 4,5"
Deutschland,88 608," 4,2",388 266," 5,2"," 4,4",916 956,"- 0,1",4 162 080," 1,1"," 4,5"
