"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im November 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",November 2013,,,,,Januar bis November 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern, 346 120," 2,4",1 139 768," 2,3"," 3,3",6 807 750," 1,9",27 326 141," 1,7"," 4,0"
Deutschland, 330 596," 2,7",1 104 230," 2,4"," 3,3",6 474 676," 1,8",26 393 737," 1,5"," 4,1"
Ausland,15 524,"- 3,5", 35 538,"- 1,6"," 2,3", 333 074," 4,3", 932 404," 6,2"," 2,8"
,,,,,,,,,,
"Rostock, Hansestadt",51 831," 11,2",114 937," 12,4"," 2,2",711 451," 20,6",2009 363," 26,3"," 2,8"
Deutschland,46 269," 14,4",102 612," 16,2"," 2,2",648 223," 21,1",1856 785," 27,9"," 2,9"
Ausland,5 562,"- 9,5",12 325,"- 11,4"," 2,2",63 228," 15,1",152 578," 9,4"," 2,4"
,,,,,,,,,,
"Schwerin, Landeshauptstadt",12 615,"- 1,4",20 437," 4,6"," 1,6",184 985," 0,8",331 286," 1,3"," 1,8"
Deutschland,11 606,"- 3,3",18 579," 1,5"," 1,6",166 805," 0,7",299 250," 1,0"," 1,8"
Ausland,1 009," 27,1",1 858," 51,2"," 1,8",18 180," 1,5",32 036," 4,4"," 1,8"
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,41 618," 3,9", 119 154," 2,4"," 2,9", 955 071," 1,6",3 291 879," 0,1"," 3,4"
Deutschland,40 612," 5,1", 116 886," 3,1"," 2,9", 925 624," 1,8",3 211 154," 0,2"," 3,5"
Ausland,1 006,"- 30,0",2 268,"- 24,7"," 2,3",29 447,"- 4,7",80 725,"- 0,6"," 2,7"
,,,,,,,,,,
Landkreis Rostock,55 576,"- 4,5",217 437,"- 1,9"," 3,9",1 008 549,"- 0,2",4 429 076,"- 0,2"," 4,4"
Deutschland,53 924,"- 4,4",213 394,"- 2,0"," 4,0",971 807,"- 0,3",4 323 296,"- 0,3"," 4,4"
Ausland,1 652,"- 7,0",4 043," 3,1"," 2,4",36 742," 0,0",105 780," 2,3"," 2,9"
,,,,,,,,,,
Vorpommern-Rügen,78 630," 0,4",301 937,"- 0,3"," 3,8",1921 601,"- 0,8",8 750 621,"- 0,1"," 4,6"
Deutschland,76 049," 0,5",295 418,"- 0,3"," 3,9",1819 262,"- 1,1",8 431 240,"- 0,4"," 4,6"
Ausland,2 581,"- 4,2",6 519," 2,8"," 2,5",102 339," 5,3",319 381," 8,5"," 3,1"
,,,,,,,,,,
Nordwestmecklenburg,25 371," 10,5",89 950," 10,4"," 3,5",487 283," 1,0",1 935 895," 1,8"," 4,0"
Deutschland,23 846," 12,0",86 768," 11,6"," 3,6",459 017," 1,3",1862 493," 1,7"," 4,1"
Ausland,1 525,"- 9,0",3 182,"- 13,6"," 2,1",28 266,"- 4,1",73 402," 6,0"," 2,6"
,,,,,,,,,,
