"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Dezember 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns
2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
,,,,,,,,,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Dezember 2013,,,,,Januar bis Dezember 2013,,,,
,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 1)"
,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat","insge-
samt","Verände-
rung
zum
Vor-
jahres-
monat",,"insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum","insge-
samt","Verände-
rung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
,,,,,,,,,,
Mecklenburg-Vorpommern,328.621,"5,2  ",1.108.969,"3,7  ","3,4  ",7.081.209,"1,3  ",28.157.746,"0,8  ","4,0  "
Deutschland,313.802,"5,9  ",1.071.523,"4,0  ","3,4  ",6.740.786,"1,2  ",27.212.384,"0,7  ","4,0  "
Ausland,14.819,"- 7,9  ",37.446,"- 4,9  ","2,5  ",340.423,"1,5  ",945.362,"3,0  ","2,8  "
,,,,,,,,,,
"Rostock, Hansestadt",50.107,"6,5  ",113.965,"2,7  ","2,3  ",706.068,"10,8  ",1.817.669,"6,8  ","2,6  "
Deutschland,44.600,"11,2  ",100.535,"6,7  ","2,3  ",644.726,"12,1  ",1.676.238,"8,4  ","2,6  "
Ausland,5.507,"- 20,4  ",13.430,"- 19,6  ","2,4  ",61.342,"- 0,8  ",141.431,"- 9,4  ","2,3  "
,,,,,,,,,,
"Schwerin, Landeshauptstadt",12.365,"7,5  ",21.297,"8,0  ","1,7  ",197.249,"1,1  ",352.379,"1,7  ","1,8  "
Deutschland,11.188,"7,9  ",19.126,"8,9  ","1,7  ",177.913,"1,1  ",318.217,"1,4  ","1,8  "
Ausland,1.177,"4,1  ",2.171,"0,8  ","1,8  ",19.336,"1,5  ",34.162,"4,0  ","1,8  "
,,,,,,,,,,
Mecklenburgische,,,,,,,,,,
Seenplatte,39.376,"8,7  ",118.319,"0,6  ","3,0  ",994.369,"1,9  ",3.410.124,"0,2  ","3,4  "
Deutschland,38.299,"9,8  ",116.296,"1,3  ","3,0  ",963.818,"2,1  ",3.327.386,"0,2  ","3,5  "
Ausland,1.077,"- 20,4  ",2.023,"- 27,2  ","1,9  ",30.551,"- 5,3  ",82.738,"- 1,5  ","2,7  "
,,,,,,,,,,
Landkreis Rostock,52.793,"4,7  ",205.286,"4,5  ","3,9  ",1.063.320,"0,2  ",4.649.492,"0,3  ","4,4  "
Deutschland,51.375,"6,4  ",201.660,"5,3  ","3,9  ",1.025.139,"0,2  ",4.539.615,"0,3  ","4,4  "
Ausland,1.418,"- 33,1  ",3.626,"- 27,1  ","2,6  ",38.181,"- 1,8  ",109.877,"1,4  ","2,9  "
,,,,,,,,,,
Vorpommern-Rügen,78.167,"2,4  ",306.726,"4,4  ","3,9  ",2.000.556,"- 0,6  ",9.065.408,"0,1  ","4,5  "
Deutschland,75.751,"1,4  ",299.902,"3,8  ","4,0  ",1.895.745,"- 1,0  ",8.738.792,"- 0,2  ","4,6  "
Ausland,2.416,"46,2  ",6.824,"41,0  ","2,8  ",104.811,"6,0  ",326.616,"9,2  ","3,1  "
,,,,,,,,,,
Nordwestmecklenburg,24.080,"10,5  ",86.765,"7,3  ","3,6  ",511.819,"1,5  ",2.025.454,"2,2  ","4,0  "
Deutschland,22.333,"11,3  ",81.762,"6,8  ","3,7  ",481.728,"1,8  ",1.946.811,"2,0  ","4,0  "
Ausland,1.747,"1,2  ",5.003,"15,9  ","2,9  ",30.091,"- 3,6  ",78.643,"6,9  ","2,6  "
,,,,,,,,,,
Vorpommern-Greifswald,53.802,"5,7  ",200.887,"2,4  ","3,7  ",1.247.000,"- 0,3  ",5.683.035,"0,2  ","4,6  "
Deutschland,53.203,"5,8  ",198.614,"2,3  ","3,7  ",1.216.684,"- 0,3  ",5.580.539,"0,2  ","4,6  "
Ausland,599,"- 3,1  ",2.273,"4,7  ","3,8  ",30.316,"- 0,3  ",102.496,"1,1  ","3,4  "
,,,,,,,,,,
Ludwigslust-Parchim,17.931,"- 1,0  ",55.724,"3,8  ","3,1  ",360.828,"1,5  ",1.154.185,"1,0  ","3,2  "
Deutschland,17.053,"- 2,7  ",53.628,"2,6  ","3,1  ",335.033,"0,7  ",1.084.786,"0,4  ","3,2  "
Ausland,878,"50,3  ",2.096,"45,0  ","2,4  ",25.795,"13,1  ",69.399,"11,8  ","2,7  "
,,,,,,,,,,
Nachrichtlich,,,,,,,,,,
,,,,,,,,,,
"Greifswald, Hansestadt 2)",3.951,"- 6,9  ",8.140,"- 7,8  ","2,1  ",86.711,"- 0,8  ",200.762,"1,3  ","2,3  "
Deutschland,3.719,"- 7,1  ",7.499,"- 6,8  ","2,0  ",80.309,"- 0,3  ",182.453,"1,1  ","2,3  "
Ausland,232,"- 3,3  ",641,"- 17,9  ","2,8  ",6.402,"- 6,7  ",18.309,"3,4  ","2,9  "
,,,,,,,,,,
"Neubrandenburg, Stadt 3)",5.104,"8,2  ",8.474,"18,4  ","1,7  ",72.014,"- 0,3  ",121.704,"0,3  ","1,7  "
Deutschland,4.638,"16,3  ",7.770,"27,9  ","1,7  ",66.478,"2,2  ",112.668,"1,4  ","1,7  "
Ausland,466,"- 35,9  ",704,"- 34,9  ","1,5  ",5.536,"- 23,1  ",9.036,"- 12,1  ","1,6  "
,,,,,,,,,,
"Stralsund, Hansestadt 4)",9.954,"0,5  ",22.177,"2,0  ","2,2  ",193.004,"- 3,3  ",447.873,"- 0,1  ","2,3  "
Deutschland,9.026,"- 1,1  ",19.864,"1,4  ","2,2  ",170.585,"- 4,0  ",393.887,"- 0,9  ","2,3  "
Ausland,928,"19,9  ",2.313,"6,5  ","2,5  ",22.419,"2,7  ",53.986,"6,2  ","2,4  "
,,,,,,,,,,
"Wismar, Hansestadt 5)",6.684,"5,2  ",17.973,"10,0  ","2,7  ",115.179,"3,1  ",287.933,"5,5  ","2,5  "
Deutschland,5.323,"4,8  ",15.216,"10,4  ","2,9  ",99.314,"4,5  ",258.379,"6,5  ","2,6  "
Ausland,1.361,"7,0  ",2.757,"7,8  ","2,0  ",15.865,"- 4,7  ",29.554,"- 2,0  ","1,9  "
______,,,,,,,,,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,,,,,,,,,
2) zu Vorpommern-Greifswald,,,,,,,,,,
3) zu Mecklenburgische Seenplatte,,,,,,,,,,
4) zu Vorpommern-Rügen,,,,,,,,,,
5) zu Nordwestmecklenburg,,,,,,,,,,
