"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im Januar 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
2.4 nach Kreisen und dem ständigen Wohnsitz der Gäste",,
,,
"Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt
______
Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2013,
,Ankünfte,Übernachtungen
,"insge-
samt","insge-
samt"
,,
,,
,,
,,
,,
,Anzahl,Anzahl
,,
Mecklenburg-Vorpommern, 224 963, 828 925
Deutschland, 218 256, 810 049
Ausland,6 707, 18 876
,,
"Rostock, Hansestadt",32 894,76 922
Deutschland,30 531,69 722
Ausland,2 363,7 200
,,
"Schwerin, Landeshauptstadt",7 849,12 187
Deutschland,7 481,11 586
Ausland,368,601
,,
Mecklenburgische,,
Seenplatte,22 899, 85 049
Deutschland,22 322, 83 766
Ausland,577,1 283
,,
Landkreis Rostock,40 687,168 711
Deutschland,40 003,166 481
Ausland,684,2 230
,,
Vorpommern-Rügen,51 783,215 273
Deutschland,50 801,212 833
Ausland,982,2 440
,,
Nordwestmecklenburg,15 259,65 035
Deutschland,14 700,63 232
Ausland,559,1 803
,,
Vorpommern-Greifswald,39 379, 159 597
Deutschland,38 731, 157 423
Ausland,648,2 174
,,
Ludwigslust-Parchim,14 213,46 151
Deutschland,13 687,45 006
Ausland,526,1 145
,,
Nachrichtlich,,
,,
"Greifswald, Hansestadt 2)",3 421,7 612
Deutschland,3 112,6 731
Ausland,309,881
,,
"Neubrandenburg, Stadt 3)",4 241, 6 134
Deutschland,3 990, 5 810
Ausland,251,324
,,
"Stralsund, Hansestadt 4)",7 436, 15 684
Deutschland,7 073, 14 789
Ausland,363,895
,,
"Wismar, Hansestadt 5)",4 233, 12 338
Deutschland,3 838, 11 490
Ausland,395,848
______,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,
2) zu Vorpommern-Greifswald,,
3) zu Mecklenburgische Seenplatte,,
4) zu Vorpommern-Rügen,,
5) zu Nordwestmecklenburg,,
