Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",,,,,,,,,
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juli 2014,,,,,Januar - Juli 2014,,,,
,,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)"
,,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat",,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
1,2,3,4,5,6,7,8,9,10,11,12
,,S,,,,,,,,,
1  ,Mecklenburg-Vorpommern,1.028.886,"- 7,9 ",4.649.307,"- 10,5 ","4,5  ",4.064.728,"1,2 ",15.724.653,"- 0,6 ","3,9  "
2  ,  Deutschland,945.858,"- 9,1 ",4.403.870,"- 11,5 ","4,7  ",3.844.030,"0,6 ",15.110.857,"- 1,0 ","3,9  "
3  ,  Ausland,83.028,"9,7 ",245.437,"11,9 ","3,0  ",220.698,"11,9 ",613.796,"10,7 ","2,8  "
,,,,,,,,,,,
4  ,"  Rostock, Hansestadt",80.722,"- 2,0 ",238.224,"- 5,3 ","3,0  ",396.583,"2,4 ",1.016.310,"2,9 ","2,6  "
5  ,    Deutschland,71.118,"- 2,7 ",216.455,"- 7,0 ","3,0  ",363.792,"3,0 ",931.374,"2,6 ","2,6  "
6  ,    Ausland,9.604,"3,5 ",21.769,"15,4 ","2,3  ",32.791,"- 4,0 ",84.936,"6,3 ","2,6  "
,,,,,,,,,,,
7  ,"  Schwerin, Landeshauptstadt",24.705,"5,4 ",44.702,"1,3 ","1,8  ",113.254,"5,1 ",198.946,"4,2 ","1,8  "
8  ,    Deutschland,20.555,"4,8 ",37.814,"0,4 ","1,8  ",100.149,"2,8 ",176.620,"2,2 ","1,8  "
9  ,    Ausland,4.150,"8,6 ",6.888,"6,7 ","1,7  ",13.105,"27,4 ",22.326,"23,4 ","1,7  "
,,,,,,,,,,,
,  Mecklenburgische,,,,,,,,,,
10  ,    Seenplatte,169.784,"- 7,7 ",646.539,"- 11,3 ","3,8  ",583.940,"0,0 ",1.954.150,"- 1,2 ","3,3  "
11  ,    Deutschland,161.632,"- 8,3 ",623.344,"- 11,6 ","3,9  ",564.928,"- 0,1 ",1.904.081,"- 1,3 ","3,4  "
12  ,    Ausland,8.152,"5,7 ",23.195,"- 2,4 ","2,8  ",19.012,"4,0 ",50.069,"- 0,5 ","2,6  "
,,,,,,,,,,,
13  ,  Landkreis Rostock,141.467,"- 7,1 ",714.921,"- 8,0 ","5,1  ",606.388,"- 0,3 ",2.616.048,"- 0,4 ","4,3  "
14  ,    Deutschland,132.646,"- 8,1 ",687.412,"- 8,7 ","5,2  ",582.330,"- 0,6 ",2.546.667,"- 0,5 ","4,4  "
15  ,    Ausland,8.821,"12,7 ",27.509,"13,4 ","3,1  ",24.058,"5,8 ",69.381,"2,8 ","2,9  "
,,,,,,,,,,,
16  ,  Vorpommern-Rügen,310.869,"- 11,3 ",1.546.145,"- 13,6 ","5,0  ",1.150.523,"2,0 ",4.977.494,"- 1,2 ","4,3  "
17  ,    Deutschland,280.258,"- 12,8 ",1.445.312,"- 14,9 ","5,2  ",1.080.223,"1,5 ",4.760.533,"- 1,7 ","4,4  "
18  ,    Ausland,30.611,"6,3 ",100.833,"10,8 ","3,3  ",70.300,"10,2 ",216.961,"11,1 ","3,1  "
,,,,,,,,,,,
19  ,  Nordwestmecklenburg,77.610,"- 1,9 ",323.492,"- 8,9 ","4,2  ",309.805,"7,5 ",1.158.115,"1,1 ","3,7  "
20  ,    Deutschland,69.776,"- 3,3 ",303.926,"- 10,1 ","4,4  ",289.356,"6,7 ",1.104.477,"0,5 ","3,8  "
21  ,    Ausland,7.834,"12,3 ",19.566,"15,3 ","2,5  ",20.449,"19,3 ",53.638,"17,6 ","2,6  "
,,,,,,,,,,,
22  ,  Vorpommern-Greifswald,173.067,"- 12,2 ",963.285,"- 9,7 ","5,6  ",689.152,"- 3,8 ",3.136.708,"- 2,1 ","4,6  "
23  ,    Deutschland,164.863,"- 13,1 ",933.273,"- 10,3 ","5,7  ",669.683,"- 4,1 ",3.068.947,"- 2,4 ","4,6  "
24  ,    Ausland,8.204,"11,6 ",30.012,"18,4 ","3,7  ",19.469,"6,8 ",67.761,"12,0 ","3,5  "
,,,,,,,,,,,
25  ,  Ludwigslust-Parchim,50.662,"5,1 ",171.999,"- 5,4 ","3,4  ",215.083,"9,1 ",666.882,"3,6 ","3,1  "
26  ,    Deutschland,45.010,"1,6 ",156.334,"- 7,5 ","3,5  ",193.569,"4,9 ",618.158,"1,9 ","3,2  "
27  ,    Ausland,5.652,"44,3 ",15.665,"23,0 ","2,8  ",21.514,"70,7 ",48.724,"31,4 ","2,3  "
,,,,,,,,,,,
,Nachrichtlich,,,,,,,,,,
,,,,,,,,,,,
28  ,"  Greifswald, Hansestadt 10)",9.873,"- 5,7 ",24.875,"0,3 ","2,5  ",48.174,"- 2,1 ",109.639,"- 3,1 ","2,3  "
29  ,    Deutschland,8.762,"- 8,3 ",22.288,"- 2,7 ","2,5  ",43.927,"- 3,6 ",97.726,"- 4,9 ","2,2  "
30  ,    Ausland,1.111,"21,0 ",2.587,"37,9 ","2,3  ",4.247,"16,6 ",11.913,"14,4 ","2,8  "
,,,,,,,,,,,
31  ,"  Neubrandenburg, Stadt 11)",10.232,"38,3 ",16.755,"15,8 ","1,6  ",43.890,"7,2 ",70.251,"3,3 ","1,6  "
32  ,    Deutschland,9.172,"37,8 ",15.146,"17,2 ","1,7  ",40.460,"6,8 ",65.319,"3,9 ","1,6  "
33  ,    Ausland,1.060,"42,9 ",1.609,"3,6 ","1,5  ",3.430,"12,8 ",4.932,"- 3,3 ","1,4  "
,,,,,,,,,,,
34  ,"  Stralsund, Hansestadt 12)",26.511,"- 1,9 ",59.533,"- 4,3 ","2,2  ",108.965,"2,2 ",250.647,"2,9 ","2,3  "
35  ,    Deutschland,20.452,"- 4,5 ",46.355,"- 6,5 ","2,3  ",94.200,"0,9 ",214.995,"1,3 ","2,3  "
36  ,    Ausland,6.059,"7,9 ",13.178,"4,6 ","2,2  ",14.765,"11,5 ",35.652,"13,9 ","2,4  "
,,,,,,,,,,,
37  ,"  Wismar, Hansestadt 13)",14.610,"- 6,0 ",34.816,"- 4,1 ","2,4  ",64.404,"0,3 ",160.484,"- 0,3 ","2,5  "
38  ,    Deutschland,11.369,"- 8,0 ",28.703,"- 6,9 ","2,5  ",54.894,"- 1,8 ",142.903,"- 1,6 ","2,6  "
39  ,    Ausland,3.241,"1,7 ",6.113,"11,7 ","1,9  ",9.510,"14,2 ",17.581,"11,6 ","1,8  "
