Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",,,,,,,,,
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",August 2014,,,,,Januar - August 2014,,,,
,,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)"
,,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat",,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,
1  ,Mecklenburg-Vorpommern,1.130.639,"5,7 ",5.474.269,"10,7 ","4,8  ",5.176.801,"1,8 ",21.169.915,"2,0 ","4,1  "
2  ,  Deutschland,1.073.548,"5,8 ",5.307.502,"11,1 ","4,9  ",4.899.174,"1,3 ",20.389.740,"1,8 ","4,2  "
3  ,  Ausland,57.091,"3,2 ",166.767,"- 2,5 ","2,9  ",277.627,"9,9 ",780.175,"7,6 ","2,8  "
,,,,,,,,,,,
4  ,"  Rostock, Hansestadt",85.188,"2,0 ",280.205,"12,3 ","3,3  ",481.099,"2,2 ",1.295.279,"4,7 ","2,7  "
5  ,    Deutschland,78.979,"2,9 ",264.772,"12,9 ","3,4  ",441.969,"2,8 ",1.194.595,"4,6 ","2,7  "
6  ,    Ausland,6.209,"- 8,2 ",15.433,"3,0 ","2,5  ",39.130,"- 4,4 ",100.684,"6,1 ","2,6  "
,,,,,,,,,,,
7  ,"  Schwerin, Landeshauptstadt",26.463,"1,8 ",48.915,"1,6 ","1,8  ",139.769,"4,5 ",247.731,"3,7 ","1,8  "
8  ,    Deutschland,22.980,"0,7 ",42.973,"0,8 ","1,9  ",123.733,"2,9 ",220.291,"2,3 ","1,8  "
9  ,    Ausland,3.483,"9,6 ",5.942,"7,5 ","1,7  ",16.036,"19,1 ",27.440,"16,2 ","1,7  "
,,,,,,,,,,,
,  Mecklenburgische,,,,,,,,,,
10  ,    Seenplatte,188.403,"8,9 ",782.542,"17,1 ","4,2  ",761.508,"0,6 ",2.730.767,"3,2 ","3,6  "
11  ,    Deutschland,182.697,"9,3 ",766.866,"17,8 ","4,2  ",736.674,"0,5 ",2.665.030,"3,3 ","3,6  "
12  ,    Ausland,5.706,"- 3,2 ",15.676,"- 9,9 ","2,7  ",24.834,"2,7 ",65.737,"- 2,9 ","2,6  "
,,,,,,,,,,,
13  ,  Landkreis Rostock,154.040,"3,9 ",831.286,"10,1 ","5,4  ",758.800,"0,3 ",3.446.097,"1,9 ","4,5  "
