Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,244411,881722
2,   Deutschland,236793,862024
3,   Ausland,7618,19698
,,,
4,"   Rostock, Hansestadt",37790,84815
5,      Deutschland,35708,79211
6,      Ausland,2082,5604
,,,
7,"   Schwerin, Landeshauptstadt",8409,14411
8,      Deutschland,7808,13237
9,      Ausland,601,1174
,,,
,   Mecklenburgische,,
10,      Seenplatte,23731,84139
11,      Deutschland,23053,82796
12,      Ausland,678,1343
,,,
13,   Landkreis Rostock,42759,167976
14,      Deutschland,41753,165208
15,      Ausland,1006,2768
,,,
16,   Vorpommern-Rügen,58594,245714
17,      Deutschland,57564,242646
18,      Ausland,1030,3068
,,,
19,   Nordwestmecklenburg,18417,70167
20,      Deutschland,17781,68913
21,      Ausland,636,1254
,,,
22,   Vorpommern-Greifswald,40194,164718
23,      Deutschland,39642,162818
24,      Ausland,552,1900
,,,
25,   Ludwigslust-Parchim,14517,49782
26,      Deutschland,13484,47195
27,      Ausland,1033,2587
,,,
,Nachrichtlich,,
,,,
28,"   Greifswald, Hansestadt 10)",3727,8141
29,      Deutschland,3409,7009
30,      Ausland,318,1132
,,,
31,"   Neubrandenburg, Stadt 11)",4000,6090
32,      Deutschland,3679,5693
33,      Ausland,321,397
,,,
34,"   Stralsund, Hansestadt 12)",7358,16650
35,      Deutschland,6977,15366
36,      Ausland,381,1284
,,,
37,"   Wismar, Hansestadt 13)",4541,12566
38,      Deutschland,4091,11854
39,      Ausland,450,712
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Februar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
