© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2019.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Januar*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,561861,504585,1608126,1470290,"2,9","17,9"
2010,563758,501148,1629873,1485347,"2,9","17,6"
2011,591738,523971,1656093,1498011,"2,8","17,9"
2012,631059,557848,1765286,1584619,"2,8",19
2013,612651,540113,1726352,1549325,"2,8","18,8"
2014,629595,557813,1760170,1583146,"2,8","19,7"
2015,633467,562041,1765455,1597339,"2,8","19,6"
2016,670284,590927,1884845,1697444,"2,8",21
2017,715193,634292,1951533,1761393,"2,7","21,2"
2018,754374,665846,2008158,1796096,"2,7","21,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"0,2","1,3","0,7","1,4","0,5","-3,8"
2010,"0,3","-0,7","1,4",1,1,"-1,7"
2011,5,"4,6","1,6","0,9","-3,2","1,5"
2012,"6,6","6,5","6,6","5,8",-,6
2013,"-2,9","-3,2","-2,2","-2,2","0,7","-0,7"
2014,"2,8","3,3",2,"2,2","-0,8","4,6"
2015,"0,6","0,8","0,3","0,9","-0,3","-0,3"
2016,"5,8","5,1","6,8","6,3","0,9",7
2017,"6,7","7,3","3,5","3,8",-3,"0,6"
2018,"5,5",5,"2,9",2,"-2,4","1,5"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"100,3","99,3","101,4",101,101,"98,3"
2011,"105,3","103,8",103,"101,9","97,8","99,8"
2012,"112,3","110,6","109,8","107,8","97,7","105,8"
2013,109,107,"107,4","105,4","98,5","105,1"
2014,"112,1","110,5","109,5","107,7","97,7",110
2015,"112,7","111,4","109,8","108,6","97,4","109,6"
2016,"119,3","117,1","117,2","115,4","98,2","117,2"
2017,"127,3","125,7","121,4","119,8","95,3",118
2018,"134,3",132,"124,9","122,2",93,"119,7"
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,143715,132134,384074,355874,"2,7",21
2010,149609,137592,410316,381793,"2,7","21,8"
2011,145660,134118,396136,369579,"2,7","21,5"
2012,156248,144082,419228,388145,"2,7","22,6"
2013,148289,136138,395787,364830,"2,7","22,2"
2014,154463,141425,397153,363920,"2,6","22,1"
2015,159085,145409,403994,370672,"2,5","22,6"
2016,165211,150222,428774,394261,"2,6","23,8"
2017,184110,167268,455309,420909,"2,5","25,4"
2018,188491,169439,453770,411334,"2,4","24,3"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,3",5,"1,8","1,9","-2,4","0,8"
2010,"4,1","4,1","6,8","7,3","2,6","3,7"
2011,"-2,6","-2,5","-3,5","-3,2","-0,8","-1,2"
2012,"7,3","7,4","5,8",5,"-1,3",5
2013,"-5,1","-5,5","-5,6",-6,"-0,5","-1,6"
2014,"4,2","3,9","0,3","-0,2","-3,7","-0,2"
2015,3,"2,8","1,7","1,9","-1,2","2,2"
2016,"3,9","3,3","6,1","6,4","2,2","5,2"
2017,"11,4","11,3","6,2","6,8","-4,7","6,7"
2018,"2,4","1,3","-0,3","-2,3","-2,7","-4,2"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"104,1","104,1","106,8","107,3","102,6","103,7"
2011,"101,4","101,5","103,1","103,9","101,8","102,4"
2012,"108,7",109,"109,2","109,1","100,4","107,5"
2013,"103,2",103,103,"102,5","99,9","105,7"
2014,"107,5",107,"103,4","102,3","96,2","105,5"
2015,"110,7",110,"105,2","104,2",95,"107,9"
2016,115,"113,7","111,6","110,8","97,1","113,5"
2017,"128,1","126,6","118,5","118,3","92,5","121,1"
2018,"131,2","128,2","118,1","115,6","90,1","115,9"
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,15637,13166,29456,24057,"1,9","26,7"
2010,16699,14165,30692,25006,"1,8","26,9"
2011,17593,15614,31042,27095,"1,8","27,4"
2012,19437,17348,34461,30267,"1,8","30,9"
2013,19091,17182,35417,31152,"1,9","31,7"
2014,21338,18738,37010,31676,"1,7","29,4"
2015,19132,16685,35934,30575,"1,9","29,4"
2016,21976,18311,37588,31045,"1,7","26,2"
2017,26334,22480,42497,36177,"1,6","28,2"
2018,28998,24378,46152,37659,"1,6","30,4"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"2,6","2,6","1,4","2,9","-1,2","-1,4"
2010,"6,8","7,6","4,2","3,9","-2,4","0,7"
2011,"5,4","10,2","1,1","8,4",-4,"1,8"
2012,"10,5","11,1",11,"11,7","0,5","12,6"
2013,"-1,8",-1,"2,8","2,9","4,6","2,8"
2014,"11,8","9,1","4,5","1,7","-6,5","-7,3"
2015,"-10,3",-11,"-2,9","-3,5","8,3","-0,2"
2016,"14,9","9,7","4,6","1,5","-8,9","-10,9"
2017,"19,8","22,8","13,1","16,5","-5,7","7,8"
2018,"10,1","8,4","8,6","4,1","-1,4","7,6"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"106,8","107,6","104,2","103,9","97,6","100,7"
2011,"112,5","118,6","105,4","112,6","93,7","102,5"
2012,"124,3","131,8",117,"125,8","94,1","115,4"
2013,"122,1","130,5","120,2","129,5","98,5","118,7"
2014,"136,5","142,3","125,6","131,7","92,1","110,1"
2015,"122,4","126,7",122,"127,1","99,7","109,9"
2016,"140,5","139,1","127,6",129,"90,8","97,9"
2017,"168,4","170,7","144,3","150,4","85,7","105,6"
2018,"185,4","185,2","156,7","156,5","84,5","113,6"
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,2682,2445,6539,5617,"2,4","28,8"
2010,2961,2753,10299,9783,"3,5","34,9"
2011,3132,2931,9599,8946,"3,1","29,1"
2012,3071,2810,9936,9317,"3,2",32
2013,3448,3143,12443,11291,"3,6","37,3"
2014,2985,2650,9247,8082,"3,1","27,6"
2015,3097,2738,10269,8677,"3,3","30,8"
2016,3088,2692,9288,8168,3,"26,4"
2017,3523,3110,10580,9379,3,"27,5"
2018,3740,3330,10826,9599,"2,9","29,1"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-8,4","-9,4","-4,7","-11,6","4,1","-2,7"
2010,"10,4","12,6","57,5","74,2","42,7","21,4"
2011,"5,8","6,5","-6,8","-8,6","-11,9","-16,8"
2012,"-1,9","-4,1","3,5","4,1","5,6","10,1"
2013,"12,3","11,9","25,2","21,2","11,5","16,4"
2014,"-13,4","-15,7","-25,7","-28,4","-14,2","-25,8"
2015,"3,8","3,3","11,1","7,4",7,"11,5"
2016,"-0,3","-1,7","-9,6","-5,9","-9,3","-14,5"
2017,"14,1","15,5","13,9","14,8","-0,2","4,4"
2018,"6,2","7,1","2,3","2,3","-3,6","5,8"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"110,4","112,6","157,5","174,2","142,7","121,4"
