© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2019.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Juli*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,1234209,1067019,4989504,4582659,4,"42,8"
2010,1309079,1119597,5090349,4623204,"3,9","42,8"
2011,1345809,1156586,5000837,4528707,"3,7","41,9"
2012,1388468,1186442,5084926,4543085,"3,7","42,4"
2013,1375521,1175422,5113224,4581565,"3,7",43
2014,1418007,1210679,4799954,4264041,"3,4","40,4"
2015,1486863,1266266,5186864,4613774,"3,5",43
2016,1499816,1284843,5311040,4775590,"3,5",44
2017,1540441,1320282,5344487,4825778,"3,5","43,8"
2018,1621745,1399387,5710840,5171755,"3,5","45,6"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"0,4","0,5","1,1","1,6","0,7","-0,8"
2010,"6,1","4,9",2,"0,9","-3,8","0,1"
2011,"2,8","3,3","-1,8",-2,"-4,4","-2,1"
2012,"3,2","2,6","1,7","0,3","-1,4","1,2"
2013,"-0,9","-0,9","0,6","0,8","1,5","1,3"
2014,"3,1",3,"-6,1","-6,9","-8,9",-6
2015,"4,9","4,6","8,1","8,2","3,1","6,4"
2016,"0,9","1,5","2,4","3,5","1,5","2,3"
2017,"2,7","2,8","0,6","1,1",-2,"-0,4"
2018,"5,3",6,"6,9","7,2","1,5",4
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"106,1","104,9",102,"100,9","96,2","100,1"
2011,109,"108,4","100,2","98,8","91,9",98
2012,"112,5","111,2","101,9","99,1","90,6","99,2"
2013,"111,4","110,2","102,5",100,92,"100,5"
2014,"114,9","113,5","96,2",93,"83,7","94,5"
2015,"120,5","118,7",104,"100,7","86,3","100,5"
2016,"121,5","120,4","106,4","104,2","87,6","102,8"
2017,"124,8","123,7","107,1","105,3","85,8","102,4"
2018,"131,4","131,1","114,5","112,9","87,1","106,5"
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,202148,157401,612991,501137,3,"30,9"
2010,207943,161877,615002,495992,3,"31,3"
2011,227553,177570,641952,510821,"2,8","32,7"
2012,240976,188463,685486,534213,"2,8","35,4"
2013,221797,170969,661754,513101,3,"34,8"
2014,249964,195666,664906,515775,"2,7","34,6"
2015,262765,202654,710420,546207,"2,7","35,9"
2016,249313,188160,687982,530134,"2,8","35,3"
2017,251521,193735,665524,524970,"2,6","34,5"
2018,257881,201027,703850,558135,"2,7","35,3"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-2,1","-1,1","0,6","3,2","2,8","-2,3"
2010,"2,9","2,8","0,3",-1,"-2,5","1,5"
2011,"9,4","9,7","4,4",3,"-4,6","4,4"
2012,"5,9","6,1","6,8","4,6","0,8","8,3"
2013,-8,"-9,3","-3,5",-4,"4,9","-1,9"
2014,"12,7","14,4","0,5","0,5","-10,8","-0,5"
2015,"5,1","3,6","6,8","5,9","1,6","3,7"
2016,"-5,1","-7,2","-3,2","-2,9","2,1","-1,5"
2017,"0,9",3,"-3,3",-1,"-4,1","-2,4"
2018,"2,5","3,8","5,8","6,3","3,2","2,5"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"102,9","102,8","100,3",99,"97,5","101,5"
2011,"112,6","112,8","104,7","101,9",93,106
2012,"119,2","119,7","111,8","106,6","93,8","114,8"
2013,"109,7","108,6",108,"102,4","98,4","112,6"
2014,"123,7","124,3","108,5","102,9","87,7",112
2015,130,"128,8","115,9",109,"89,2","116,2"
2016,"123,3","119,5","112,2","105,8",91,"114,4"
2017,"124,4","123,1","108,6","104,8","87,3","111,7"
2018,"127,6","127,7","114,8","111,4",90,"114,4"
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,16759,14101,30207,24742,"1,8","26,2"
2010,19713,16867,35959,29849,"1,8","31,8"
2011,20935,17957,37865,31254,"1,8","33,3"
2012,24493,21258,43372,36177,"1,8","38,1"
2013,19716,16767,39432,32938,2,"35,2"
2014,27892,23287,49789,40244,"1,8","41,4"
2015,28053,23465,49754,40244,"1,8","38,2"
2016,26292,20563,43238,33736,"1,6","30,2"
2017,32770,26156,52240,41527,"1,6","34,7"
2018,31373,25178,52101,40301,"1,7","34,8"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-15,8","-14,2","-23,8","-21,2","-9,5","-30,2"
2010,"17,6","19,6",19,"20,6","1,2","21,4"
2011,"6,2","6,5","5,3","4,7","-0,8","4,6"
2012,17,"18,4","14,5","15,8","-2,1","14,6"
2013,"-19,5","-21,1","-9,1",-9,"12,9","-7,6"
2014,"41,5","38,9","26,3","22,2","-10,7","17,4"
2015,"0,6","0,8","-0,1",-,"-0,6","-7,7"
2016,"-6,3","-12,4","-13,1","-16,2","-7,3",-21
2017,"24,6","27,2","20,8","23,1","-3,1",15
2018,"-4,3","-3,7","-0,3",-3,"4,2","0,3"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"117,6","119,6",119,"120,6","101,2","121,4"
2011,"124,9","127,3","125,4","126,3","100,3",127
2012,"146,1","150,8","143,6","146,2","98,2","145,5"
2013,"117,6","118,9","130,5","133,1",111,"134,4"
2014,"166,4","165,1","164,8","162,7",99,"157,8"
2015,"167,4","166,4","164,7","162,7","98,4","145,7"
2016,"156,9","145,8","143,1","136,4","91,2","115,1"
2017,"195,5","185,5","172,9","167,8","88,4","132,3"
2018,"187,2","178,6","172,5","162,9","92,1","132,8"
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,2726,2448,7275,5919,"2,7","30,9"
2010,3092,2844,9901,9202,"3,2","31,5"
2011,3729,3434,11594,11020,"3,1",35
2012,4279,3915,14000,13028,"3,3","44,9"
2013,3578,3203,13333,12234,"3,7","41,7"
2014,4144,3682,12183,10643,"2,9","36,4"
2015,4203,3652,12008,9890,"2,9","30,9"
2016,4549,4105,12701,11684,"2,8","34,5"
2017,4592,3949,12436,10463,"2,7","33,1"
2018,4021,3452,12323,9970,"3,1","32,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-11,5","-14,1","-0,4",-13,"12,5","0,6"
2010,"13,4","16,2","36,1","55,5",20,"1,8"
2011,"20,6","20,7","17,1","19,8","-2,9","11,2"
2012,"14,7",14,"20,8","18,2","5,2","28,2"
2013,"-16,4","-18,2","-4,8","-6,1","13,9",-7
2014,"15,8",15,"-8,6",-13,"-21,1","-12,8"
2015,"1,4","-0,8","-1,4","-7,1","-2,8","-15,1"
2016,"8,2","12,4","5,8","18,1","-2,3","11,7"
2017,"0,9","-3,8","-2,1","-10,5",-3,"-4,1"
2018,"-12,4","-12,6","-0,9","-4,7","13,2","-1,8"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
