© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2019.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Juni*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,1180533,1066054,3827346,3566504,"3,2","33,9"
2010,1243808,1119298,3967849,3686604,"3,2","34,5"
2011,1376282,1240932,4389090,4060752,"3,2","37,9"
2012,1292603,1159037,4038283,3705261,"3,1","34,7"
2013,1289674,1155749,3926907,3595673,3,"34,1"
2014,1391462,1248681,4261108,3923225,"3,1","37,1"
2015,1373450,1218829,4146921,3779113,3,"35,6"
2016,1372273,1223133,4152417,3803107,3,"35,5"
2017,1559826,1405894,4682480,4333323,3,"39,5"
2018,1532293,1366526,4506796,4118256,"2,9","37,2"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,6,"6,9","5,9","6,6","-0,1","3,4"
2010,"5,4",5,"3,7","3,4","-1,6",2
2011,"10,7","10,9","10,6","10,1",-,"9,8"
2012,"-6,1","-6,6",-8,"-8,8",-2,"-8,3"
2013,"-0,2","-0,3","-2,8",-3,"-2,5",-2
2014,"7,9",8,"8,5","9,1","0,6","8,9"
2015,"-1,3","-2,4","-2,7","-3,7","-1,4","-4,1"
2016,"-0,1","0,4","0,1","0,6","0,2","-0,1"
2017,"13,7","14,9","12,8","13,9","-0,8","11,1"
2018,"-1,8","-2,8","-3,8",-5,-2,"-5,8"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"105,4",105,"103,7","103,4","98,4",102
2011,"116,6","116,4","114,7","113,9","98,4","111,9"
2012,"109,5","108,7","105,5","103,9","96,4","102,6"
2013,"109,2","108,4","102,6","100,8","93,9","100,6"
2014,"117,9","117,1","111,3",110,"94,5","109,6"
2015,"116,3","114,3","108,3",106,"93,1","105,1"
2016,"116,2","114,7","108,5","106,6","93,3",105
2017,"132,1","131,9","122,3","121,5","92,6","116,6"
2018,"129,8","128,2","117,8","115,5","90,7","109,8"
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,212841,183501,534370,465229,"2,5","27,6"
2010,213248,185565,548416,480650,"2,6","28,6"
2011,228746,198952,592056,516101,"2,6",31
2012,224419,193279,573329,491535,"2,6","30,5"
2013,221525,191523,565643,481758,"2,6","30,7"
2014,239511,205079,598241,511744,"2,5","32,3"
2015,243106,206198,593616,504315,"2,4","30,8"
2016,245157,206934,602059,513668,"2,5","31,8"
2017,260922,222302,623302,534061,"2,4",33
2018,264042,224031,616182,522031,"2,3","31,9"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"10,5","11,4","6,4","6,6","-3,7","2,8"
2010,"0,2","1,1","2,6","3,3","2,4","3,3"
2011,"7,3","7,2",8,"7,4","0,6","8,6"
2012,"-1,9","-2,9","-3,2","-4,8","-1,3","-1,8"
2013,"-1,3","-0,9","-1,3",-2,"-0,1","0,7"
2014,"8,1","7,1","5,8","6,2","-2,2","5,3"
2015,"1,5","0,5","-0,8","-1,5","-2,2","-4,5"
2016,"0,8","0,4","1,4","1,9","0,6","3,2"
2017,"6,4","7,4","3,5",4,"-2,7","3,7"
2018,"1,2","0,8","-1,1","-2,3","-2,3","-3,4"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,"100,2","101,1","102,6","103,3","102,4","103,3"
2011,"107,5","108,4","110,8","110,9","103,1","112,2"
2012,"105,4","105,3","107,3","105,7","101,8","110,2"
2013,"104,1","104,4","105,9","103,6","101,7",111
2014,"112,5","111,8",112,110,"99,5","116,8"
2015,"114,2","112,4","111,1","108,4","97,3","111,5"
2016,"115,2","112,8","112,7","110,4","97,8","115,1"
2017,"122,6","121,1","116,6","114,8","95,1","119,3"
2018,"124,1","122,1","115,3","112,2","92,9","115,3"
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,24271,20057,41029,32696,"1,7","36,7"
2010,24763,21042,46243,36796,"1,9","41,4"
2011,22835,19752,42897,35460,"1,9","39,2"
2012,23631,19967,46134,36006,2,"41,9"
2013,24989,21665,45485,38240,"1,8","41,2"
2014,29086,24740,53509,44154,"1,8","45,8"
2015,30054,25552,51615,42236,"1,7","42,1"
2016,34030,27648,56787,45578,"1,7","40,8"
2017,35925,28841,56193,43942,"1,6","38,5"
2018,37461,30785,60092,48354,"1,6","41,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"16,4","15,9","6,8","7,6","-8,2","-2,1"
2010,2,"4,9","12,7","12,5","10,5","12,9"
2011,"-7,8","-6,1","-7,2","-3,6","0,6","-5,5"
2012,"3,5","1,1","7,5","1,5","3,9",7
2013,"5,7","8,5","-1,4","6,2","-6,8","-1,6"
2014,"16,4","14,2","17,6","15,5","1,1","11,2"
2015,"3,3","3,3","-3,5","-4,3","-6,6","-8,1"
2016,"13,2","8,2",10,"7,9","-2,8","-3,2"
2017,"5,6","4,3",-1,"-3,6","-6,3","-5,6"
2018,"4,3","6,7","6,9",10,"2,6","7,7"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
2010,102,"104,9","112,7","112,5","110,5","112,9"
2011,"94,1","98,5","104,6","108,5","111,1","106,7"
2012,"97,4","99,6","112,4","110,1","115,5","114,2"
2013,103,108,"110,9",117,"107,7","112,3"
2014,"119,8","123,3","130,4",135,"108,8","124,9"
2015,"123,8","127,4","125,8","129,2","101,6","114,8"
2016,"140,2","137,8","138,4","139,4","98,7","111,1"
2017,148,"143,8",137,"134,4","92,5",105
2018,"154,3","153,5","146,5","147,9","94,9","113,1"
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,3444,3127,7932,6552,"2,3",34
2010,4041,3831,12566,12077,"3,1","40,8"
2011,4154,3873,11405,10767,"2,7",36
2012,3795,3401,13764,12423,"3,6","45,6"
2013,4382,3911,13702,12442,"3,1","42,5"
2014,4150,3579,11742,9878,"2,8","36,2"
2015,5063,4517,13486,11389,"2,7","35,1"
2016,4894,4341,12919,11272,"2,6","39,7"
2017,5100,4577,13510,11901,"2,6","37,1"
2018,4906,4256,14563,11548,3,"39,9"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-9,8","-12,2","-6,6","-17,9","3,5",-8
2010,"17,3","22,5","58,4","84,3",35,"19,9"
2011,"2,8","1,1","-9,2","-10,8","-11,7","-11,7"
2012,"-8,6","-12,2","20,7","15,4","32,1","26,7"
2013,"15,5",15,"-0,5","0,2","-13,8","-6,8"
2014,"-5,3","-8,5","-14,3","-20,6","-9,5","-14,7"
2015,22,"26,2","14,9","15,3","-5,9",-3
2016,"-3,3","-3,9","-4,2",-1,"-0,9",13
2017,"4,2","5,4","4,6","5,6","0,4","-6,7"
2018,"-3,8",-7,"7,8",-3,"12,1","7,7"
 ,,,,,,
2009 = 100 ,,,,,,
2009,100,100,100,100,100,100
