© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Februar*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,654446,595618,1769717,1619578,"2,7","21,4"
2010,647301,583109,1751290,1592349,"2,7","20,6"
2011,665447,594157,1738122,1570162,"2,6","20,7"
2012,717948,645850,1902634,1721770,"2,7","21,5"
2013,694618,624786,1906880,1731096,"2,7","22,7"
2014,712796,642100,1906018,1724520,"2,7","23,0"
2015,740574,664197,2005842,1815855,"2,7","24,0"
2016,797454,709084,2113909,1898873,"2,7","24,5"
2017,771417,689282,2020221,1827785,"2,6","23,7"
2018,836007,750229,2191353,1986885,"2,6","25,7"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-3,6","-2,4","-2,6","-2,2","1,0","-2,5"
2010,"-1,1","-2,1","-1,0","-1,7","0,1","-3,4"
2011,"2,8","1,9","-0,8","-1,4","-3,5","0,2"
2012,"7,9","8,7","9,5","9,7","1,5","4,2"
2013,"-3,2","-3,3","0,2","0,5","3,6","5,3"
2014,"2,6","2,8",-,"-0,4","-2,6","1,4"
2015,"3,9","3,4","5,2","5,3","1,3","4,2"
2016,"7,7","6,8","5,4","4,6","-2,1","2,3"
2017,"-3,3","-2,8","-4,4","-3,7","-1,2","-3,3"
2018,"8,4","8,8","8,5","8,7","0,1","8,4"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"98,9","97,9","99,0","98,3","100,1","96,6"
2011,"101,7","99,8","98,2","96,9","96,6","96,8"
2012,"109,7","108,4","107,5","106,3","98,0","100,8"
2013,"106,1","104,9","107,8","106,9","101,5","106,2"
2014,"108,9","107,8","107,7","106,5","98,9","107,7"
2015,"113,2","111,5","113,3","112,1","100,2","112,3"
2016,"121,9","119,1","119,4","117,2","98,0","114,9"
2017,"117,9","115,7","114,2","112,9","96,8","111,1"
2018,"127,7","126,0","123,8","122,7","96,9","120,4"
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,163232,147790,437852,395678,"2,7","26,1"
2010,167815,149942,449891,401466,"2,7","26,3"
2011,159279,143446,404279,365364,"2,5","24,2"
2012,179048,161192,466704,416644,"2,6","26,7"
2013,168741,151549,461902,413599,"2,7","28,5"
2014,173804,155273,452560,402222,"2,6","27,9"
2015,188424,167456,490855,435231,"2,6","30,0"
2016,186005,163242,470295,416251,"2,5","27,7"
2017,188390,164847,458739,406197,"2,4","28,2"
2018,214744,190360,525193,468509,"2,4","31,4"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,2","5,3","5,2","5,7","2,0","6,8"
2010,"2,8","1,5","2,7","1,5","-0,1","0,6"
2011,"-5,1","-4,3","-10,1","-9,0","-5,3","-8,1"
2012,"12,4","12,4","15,4","14,0","2,7","10,4"
2013,"-5,8","-6,0","-1,0","-0,7","5,0","6,7"
2014,"3,0","2,5","-2,0","-2,8","-4,9","-2,1"
2015,"8,4","7,8","8,5","8,2",-,"7,7"
2016,"-1,3","-2,5","-4,2","-4,4","-2,9","-7,5"
2017,"1,3","1,0","-2,5","-2,4","-3,7","1,5"
2018,"14,0","15,5","14,5","15,3","0,4","11,6"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"102,8","101,5","102,7","101,5","99,9","100,6"
2011,"97,6","97,1","92,3","92,3","94,6","92,5"
2012,"109,7","109,1","106,6","105,3","97,2","102,1"
2013,"103,4","102,5","105,5","104,5","102,0","109,0"
2014,"106,5","105,1","103,4","101,7","97,1","106,6"
2015,"115,4","113,3","112,1","110,0","97,1","114,8"
2016,"114,0","110,5","107,4","105,2","94,3","106,2"
2017,"115,4","111,5","104,8","102,7","90,8","107,8"
2018,"131,6","128,8","119,9","118,4","91,2","120,3"
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,19871,17108,36706,30528,"1,8","34,5"
2010,19846,17232,35372,29295,"1,8","34,3"
2011,21699,19098,37715,32431,"1,7","36,9"
2012,22145,19657,41067,34895,"1,9","38,9"
2013,21084,18617,39076,33331,"1,9","38,0"
2014,22514,19560,38770,32889,"1,7","33,7"
2015,22392,19411,40621,33674,"1,8","36,6"
2016,27231,23330,45554,38514,"1,7","33,8"
2017,28676,25181,46114,39828,"1,6","33,5"
2018,30571,25745,48031,39592,"1,6","35,5"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"7,7","9,0","4,7","6,3","-2,8","-1,4"
2010,"-0,1","0,7","-3,6","-4,0","-3,5","-0,6"
2011,"9,3","10,8","6,6","10,7","-2,5","7,5"
2012,"2,1","2,9","8,9","7,6","6,7","5,6"
2013,"-4,8","-5,3","-4,8","-4,5","-0,1","-2,3"
2014,"6,8","5,1","-0,8","-1,3","-7,1","-11,5"
2015,"-0,5","-0,8","4,8","2,4","5,3","8,6"
2016,"21,6","20,2","12,1","14,4","-7,8","-7,5"
2017,"5,3","7,9","1,2","3,4","-3,9","-1,0"
2018,"6,6","2,2","4,2","-0,6","-2,3","5,9"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"99,9","100,7","96,4","96,0","96,5","99,4"
2011,"109,2","111,6","102,7","106,2","94,1","106,8"
2012,"111,4","114,9","111,9","114,3","100,4","112,8"
2013,"106,1","108,8","106,5","109,2","100,3","110,2"
2014,"113,3","114,3","105,6","107,7","93,2","97,5"
2015,"112,7","113,5","110,7","110,3","98,2","105,9"
2016,"137,0","136,4","124,1","126,2","90,6","98,0"
2017,"144,3","147,2","125,6","130,5","87,1","97,0"
2018,"153,8","150,5","130,9","129,7","85,1","102,8"
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,2811,2604,6814,6321,"2,4","30,7"
2010,3021,2823,9921,9327,"3,3","36,3"
2011,3222,3002,8748,8132,"2,7","29,6"
2012,3259,2981,10920,9991,"3,4","37,5"
2013,3306,2997,11329,10017,"3,4","37,5"
2014,3244,2817,9604,7963,"3,0","31,7"
2015,3677,3355,11441,10172,"3,1","31,0"
2016,3792,3387,10371,9378,"2,7","31,2"
2017,3652,3167,10660,9177,"2,9","30,5"
2018,3787,3459,11593,10514,"3,1","34,3"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-3,8","-3,7","3,2","2,6","7,2","3,3"
2010,"7,5","8,4","45,6","47,6","35,5","18,1"
2011,"6,7","6,3","-11,8","-12,8","-17,3","-18,5"
2012,"1,1","-0,7","24,8","22,9","23,4","26,9"
2013,"1,4","0,5","3,7","0,3","2,3","-0,2"
2014,"-1,9","-6,0","-15,2","-20,5","-13,6","-15,5"
2015,"13,3","19,1","19,1","27,7","5,1","-2,2"
