© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Jahr*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,11570048,10418362,37483030,34689075,"3,2","29,9"
2010,12015901,10725466,38360272,35258834,"3,2","30,1"
2011,12452049,11093870,39319170,35954094,"3,2","30,8"
2012,12729940,11353834,40003513,36494522,"3,1","30,9"
2013,12802440,11403669,39901045,36344364,"3,1","31,3"
2014,13080201,11663031,40423767,36866937,"3,1","32,2"
2015,13444539,11964721,41310035,37658096,"3,1","32,5"
2016,14096660,12567370,42766712,39070697,"3,0","33,3"
2017,14495990,12917154,43494781,39725374,"3,0","33,6"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,9","2,6","1,8","2,2","-0,1","-0,3"
2010,"3,9","2,9","2,3","1,6","-1,5","0,6"
2011,"3,6","3,4","2,5","2,0","-1,1","2,4"
2012,"2,2","2,3","1,7","1,5","-0,5","0,2"
2013,"0,6","0,4","-0,3","-0,4","-0,8","1,3"
2014,"2,2","2,3","1,3","1,4","-0,8","3,0"
2015,"2,8","2,6","2,2","2,1","-0,6","0,7"
2016,"4,9","5,0","3,5","3,8","-1,3","2,6"
2017,"2,8","2,8","1,7","1,7","-1,1","0,8"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"103,9","102,9","102,3","101,6","98,5","100,6"
2011,"107,6","106,5","104,9","103,6","97,5","103,0"
2012,"110,0","109,0","106,7","105,2","97,0","103,2"
2013,"110,7","109,5","106,5","104,8","96,2","104,5"
2014,"113,1","111,9","107,8","106,3","95,4","107,6"
2015,"116,2","114,8","110,2","108,6","94,8","108,4"
2016,"121,8","120,6","114,1","112,6","93,6","111,2"
2017,"125,3","124,0","116,0","114,5","92,6","112,2"
2018,-,-,-,-,-,-
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,2256483,1978150,6022504,5324070,"2,7","26,4"
2010,2316694,2029203,6098696,5378878,"2,6","27,0"
2011,2386750,2092887,6245070,5493634,"2,6","27,7"
2012,2434443,2139447,6468627,5676359,"2,7","28,9"
2013,2426662,2115276,6473930,5594989,"2,7","29,7"
2014,2528762,2199342,6516128,5642704,"2,6","29,9"
2015,2629755,2270347,6732199,5817202,"2,6","30,2"
2016,2710158,2325985,6782120,5869594,"2,5","30,5"
2017,2794037,2403103,6795158,5894964,"2,4","30,7"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,0","3,9","2,6","3,1","-0,4","0,1"
2010,"2,7","2,6","1,3","1,0","-1,4","2,0"
2011,"3,0","3,1","2,4","2,1","-0,6","2,6"
2012,"2,0","2,2","3,6","3,3","1,6","4,2"
2013,"-0,3","-1,1","0,1","-1,4","0,4","3,0"
2014,"4,2","4,0","0,7","0,9","-3,4","0,6"
2015,"4,0","3,2","3,3","3,1","-0,7","1,2"
2016,"3,1","2,5","0,7","0,9","-2,2","0,8"
2017,"3,1","3,3","0,2","0,4","-2,8","0,8"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"102,7","102,6","101,3","101,0","98,6","102,0"
2011,"105,8","105,8","103,7","103,2","98,0","104,7"
2012,"107,9","108,2","107,4","106,6","99,6","109,1"
2013,"107,5","106,9","107,5","105,1","100,0","112,4"
2014,"112,1","111,2","108,2","106,0","96,5","113,0"
2015,"116,5","114,8","111,8","109,3","95,9","114,4"
2016,"120,1","117,6","112,6","110,2","93,8","115,3"
2017,"123,8","121,5","112,8","110,7","91,1","116,2"
2018,-,-,-,-,-,-
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,257208,218010,464909,379947,"1,8","34,5"
2010,265425,227232,474416,388825,"1,8","35,5"
2011,274552,239479,486336,409560,"1,8","36,7"
2012,281029,248236,504198,428183,"1,8","37,7"
2013,293040,254691,535860,449224,"1,8","38,8"
2014,317968,272313,557170,461617,"1,8","38,9"
2015,324051,275340,580453,479592,"1,8","38,2"
2016,367214,306314,614717,505613,"1,7","36,4"
2017,423700,350056,681662,553129,"1,6","38,4"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,8","6,3","0,3","1,8","-4,3","-5,5"
2010,"3,2","4,2","2,0","2,3","-1,1","2,9"
2011,"3,4","5,4","2,5","5,3","-0,9","3,5"
2012,"2,4","3,7","3,7","4,5","1,3","2,7"
2013,"4,3","2,6","6,3","4,9","1,9","2,8"
2014,"8,5","6,9","4,0","2,8","-4,2","0,4"
2015,"1,9","1,1","4,2","3,9","2,2","-1,8"
2016,"13,3","11,2","5,9","5,4","-6,5","-4,8"
2017,"15,4","14,3","10,9","9,4","-3,9","5,4"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"103,2","104,2","102,0","102,3","98,9","102,9"
2011,"106,7","109,8","104,6","107,8","98,0","106,4"
2012,"109,3","113,9","108,5","112,7","99,3","109,3"
2013,"113,9","116,8","115,3","118,2","101,2","112,4"
2014,"123,6","124,9","119,8","121,5","96,9","112,9"
2015,"126,0","126,3","124,9","126,2","99,1","110,8"
2016,"142,8","140,5","132,2","133,1","92,6","105,5"
2017,"164,7","160,6","146,6","145,6","89,0","111,2"
2018,-,-,-,-,-,-
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,40756,37363,105151,93784,"2,6","33,9"
2010,42158,38857,132474,122886,"3,1","35,7"
2011,46481,42789,133263,123653,"2,9","34,8"
2012,45105,40785,154949,141242,"3,4","40,7"
2013,47370,42688,160969,142026,"3,4","41,8"
2014,46096,40940,135989,117796,"3,0","34,6"
2015,50214,44450,153601,127479,"3,1","34,1"
2016,53272,47062,148709,130797,"2,8","34,9"
2017,56534,49389,155793,133120,"2,8","35,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,1","5,9","21,7","21,2","18,1","7,6"
2010,"3,4","4,0","26,0","31,0","21,8","5,4"
2011,"10,3","10,1","0,6","0,6","-8,8","-2,7"
2012,"-3,0","-4,7","16,3","14,2","19,8","17,1"
2013,"5,0","4,7","3,9","0,6","-1,1","2,7"
2014,"-2,7","-4,1","-15,5","-17,1","-13,2","-17,1"
2015,"8,9","8,6","13,0","8,2","3,7","-1,6"
2016,"6,1","5,9","-3,2","2,6","-8,7","2,4"
2017,"6,1","4,9","4,8","1,8","-1,3","1,0"
