© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: März*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,756599,682848,2119517,1947926,"2,8","21,5"
2010,820908,738566,2379393,2193333,"2,9","23,7"
2011,812027,726368,2230224,2024755,"2,7","22,5"
2012,888927,798944,2472163,2256058,"2,8","24,7"
2013,887780,798830,2731896,2516963,"3,1","26,8"
2014,878058,788064,2430011,2214073,"2,8","25,0"
2015,921288,827653,2605139,2390097,"2,8","26,3"
2016,976115,879790,2989826,2757477,"3,1","29,4"
2017,978686,879158,2612870,2379626,"2,7","26,2"
2018,1014649,926975,2909346,2702535,"2,9","27,8"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-1,0","-0,4","-16,5","-17,3","-15,6","-17,1"
2010,"8,5","8,2","12,3","12,6","3,5","10,4"
2011,"-1,1","-1,7","-6,3","-7,7","-5,2","-5,2"
2012,"9,5","10,0","10,8","11,4","1,3","9,5"
2013,"-0,1",-,"10,5","11,6","10,6","8,7"
2014,"-1,1","-1,3","-11,1","-12,0","-10,1","-6,7"
2015,"4,9","5,0","7,2","8,0","2,2","5,4"
2016,"6,0","6,3","14,8","15,4","8,3","11,7"
2017,"0,3","-0,1","-12,6","-13,7","-12,8","-11,0"
2018,"3,7","5,4","11,3","13,6","7,4","5,9"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"108,5","108,2","112,3","112,6","103,5","110,4"
2011,"107,3","106,4","105,2","103,9","98,0","104,7"
2012,"117,5","117,0","116,6","115,8","99,3","114,7"
2013,"117,3","117,0","128,9","129,2","109,8","124,6"
2014,"116,1","115,4","114,6","113,7","98,8","116,2"
2015,"121,8","121,2","122,9","122,7","100,9","122,5"
2016,"129,0","128,8","141,1","141,6","109,3","136,9"
2017,"129,4","128,7","123,3","122,2","95,3","121,9"
2018,"134,1","135,8","137,3","138,7","102,4","129,1"
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,158429,141808,394293,354259,"2,5","21,1"
2010,164333,145656,411731,367326,"2,5","21,8"
2011,167297,148579,413400,368133,"2,5","21,9"
2012,177322,160261,450509,407595,"2,5","23,9"
2013,174737,156449,471352,421434,"2,7","26,1"
2014,180725,160473,437052,388538,"2,4","24,2"
2015,189729,167408,464197,416163,"2,4","25,6"
2016,193860,171130,502120,450844,"2,6","27,1"
2017,201916,177552,468566,417803,"2,3","25,8"
2018,209276,185463,509501,456285,"2,4","27,4"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,3","3,3","-7,2","-6,6","-8,4","-8,9"
2010,"3,7","2,7","4,4","3,7","0,7","3,2"
2011,"1,8","2,0","0,4","0,2","-1,4","0,2"
2012,"6,0","7,9","9,0","10,7","2,8","9,4"
2013,"-1,5","-2,4","4,6","3,4","6,2","9,2"
2014,"3,4","2,6","-7,3","-7,8","-10,3","-7,2"
2015,"5,0","4,3","6,2","7,1","1,2","5,5"
2016,"2,2","2,2","8,2","8,3","5,9","5,8"
2017,"4,2","3,8","-6,7","-7,3","-10,4","-4,9"
2018,"3,6","4,5","8,7","9,2","4,9","6,5"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"103,7","102,7","104,4","103,7","100,7","103,2"
2011,"105,6","104,8","104,8","103,9","99,3","103,5"
2012,"111,9","113,0","114,3","115,1","102,1","113,2"
2013,"110,3","110,3","119,5","119,0","108,4","123,6"
2014,"114,1","113,2","110,8","109,7","97,2","114,7"
2015,"119,8","118,1","117,7","117,5","98,3","121,0"
2016,"122,4","120,7","127,3","127,3","104,1","128,0"
2017,"127,4","125,2","118,8","117,9","93,2","121,8"
2018,"132,1","130,8","129,2","128,8","97,8","129,8"
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,21797,18439,41158,34031,"1,9","35,8"
2010,21959,18437,40963,32125,"1,9","35,7"
2011,22992,19753,41884,34884,"1,8","37,0"
2012,23349,20521,42692,35712,"1,8","37,8"
2013,21609,18902,39719,33323,"1,8","34,9"
2014,27315,23274,46247,38644,"1,7","38,7"
2015,26355,22635,47719,40233,"1,8","38,4"
2016,26207,21878,45887,37884,"1,8","31,9"
2017,35387,29491,56569,47066,"1,6","37,6"
2018,33499,28140,53196,43473,"1,6","35,6"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"21,7","27,4","22,5","31,1","0,7","14,1"
2010,"0,7",-,"-0,5","-5,6","-1,2","-0,3"
2011,"4,7","7,1","2,2","8,6","-2,3","3,5"
2012,"1,6","3,9","1,9","2,4","0,4","2,3"
2013,"-7,5","-7,9","-7,0","-6,7","0,5","-7,8"
2014,"26,4","23,1","16,4","16,0","-7,9","10,9"
2015,"-3,5","-2,7","3,2","4,1","6,9","-0,7"
2016,"-0,6","-3,3","-3,8","-5,8","-3,3","-17,0"
2017,"35,0","34,8","23,3","24,2","-8,7","17,8"
2018,"-5,3","-4,6","-6,0","-7,6","-0,7","-5,3"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"100,7","100,0","99,5","94,4","98,8","99,7"
2011,"105,5","107,1","101,8","102,5","96,5","103,2"
2012,"107,1","111,3","103,7","104,9","96,8","105,6"
2013,"99,1","102,5","96,5","97,9","97,3","97,4"
2014,"125,3","126,2","112,4","113,6","89,7","107,9"
2015,"120,9","122,8","115,9","118,2","95,9","107,2"
2016,"120,2","118,7","111,5","111,3","92,7","89,0"
2017,"162,3","159,9","137,4","138,3","84,7","104,8"
2018,"153,7","152,6","129,2","127,7","84,1","99,3"
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,3177,2913,7710,6367,"2,4","32,0"
2010,3728,3300,11541,10442,"3,1","37,0"
2011,3728,3414,10734,9944,"2,9","32,6"
2012,4057,3707,12847,11648,"3,2","41,3"
2013,3242,2937,12535,11346,"3,9","38,4"
2014,3690,3166,11133,9519,"3,0","33,3"
2015,3984,3621,12355,11035,"3,1","30,1"
2016,3869,3514,11078,10228,"2,9","31,0"
2017,4765,4185,12637,11068,"2,7","32,5"
2018,3858,3467,11387,9884,"3,0","30,9"
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"8,0","8,9","25,0","14,8","15,8","22,9"
2010,"17,3","13,3","49,7","64,0","27,6","15,5"
2011,-,"3,5","-7,0","-4,8","-7,0","-11,9"
2012,"8,8","8,6","19,7","17,1","10,0","26,7"
2013,"-20,1","-20,8","-2,4","-2,6","22,1","-6,9"
2014,"13,8","7,8","-11,2","-16,1","-22,0","-13,4"
2015,"8,0","14,4","11,0","15,9","2,8","-9,6"
2016,"-2,9","-3,0","-10,3","-7,3","-7,7","3,0"
