© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: November*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,771992,684195,2034639,1836094,"2,6","22,3"
2010,811268,721239,2099385,1896927,"2,6","22,8"
2011,884083,777591,2323256,2074222,"2,6","25,1"
2012,861504,769359,2247335,2034669,"2,6","23,1"
2013,901011,793644,2363376,2108750,"2,6","25,4"
2014,875710,780812,2332319,2112642,"2,7","25,8"
2015,937385,819130,2406284,2134129,"2,6","26,3"
2016,927618,824366,2359944,2123115,"2,5","25,7"
2017,987954,863508,2553448,2268133,"2,6","27,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,0","1,4","3,1","1,9","0,1","1,2"
2010,"5,1","5,4","3,2","3,3","-1,8","2,0"
2011,"9,0","7,8","10,7","9,3","1,5","10,2"
2012,"-2,6","-1,1","-3,3","-1,9","-0,7","-7,8"
2013,"4,6","3,2","5,2","3,6","0,6","9,8"
2014,"-2,8","-1,6","-1,3","0,2","1,5","1,4"
2015,"7,0","4,9","3,2","1,0","-3,6","2,1"
2016,"-1,0","0,6","-1,9","-0,5","-0,9","-2,3"
2017,"6,5","4,7","8,2","6,8","1,6","5,8"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"105,1","105,4","103,2","103,3","98,2","102,0"
2011,"114,5","113,7","114,2","113,0","99,7","112,4"
2012,"111,6","112,4","110,5","110,8","99,0","103,7"
2013,"116,7","116,0","116,2","114,8","99,5","113,8"
2014,"113,4","114,1","114,6","115,1","101,1","115,4"
2015,"121,4","119,7","118,3","116,2","97,4","117,8"
2016,"120,2","120,5","116,0","115,6","96,5","115,0"
2017,"128,0","126,2","125,5","123,5","98,1","121,7"
2018,-,-,-,-,-,-
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,175466,157292,415639,373930,"2,4","23,2"
2010,177932,160538,414942,373597,"2,3","23,7"
2011,191896,172409,447683,400483,"2,3","25,3"
2012,185548,168624,439555,397280,"2,4","25,5"
2013,197673,174477,469693,412657,"2,4","27,3"
2014,198511,177664,457912,409339,"2,3","26,7"
2015,211460,182756,477669,413788,"2,3","27,3"
2016,210363,184505,469849,415589,"2,2","27,2"
2017,223046,190559,487579,422210,"2,2","28,3"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"5,0","4,0","5,2","4,6","0,1","3,9"
2010,"1,4","2,1","-0,2","-0,1","-1,6","2,1"
2011,"7,8","7,4","7,9","7,2",-,"6,8"
2012,"-3,3","-2,2","-1,8","-0,8","1,5","0,6"
2013,"6,5","3,5","6,9","3,9","0,3","7,1"
2014,"0,4","1,8","-2,5","-0,8","-2,9","-2,1"
2015,"6,5","2,9","4,3","1,1","-2,1","2,2"
2016,"-0,5","1,0","-1,6","0,4","-1,1","-0,3"
2017,"6,0","3,3","3,8","1,6","-2,1","3,9"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"101,4","102,1","99,8","99,9","98,4","102,1"
2011,"109,4","109,6","107,7","107,1","98,5","109,1"
2012,"105,7","107,2","105,8","106,2","100,0","109,8"
2013,"112,7","110,9","113,0","110,4","100,3","117,5"
2014,"113,1","113,0","110,2","109,5","97,4","115,1"
2015,"120,5","116,2","114,9","110,7","95,4","117,6"
2016,"119,9","117,3","113,0","111,1","94,3","117,2"
2017,"127,1","121,1","117,3","112,9","92,3","121,8"
2018,-,-,-,-,-,-
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,27056,23231,46767,38328,"1,7","42,0"
2010,26041,22755,43268,36908,"1,7","39,6"
2011,27005,23456,46130,38480,"1,7","43,0"
2012,26035,22934,45336,38252,"1,7","41,2"
2013,32051,26961,56313,45741,"1,8","46,3"
2014,28625,24928,50247,41489,"1,8","42,6"
2015,33135,27383,58744,46933,"1,8","44,1"
2016,34836,28943,57969,47196,"1,7","41,9"
2017,41118,32571,65692,50064,"1,6","44,9"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"21,8","22,5","14,6","14,1","-6,0","9,1"
2010,"-3,8","-2,0","-7,5","-3,7","-3,9","-5,6"
2011,"3,7","3,1","6,6","4,3","2,8","8,6"
2012,"-3,6","-2,2","-1,7","-0,6","1,9","-4,2"
2013,"23,1","17,6","24,2","19,6","0,9","12,5"
2014,"-10,7","-7,5","-10,8","-9,3","-0,1","-8,1"
2015,"15,8","9,8","16,9","13,1","1,0","3,5"
2016,"5,1","5,7","-1,3","0,6","-6,1","-4,9"
2017,"18,0","12,5","13,3","6,1","-4,0","7,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"96,2","98,0","92,5","96,3","96,1","94,4"
2011,"99,8","101,0","98,6","100,4","98,8","102,5"
2012,"96,2","98,7","96,9","99,8","100,7","98,1"
2013,"118,5","116,1","120,4","119,3","101,6","110,4"
2014,"105,8","107,3","107,4","108,2","101,6","101,4"
2015,"122,5","117,9","125,6","122,5","102,6","104,9"
2016,"128,8","124,6","124,0","123,1","96,3","99,8"
2017,"152,0","140,2","140,5","130,6","92,4","107,0"
2018,-,-,-,-,-,-
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,4632,4286,12215,11375,"2,6","42,1"
2010,3986,3583,12215,10979,"3,1","39,0"
2011,5010,4574,12503,11351,"2,5","41,0"
2012,4402,3941,14498,13153,"3,3","40,7"
2013,4450,3906,15315,13032,"3,4","49,1"
2014,4247,3819,11927,10458,"2,8","37,2"
2015,5054,4475,14186,11999,"2,8","42,4"
2016,4982,4319,13637,11546,"2,7","37,5"
2017,5251,4547,14725,12300,"2,8","41,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"22,3","42,3","61,7","78,5","32,2","21,6"
2010,"-13,9","-16,4",-,"-3,5","16,2","-7,5"
2011,"25,7","27,7","2,4","3,4","-18,6","5,3"
2012,"-12,1","-13,8","16,0","15,9","32,0","-0,8"
2013,"1,1","-0,9","5,6","-0,9","4,5","20,8"
2014,"-4,6","-2,2","-22,1","-19,8","-18,4","-24,4"
2015,"19,0","17,2","18,9","14,7","-0,1","14,2"
2016,"-1,4","-3,5","-3,9","-3,8","-2,5","-11,7"
2017,"5,4","5,3","8,0","6,5","2,4","10,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
