© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: September*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
gelegen-
heiten"
,1,2,3,4,5,6
0       Niedersachsen            ,,,,,,
 ,,,,,,
2009,1174340,1071060,3835285,3592637,"3,3","33,7"
2010,1234959,1103064,3947249,3644204,"3,2","34,5"
2011,1315561,1179976,4099034,3769764,"3,1","35,9"
2012,1355778,1216112,4146013,3818756,"3,1","36,1"
2013,1332576,1187670,4085578,3726602,"3,1","35,8"
2014,1364579,1218796,4230300,3886903,"3,1","37,5"
2015,1348640,1219192,4114347,3809199,"3,1","35,8"
2016,1524097,1369689,4482815,4133024,"2,9","38,6"
2017,1535939,1376812,4513223,4140962,"2,9","38,3"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-2,9","-1,3","-1,1","-0,2","1,9","-3,9"
2010,"5,2","3,0","2,9","1,4","-2,1","2,3"
2011,"6,5","7,0","3,8","3,4","-2,5","4,1"
2012,"3,1","3,1","1,1","1,3","-1,9","0,7"
2013,"-1,7","-2,3","-1,5","-2,4","0,3","-0,8"
2014,"2,4","2,6","3,5","4,3","1,1","4,8"
2015,"-1,2",-,"-2,7","-2,0","-1,6","-4,5"
2016,"13,0","12,3","9,0","8,5","-3,6","7,6"
2017,"0,8","0,5","0,7","0,2","-0,1","-0,7"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"105,2","103,0","102,9","101,4","97,9","102,3"
2011,"112,0","110,2","106,9","104,9","95,4","106,4"
2012,"115,5","113,5","108,1","106,3","93,6","107,1"
2013,"113,5","110,9","106,5","103,7","93,9","106,3"
2014,"116,2","113,8","110,3","108,2","94,9","111,4"
2015,"114,8","113,8","107,3","106,0","93,4","106,4"
2016,"129,8","127,9","116,9","115,0","90,1","114,5"
2017,"130,8","128,5","117,7","115,3","90,0","113,7"
2018,-,-,-,-,-,-
1       Braunschweig             ,,,,,,
 ,,,,,,
2009,219097,193598,589580,525576,"2,7","30,3"
2010,231457,202647,598546,531567,"2,6","31,5"
2011,247304,217544,622014,547931,"2,5","33,0"
2012,249849,220323,641506,569322,"2,6","33,9"
2013,249448,216632,644800,555089,"2,6","34,9"
2014,252497,218186,634198,549683,"2,5","34,7"
2015,255047,221193,640815,556958,"2,5","34,0"
2016,279307,240461,655424,568713,"2,3","34,7"
2017,282256,242445,653090,564847,"2,3","34,7"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-2,3","-0,7","-0,2","0,5","2,1","-4,1"
2010,"5,6","4,7","1,5","1,1","-3,9","4,2"
2011,"6,8","7,4","3,9","3,1","-2,7","4,5"
2012,"1,0","1,3","3,1","3,9","2,1","2,8"
2013,"-0,2","-1,7","0,5","-2,5","0,7","3,0"
2014,"1,2","0,7","-1,6","-1,0","-2,8","-0,6"
2015,"1,0","1,4","1,0","1,3",-,"-2,1"
2016,"9,5","8,7","2,3","2,1","-6,6","2,1"
2017,"1,1","0,8","-0,4","-0,7","-1,4","0,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"105,6","104,7","101,5","101,1","96,1","104,2"
2011,"112,9","112,4","105,5","104,3","93,5","108,8"
2012,"114,0","113,8","108,8","108,3","95,4","111,9"
2013,"113,9","111,9","109,4","105,6","96,1","115,2"
2014,"115,2","112,7","107,6","104,6","93,3","114,6"
2015,"116,4","114,3","108,7","106,0","93,4","112,2"
2016,"127,5","124,2","111,2","108,2","87,2","114,5"
2017,"128,8","125,2","110,8","107,5","86,0","114,6"
2018,-,-,-,-,-,-
"101     Braunschweig,Stadt       ",,,,,,
 ,,,,,,
2009,24671,21186,43894,35671,"1,8","39,4"
2010,25060,21186,45895,36982,"1,8","42,2"
2011,26139,22615,44876,36761,"1,7","41,6"
2012,27249,24385,47825,41375,"1,8","43,5"
2013,29637,25972,55545,45712,"1,9","45,7"
2014,29881,25459,51528,42545,"1,7","44,2"
2015,30788,26485,55960,46543,"1,8","43,7"
2016,37154,31015,61883,51521,"1,7","44,5"
2017,41213,32884,67252,53003,"1,6","46,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"2,1","6,1","-8,6","-6,4","-10,5","-13,7"
2010,"1,6",-,"4,6","3,7","2,9","7,0"
2011,"4,3","6,7","-2,2","-0,6","-6,3","-1,4"
2012,"4,2","7,8","6,6","12,6","2,2","4,6"
2013,"8,8","6,5","16,1","10,5","6,8","5,0"
2014,"0,8","-2,0","-7,2","-6,9","-8,0","-3,4"
2015,"3,0","4,0","8,6","9,4","5,4","-0,9"
2016,"20,7","17,1","10,6","10,7","-8,4","1,8"
2017,"10,9","6,0","8,7","2,9","-2,0","3,7"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"101,6","100,0","104,6","103,7","102,9","107,0"
2011,"106,0","106,7","102,2","103,1","96,5","105,5"
2012,"110,4","115,1","109,0","116,0","98,6","110,4"
2013,"120,1","122,6","126,5","128,1","105,3","115,9"
2014,"121,1","120,2","117,4","119,3","96,9","112,0"
2015,"124,8","125,0","127,5","130,5","102,2","110,9"
2016,"150,6","146,4","141,0","144,4","93,6","113,0"
2017,"167,1","155,2","153,2","148,6","91,7","117,1"
2018,-,-,-,-,-,-
"102     Salzgitter,Stadt         ",,,,,,
 ,,,,,,
2009,4022,3733,11650,10652,"2,9","39,5"
2010,3886,3528,11808,10877,"3,0","38,6"
2011,4630,4174,13041,11649,"2,8","40,7"
2012,4184,3715,14503,13096,"3,5","46,2"
2013,4552,3999,15467,12851,"3,4","49,7"
2014,4702,4130,13688,11438,"2,9","43,7"
2015,5167,4459,17182,13002,"3,3","45,0"
2016,5360,4619,14755,12365,"2,8","40,3"
2017,5401,4657,14307,12121,"2,6","39,9"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"7,6","15,9","49,6","68,0","39,1","12,3"
2010,"-3,4","-5,5","1,4","2,1","4,9","-2,4"
2011,"19,1","18,3","10,4","7,1","-7,3","5,6"
2012,"-9,6","-11,0","11,2","12,4","23,1","13,5"
2013,"8,8","7,6","6,6","-1,9","-2,0","7,6"
2014,"3,3","3,3","-11,5","-11,0","-14,3","-12,1"
2015,"9,9","8,0","25,5","13,7","14,2","3,1"
2016,"3,7","3,6","-14,1","-4,9","-17,2","-10,4"
2017,"0,8","0,8","-3,0","-2,0","-3,8","-1,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
