id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,18,8,04011,102430,176493
2,18,8,04011,3330,15089
3,18,8,04011,105760,191582
4,18,7,04011,87990,152444
5,18,7,04011,2959,13855
6,18,7,04011,90949,166299
7,18,6,04011,93459,163785
8,18,6,04011,3011,14274
9,18,6,04011,96470,178059
10,18,5,04011,94775,166837
11,18,5,04011,3272,13714
12,18,5,04011,98047,180551
13,18,4,04011,92813,161139
14,18,4,04011,2648,12228
15,18,4,04011,95461,173367
16,18,3,04011,81357,141357
17,18,3,04011,2536,12570
18,18,3,04011,83893,153927
19,18,2,04011,76680,131532
20,18,2,04011,2115,11177
21,18,2,04011,78795,142709
22,18,1,04011,72080,121474
23,18,1,04011,1576,9224
24,18,1,04011,73656,130698
25,17,12,04011,94604,163968
26,17,12,04011,2123,10925
27,17,12,04011,96727,174893
28,17,11,04011,89681,152793
29,17,11,04011,2718,13303
30,17,11,04011,92399,166096
31,17,10,04011,96243,170548
32,17,10,04011,3415,14333
33,17,10,04011,99658,184881
34,17,9,04011,97772,171550
35,17,9,04011,3760,14315
36,17,9,04011,101532,185865
37,17,8,04011,94993,168929
38,17,8,04011,3747,14557
39,17,8,04011,98740,183486
40,17,7,04011,88159,153866
41,17,7,04011,3661,13995
42,17,7,04011,91820,167861
43,17,6,04011,87768,152970
44,17,6,04011,3969,14332
45,17,6,04011,91737,167302
46,17,5,04011,94059,163352
47,17,5,04011,3473,14653
48,17,5,04011,97532,178005
49,17,4,04011,86571,149865
50,17,4,04011,3423,13991
51,17,4,04011,89994,163856
52,17,3,04011,80827,134793
53,17,3,04011,2900,14420
54,17,3,04011,83727,149213
55,17,2,04011,71231,119149
56,17,2,04011,2129,10895
57,17,2,04011,73360,130044
58,17,1,04011,67141,110495
59,17,1,04011,2125,10759
60,17,1,04011,69266,121254
61,16,12,04011,89032,149675
62,16,12,04011,2386,11660
63,16,12,04011,91418,161335
64,16,11,04011,88135,148395
65,16,11,04011,2677,12958
66,16,11,04011,90812,161353
67,16,10,04011,96294,169890
68,16,10,04011,3477,14810
69,16,10,04011,99771,184700
70,16,9,04011,96083,167234
71,16,9,04011,3658,15761
72,16,9,04011,99741,182995
73,16,8,04011,91722,161448
74,16,8,04011,3888,15887
75,16,8,04011,95610,177335
76,16,7,04011,80521,142027
77,16,7,04011,3861,15686
78,16,7,04011,84382,157713
79,16,6,04011,83447,144791
80,16,6,04011,3480,15722
81,16,6,04011,86927,160513
82,16,5,04011,87893,159840
83,16,5,04011,3539,15165
84,16,5,04011,91432,175005
85,16,4,04011,89356,153846
86,16,4,04011,2956,14421
87,16,4,04011,92312,168267
88,16,3,04011,74882,134409
89,16,3,04011,2983,14794
90,16,3,04011,77865,149203
91,16,2,04011,75678,130507
92,16,2,04011,1919,11844
93,16,2,04011,77597,142351
94,16,1,04011,62897,108974
95,16,1,04011,1874,14381
96,16,1,04011,64771,123355
97,15,12,04011,87491,149004
98,15,12,04011,2126,14293
99,15,12,04011,89617,163297
100,15,11,04011,87993,153293
101,15,11,04011,2720,12759
102,15,11,04011,90713,166052
103,15,10,04011,98219,173429
104,15,10,04011,3707,15935
105,15,10,04011,101926,189364
106,15,9,04011,92702,163067
107,15,9,04011,3389,14467
108,15,9,04011,96091,177534
109,15,8,04011,87325,157586
110,15,8,04011,3586,15008
111,15,8,04011,90911,172594
112,15,7,04011,88303,153089
113,15,7,04011,3967,16219
114,15,7,04011,92270,169308
115,15,6,04011,88761,154135
116,15,6,04011,3554,14825
117,15,6,04011,92315,168960
118,15,5,04011,88171,158045
119,15,5,04011,3721,16107
120,15,5,04011,91892,174152
121,15,4,04011,79347,136248
122,15,4,04011,2862,13855
123,15,4,04011,82209,150103
124,15,3,04011,75231,131369
125,15,3,04011,2903,15410
126,15,3,04011,78134,146779
127,15,2,04011,68576,117079
128,15,2,04011,2431,13786
129,15,2,04011,71007,130865
130,15,1,04011,63832,111513
131,15,1,04011,2251,12709
132,15,1,04011,66083,124222
133,14,12,04011,83815,144775
134,14,12,04011,2728,14697
135,14,12,04011,86543,159472
136,14,11,04011,86314,160341
137,14,11,04011,2678,15075
138,14,11,04011,88992,175416
139,14,10,04011,98423,172140
140,14,10,04011,3554,15978
141,14,10,04011,101977,188118
142,14,9,04011,88012,154124
143,14,9,04011,3691,15430
144,14,9,04011,91703,169554
145,14,8,04011,81635,148902
146,14,8,04011,3390,14768
147,14,8,04011,85025,163670
