469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04;Land Bremen;2018-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;220820;48333;127809;26729
04;Land Bremen;2018-08;Sonstige Einrichtungen 3);11;1020;18881;4864;4881;2897
04;Land Bremen;2018-08;Insgesamt;121;14555;239701;53197;132690;29626
04;Land Bremen;2018-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;194123;51387;111960;28631
04;Land Bremen;2018-07;Sonstige Einrichtungen 3);11;1020;17772;7678;4732;4271
04;Land Bremen;2018-07;Insgesamt;121;14555;211895;59065;116692;32902
04;Land Bremen;2018-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;201898;44648;115188;23392
04;Land Bremen;2018-06;Sonstige Einrichtungen 3);11;1020;18092;3254;4409;1757
04;Land Bremen;2018-06;Insgesamt;121;14555;219990;47902;119597;25149
04;Land Bremen;2018-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;207118;47680;118246;23822
04;Land Bremen;2018-05;Sonstige Einrichtungen 3);11;1020;17397;2460;4919;1355
04;Land Bremen;2018-05;Insgesamt;121;14555;224515;50140;123165;25177
04;Land Bremen;2018-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;192191;42192;109626;21264
04;Land Bremen;2018-04;Sonstige Einrichtungen 3);11;1020;15359;2071;3965;1006
04;Land Bremen;2018-04;Insgesamt;121;14555;207550;44263;113591;22270
04;Land Bremen;2018-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;169035;33364;95994;15825
04;Land Bremen;2018-03;Sonstige Einrichtungen 3);11;1020;16194;1152;3806;572
04;Land Bremen;2018-03;Insgesamt;121;14555;185229;34516;99800;16397
04;Land Bremen;2018-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;155718;30232;89174;14077
04;Land Bremen;2018-02;Sonstige Einrichtungen 3);11;1020;13008;1185;3054;468
04;Land Bremen;2018-02;Insgesamt;121;14555;168726;31417;92228;14545
04;Land Bremen;2018-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;110;13535;142017;26956;82993;12942
04;Land Bremen;2018-01;Sonstige Einrichtungen 3);11;1020;10539;694;2178;309
04;Land Bremen;2018-01;Insgesamt;121;14555;152556;27650;85171;13251
04;Land Bremen;2017-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;185032;36418;106479;18332
04;Land Bremen;2017-12;Sonstige Einrichtungen 3);11;948;12563;971;2745;371
04;Land Bremen;2017-12;Insgesamt;116;13643;197595;37389;109224;18703
04;Land Bremen;2017-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;176635;35792;102535;17479
04;Land Bremen;2017-11;Sonstige Einrichtungen 3);11;948;15514;1588;3678;527
04;Land Bremen;2017-11;Insgesamt;116;13643;192149;37380;106213;18006
04;Land Bremen;2017-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;204298;40776;114002;20094
04;Land Bremen;2017-10;Sonstige Einrichtungen 3);11;948;17878;1502;4818;768
04;Land Bremen;2017-10;Insgesamt;116;13643;222176;42278;118820;20862
04;Land Bremen;2017-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;205548;40473;117613;22114
04;Land Bremen;2017-09;Sonstige Einrichtungen 3);11;948;18465;2302;5445;1217
04;Land Bremen;2017-09;Insgesamt;116;13643;224013;42775;123058;23331
04;Land Bremen;2017-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;208145;50108;116576;26320
04;Land Bremen;2017-08;Sonstige Einrichtungen 3);11;948;18784;4295;5521;2422
04;Land Bremen;2017-08;Insgesamt;116;13643;226929;54403;122097;28742
04;Land Bremen;2017-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;189689;51628;108529;28557
04;Land Bremen;2017-07;Sonstige Einrichtungen 3);11;948;18125;5675;5499;3349
04;Land Bremen;2017-07;Insgesamt;116;13643;207814;57303;114028;31906
04;Land Bremen;2017-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;187706;40225;107598;21006
04;Land Bremen;2017-06;Sonstige Einrichtungen 3);11;948;18390;2992;5800;1683
04;Land Bremen;2017-06;Insgesamt;116;13643;206096;43217;113398;22689
04;Land Bremen;2017-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;196723;40905;112704;20863
04;Land Bremen;2017-05;Sonstige Einrichtungen 3);11;948;18844;3042;5196;1467
04;Land Bremen;2017-05;Insgesamt;116;13643;215567;43947;117900;22330
04;Land Bremen;2017-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12695;178190;40988;101532;21392
04;Land Bremen;2017-04;Sonstige Einrichtungen 3);11;948;18026;2436;5038;1223
04;Land Bremen;2017-04;Insgesamt;116;13643;196216;43424;106570;22615
