"Jahr";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"335";"355";"364";"418";"434";"447";"465";"478";"532";"575";"609";"660";"714";"757";"780";"825";
"Februar";"346";"382";"396";"438";"487";"523";"510";"533";"565";"651";"685";"717";"788";"878";"865";"916";
"März";"442";"459";"501";"560";"611";"641";"613";"693";"743";"824";"918";"903";"970";"1085";"1073";"1192";
"April";"447";"487";"549";"633";"630";"643";"669";"721";"837";"907";"952";"1041";"1066";"1113";"1268";"1241";
"Mai";"543";"570";"599";"664";"669";"758";"773";"862";"893";"987";"1134";"1128";"1194";"1221";"1240";"1322";
"Juni";"483";"541";"537";"605";"671";"641";"718";"797";"888";"948";"1043";"1076";"1117";"1132";"1268";"1299";
"Juli";"502";"537";"568";"664";"698";"741";"800";"844";"918";"1030";"1170";"1141";"1265";"1333";"1352";"1398";
"August";"529";"577";"677";"734";"747";"752";"848";"972";"987";"1131";"1295";"1299";"1308";"1300";"1364";"1486";
"September";"504";"563";"621";"693";"687";"720";"796";"837";"876";"973";"1029";"1063";"1126";"1174";"1254";"1295";
"Oktober";"507";"577";"618";"667";"653";"718";"779";"862";"885";"960";"1055";"1119";"1146";"1264";"1258";"1329";
"November";"439";"480";"540";"585";"593";"606";"628";"717";"741";"848";"862";"929";"967";"1023";"1057";"1130";
"Dezember";"367";"415";"465";"515";"522";"536";"591";"632";"665";"801";"850";"933";"977";"1053";"1041";"0";
"Durchschnitt";"454";"495";"536";"598";"617";"644";"683";"746";"794";"886";"967";"1001";"1053";"1111";"1152";"0";
"Insgesamt";"5444";"5943";"6435";"7176";"7402";"7726";"8190";"8948";"9530";"10635";"11602";"12008";"12639";"13333";"13820";"0";
"";
"(1) Tourismus - Gästeübernachtungen"
"Einheit";"1000"
"Erläuterung";"in Betrieben mit 9 und mehr Betten und auf Campingplätzen. Ab Januar 2012: Betriebe ab 10 Betten; einschließlich Campingplätzen (Touristik-Camping) ab 10 Stellplätzen"
"Letzte Aktualisierung";"11.02.2019"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2019"
