id (int) WIRD AUTOMATISCH VERGEBEN,jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,2018,1,'04012‘,404,780
2,2018,2,'04012‘,453,865
3,2018,3,'04012‘,555,1073
4,2018,4,'04012‘,592,1268
5,2018,5,'04012‘,597,1240
6,2018,6,'04012‘,616,1268
7,2018,7,'04012‘,617,1352
8,2018,8,'04012‘,636,1364
9,2018,9,'04012‘,628,1254
10,2018,10,'04012‘,605,1258
11,2018,11,'04012‘,552,1057
12,2018,12,'04012‘,528,1041
13,2019,1,'04012‘,432,825
14,2019,2,'04012‘,474,916
15,2019,3,'04012‘,597,1191
16,2019,4,'04012‘,600,1240
17,2019,5,'04012‘,638,1321
18,2019,6,'04012‘,647,1299
19,2019,7,'04012‘,NULL,NULL
20,2019,8,'04012‘,NULL,NULL
21,2019,9,'04012‘,NULL,NULL
22,2019,10,'04012‘,NULL,NULL
23,2019,11,'04012‘,NULL,NULL
24,2019,12,'04012‘,NULL,NULL
